DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,com.dream.po.BrowseExample,andBrowseidNotIn,4,1,2,1,0,4463,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andBrowsetimeIsNotNull,4,1,1,0,0,9388,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andBrowseidNotBetween,4,1,2,2,0,4848,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andBrowseidIn,4,1,2,1,0,4288,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andBrowseidGreaterThanOrEqualTo,4,1,2,1,0,3749,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,createCriteriaInternal,4,1,1,0,0,1254,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andmovieidsGreaterThanOrEqualTo,4,1,2,1,0,7931,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andUseridIsNull,4,1,1,0,0,5058,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andBrowseidIsNotNull,4,1,1,0,0,3077,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andBrowsetimeBetween,4,1,2,2,0,10984,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,clear,5,1,1,0,0,1385,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andBrowsetimeNotIn,4,1,2,1,0,10799,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,isSingleValue,3,1,1,0,0,12210,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,getValue,3,1,1,0,0,11966,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andmovieidsGreaterThan,4,1,2,1,0,7756,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,getTypeHandler,3,1,1,0,0,12472,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andUseridBetween,4,1,2,2,0,6714,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,getSecondValue,3,1,1,0,0,12042,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andmovieidsLessThan,4,1,2,1,0,8116,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andmovieidsBetween,4,1,2,2,0,8827,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andUseridIsNotNull,4,1,1,0,0,5198,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andUseridLessThanOrEqualTo,4,1,2,1,0,6193,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,andUseridLessThan,4,1,2,1,0,6027,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,isValid,3,1,2,0,0,1746,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,getAllCriteria,3,1,1,0,0,1836,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
UNDEFINED,com.dream.po.BrowseExample,getCondition,3,1,1,0,0,11882,D:\Projetos\_Web\Movie_Recommend\Movie\src\main\java\com\dream\po\BrowseExample.java
