DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
[COMMANDHANDLER],com.epam.ngb.cli.manager.command.handler.simple.AbstractSimpleCommandHandler,3,1,2,0,2,3,1,3,D:\Projetos\_Web\NGB\server\ngb-cli\src\main\java\com\epam\ngb\cli\manager\command\handler\simple\AbstractSimpleCommandHandler.java,class,false,48
ENTITY,com.epam.catgenome.entity.bam.BamFile,1,5,1,0,0,1,0,1,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\entity\bam\BamFile.java,class,false,40
[DOWNSAMPLINGSIFTER],com.epam.catgenome.manager.bam.sifters.ConstantMemorySAMRecordSampler,9,1,8,12,0,9,13,30,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\bam\sifters\ConstantMemorySAMRecordSampler.java,class,false,187
[CLOSEABLE],com.epam.catgenome.manager.wig.reader.BedGraphReader,3,1,2,0,0,3,3,3,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\wig\reader\BedGraphReader.java,class,false,67
ENTITY,com.epam.catgenome.entity.vcf.VcfFile,5,5,4,0,0,5,4,13,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\entity\vcf\VcfFile.java,class,false,76
UNDEFINED,com.epam.ngb.cli.AbstractCliTest,5,1,6,6,25,5,24,6,D:\Projetos\_Web\NGB\server\ngb-cli\src\test\java\com\epam\ngb\cli\AbstractCliTest.java,class,false,141
TEST,com.epam.catgenome.manager.tools.SortTest,12,2,15,66,0,12,19,16,D:\Projetos\_Web\NGB\server\catgenome\src\test\java\com\epam\catgenome\manager\tools\SortTest.java,class,false,157
EXCEPTION,com.epam.catgenome.exception.HistogramWritingException,1,2,0,0,0,1,0,1,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\exception\HistogramWritingException.java,class,false,43
[CLOSEABLETRIBBLEITERATOR],com.epam.catgenome.util.FeatureIterator,13,1,21,14,0,13,26,30,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\util\FeatureIterator.java,class,false,237
ENTITY,com.epam.catgenome.entity.bam.Read,34,2,5,527,0,34,0,34,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\entity\bam\Read.java,class,false,221
TEST,com.epam.ngb.cli.manager.command.handler.http.AnnotationReferenceHandlersTest,9,2,12,0,0,9,21,11,D:\Projetos\_Web\NGB\server\ngb-cli\src\test\java\com\epam\ngb\cli\manager\command\handler\http\AnnotationReferenceHandlersTest.java,class,false,197
[GENEFEATURE],com.epam.catgenome.manager.gene.parser.GffFeature,27,1,4,177,1,27,32,80,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\gene\parser\GffFeature.java,class,false,332
ABSTRACTSIMPLECOMMANDHANDLER,com.epam.ngb.cli.manager.command.handler.http.FileIndexingHandler,2,3,10,0,0,2,24,5,D:\Projetos\_Web\NGB\server\ngb-cli\src\main\java\com\epam\ngb\cli\manager\command\handler\http\FileIndexingHandler.java,class,false,87
ENTITY,com.epam.catgenome.manager.externaldb.bindings.uniprot.Entry,27,1,12,335,0,27,0,49,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\externaldb\bindings\uniprot\Entry.java,class,false,607
ENTITY,com.epam.catgenome.controller.vo.externaldb.NCBIGeneVO,72,1,4,2428,0,72,0,76,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\controller\vo\externaldb\NCBIGeneVO.java,class,false,431
TEST,com.epam.catgenome.vo.Query2TrackConverterTest,4,1,15,0,0,4,23,4,D:\Projetos\_Web\NGB\server\catgenome\src\test\java\com\epam\catgenome\vo\Query2TrackConverterTest.java,class,false,127
TEST,com.epam.catgenome.util.BlockCompressedDataStreamsTest,3,1,4,3,0,3,29,4,D:\Projetos\_Web\NGB\server\catgenome\src\test\java\com\epam\catgenome\util\BlockCompressedDataStreamsTest.java,class,false,109
ENTITY,com.epam.catgenome.entity.bam.BamQueryOption,29,1,5,326,0,29,3,29,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\entity\bam\BamQueryOption.java,class,false,203
[SEGFEATURE],com.epam.catgenome.manager.seg.parser.NggbSegFeature,13,1,1,30,0,13,5,13,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\seg\parser\NggbSegFeature.java,class,false,107
TEST,com.epam.catgenome.controller.ExternalDBControllerTest,4,3,23,0,0,4,52,4,D:\Projetos\_Web\NGB\server\catgenome\src\test\java\com\epam\catgenome\controller\ExternalDBControllerTest.java,class,false,190
TEST,com.epam.catgenome.controller.BedControllerTest,2,3,22,0,0,2,57,2,D:\Projetos\_Web\NGB\server\catgenome\src\test\java\com\epam\catgenome\controller\BedControllerTest.java,class,false,200
ENTITY,com.epam.catgenome.controller.vo.ProjectItemVO,28,1,3,350,0,28,0,28,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\controller\vo\ProjectItemVO.java,class,false,176
UNDEFINED,com.epam.catgenome.controller.AbstractRESTController,2,1,4,0,17,2,13,6,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\controller\AbstractRESTController.java,class,false,128
UNDEFINED,com.epam.catgenome.controller.util.MultipartFileSender,16,1,8,76,0,16,65,71,D:\Projetos\_Web\NGB\server\catgenome\src\test\java\com\epam\catgenome\controller\util\MultipartFileSender.java,class,false,417
ABSTRACTSIMPLECOMMANDHANDLER,com.epam.ngb.cli.manager.command.handler.http.ReferenceDeletionHandler,2,3,3,0,0,2,7,4,D:\Projetos\_Web\NGB\server\ngb-cli\src\main\java\com\epam\ngb\cli\manager\command\handler\http\ReferenceDeletionHandler.java,class,false,72
PERSISTENCE,com.epam.catgenome.dao.index.FeatureIndexDao,41,1,74,580,0,41,193,214,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\dao\index\FeatureIndexDao.java,class,true,1335
ABSTRACTSIMPLECOMMANDHANDLER,com.epam.ngb.cli.manager.command.handler.http.UrlGeneratorHandler,7,3,9,0,0,7,29,26,D:\Projetos\_Web\NGB\server\ngb-cli\src\main\java\com\epam\ngb\cli\manager\command\handler\http\UrlGeneratorHandler.java,class,false,142
ENTITY,com.epam.catgenome.manager.externaldb.bindings.rcsbpbd.Record,12,1,0,54,0,12,0,12,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\externaldb\bindings\rcsbpbd\Record.java,class,false,111
CONTROLLER,com.epam.catgenome.controller.vo.externaldb.ensemblevo.EnsemblTranslationVO,4,3,2,2,0,4,0,4,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\controller\vo\externaldb\ensemblevo\EnsemblTranslationVO.java,class,false,64
UNDEFINED,com.epam.catgenome.constant.Constants,1,1,0,0,0,1,0,1,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\constant\Constants.java,class,false,178
ENTITY,com.epam.catgenome.entity.vcf.Filter,6,1,0,3,0,6,0,6,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\entity\vcf\Filter.java,class,false,63
ENTITY,com.epam.ngb.cli.entity.Project,22,2,6,183,0,22,31,38,D:\Projetos\_Web\NGB\server\ngb-cli\src\main\java\com\epam\ngb\cli\entity\Project.java,class,false,243
UNDEFINED,com.epam.catgenome.manager.reference.io.cytoband.CytobandReader,11,1,6,37,0,11,34,26,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\reference\io\cytoband\CytobandReader.java,class,false,268
ENTITY,com.epam.catgenome.entity.bed.BedFile,1,5,2,0,0,1,1,1,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\entity\bed\BedFile.java,class,false,40
TEST,com.epam.catgenome.manager.ProjectManagerTest,12,2,32,0,0,12,106,17,D:\Projetos\_Web\NGB\server\catgenome\src\test\java\com\epam\catgenome\manager\ProjectManagerTest.java,class,false,637
UNDEFINED,com.epam.catgenome.manager.externaldb.ExtenalDBUtils,14,1,10,85,0,14,65,20,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\externaldb\ExtenalDBUtils.java,class,false,211
TEST,com.epam.ngb.cli.manager.command.handler.simple.VersionCommandHandlerTest,1,2,5,0,0,1,6,1,D:\Projetos\_Web\NGB\server\ngb-cli\src\test\java\com\epam\ngb\cli\manager\command\handler\simple\VersionCommandHandlerTest.java,class,false,21
[ITERABLE],com.epam.catgenome.manager.parallel.TreeListMultiset,18,1,5,39,0,18,30,30,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\parallel\TreeListMultiset.java,class,false,174
ENTITY,com.epam.catgenome.manager.externaldb.bindings.uniprot.Uniprot,3,1,1,1,0,3,0,5,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\externaldb\bindings\uniprot\Uniprot.java,class,false,103
ENTITY,com.epam.catgenome.manager.externaldb.bindings.uniprot.GeneLocationType,4,1,1,4,0,4,0,8,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\externaldb\bindings\uniprot\GeneLocationType.java,class,false,178
UNDEFINED,com.epam.ngb.cli.manager.command.CommandManager,6,1,8,9,0,6,30,14,D:\Projetos\_Web\NGB\server\ngb-cli\src\main\java\com\epam\ngb\cli\manager\command\CommandManager.java,class,false,155
UNDEFINED,com.epam.ngb.cli.TestDataProvider,21,1,9,208,0,21,42,26,D:\Projetos\_Web\NGB\server\ngb-cli\src\test\java\com\epam\ngb\cli\TestDataProvider.java,class,false,219
UNDEFINED,com.epam.catgenome.util.ProteinSequenceUtils,9,1,2,30,0,9,27,32,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\util\ProteinSequenceUtils.java,class,false,235
PERSISTENCE,com.epam.catgenome.dao.bam.BamFileDao,12,2,10,54,0,12,23,13,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\dao\bam\BamFileDao.java,class,false,164
SERVICE,com.epam.catgenome.manager.bucket.BucketManager,3,1,5,0,0,3,7,3,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\bucket\BucketManager.java,class,true,83
UNDEFINED,com.epam.catgenome.entity.index.IndexSearchResult,11,1,2,21,0,11,3,11,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\entity\index\IndexSearchResult.java,class,false,105
ENTITY,com.epam.catgenome.entity.wig.Wig,5,2,1,4,0,5,0,5,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\entity\wig\Wig.java,class,false,62
ENTITY,com.epam.catgenome.manager.externaldb.bindings.ecsbpdbmap.AlignObject,4,1,0,2,0,4,0,4,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\externaldb\bindings\ecsbpdbmap\AlignObject.java,class,false,65
CONTROLLER,com.epam.catgenome.controller.vo.externaldb.ensemblevo.EnsemblFullBaseVO,8,4,2,20,1,8,0,8,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\controller\vo\externaldb\ensemblevo\EnsemblFullBaseVO.java,class,false,87
SERVICE,com.epam.catgenome.manager.gene.GffManager,40,1,70,516,0,40,262,179,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\gene\GffManager.java,class,true,1239
TEST,com.epam.catgenome.manager.UrlShorterManagerTest,4,1,5,0,0,4,7,4,D:\Projetos\_Web\NGB\server\catgenome\src\test\java\com\epam\catgenome\manager\UrlShorterManagerTest.java,class,false,80
ENTITY,com.epam.catgenome.manager.externaldb.bindings.uniprot.NameListType,1,1,0,0,0,1,0,3,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\externaldb\bindings\uniprot\NameListType.java,class,false,109
TEST,com.epam.ngb.cli.manager.command.handler.http.DatasetMovingHandlerTest,13,2,12,18,0,13,24,13,D:\Projetos\_Web\NGB\server\ngb-cli\src\test\java\com\epam\ngb\cli\manager\command\handler\http\DatasetMovingHandlerTest.java,class,false,118
CONTROLLER,com.epam.catgenome.controller.reference.BookmarkController,4,2,15,0,0,4,10,4,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\controller\reference\BookmarkController.java,class,true,98
