DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
[COMMANDHANDLER],com.epam.ngb.cli.manager.command.handler.simple.AbstractSimpleCommandHandler,setConfiguration,3,1,2,1,0,1694,D:\Projetos\_Web\NGB\server\ngb-cli\src\main\java\com\epam\ngb\cli\manager\command\handler\simple\AbstractSimpleCommandHandler.java
[COMMANDHANDLER],com.epam.ngb.cli.manager.command.handler.simple.AbstractSimpleCommandHandler,getConfiguration,3,1,1,0,0,1600,D:\Projetos\_Web\NGB\server\ngb-cli\src\main\java\com\epam\ngb\cli\manager\command\handler\simple\AbstractSimpleCommandHandler.java
[COMMANDHANDLER],com.epam.ngb.cli.manager.command.handler.simple.AbstractSimpleCommandHandler,getCommand,3,1,2,0,0,1820,D:\Projetos\_Web\NGB\server\ngb-cli\src\main\java\com\epam\ngb\cli\manager\command\handler\simple\AbstractSimpleCommandHandler.java
[DOWNSAMPLINGSIFTER],com.epam.catgenome.manager.bam.sifters.ConstantMemorySAMRecordSampler,getDownsampleCoverageResult,3,1,1,0,0,5155,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\bam\sifters\ConstantMemorySAMRecordSampler.java
[DOWNSAMPLINGSIFTER],com.epam.catgenome.manager.bam.sifters.ConstantMemorySAMRecordSampler,add,22,6,9,6,0,3449,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\bam\sifters\ConstantMemorySAMRecordSampler.java
[DOWNSAMPLINGSIFTER],com.epam.catgenome.manager.bam.sifters.ConstantMemorySAMRecordSampler,sendBuffer,5,2,2,0,0,6418,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\bam\sifters\ConstantMemorySAMRecordSampler.java
[DOWNSAMPLINGSIFTER],com.epam.catgenome.manager.bam.sifters.ConstantMemorySAMRecordSampler,assertNotFinished,5,2,1,0,0,5269,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\bam\sifters\ConstantMemorySAMRecordSampler.java
[DOWNSAMPLINGSIFTER],com.epam.catgenome.manager.bam.sifters.ConstantMemorySAMRecordSampler,finish,9,2,2,0,0,4841,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\bam\sifters\ConstantMemorySAMRecordSampler.java
[DOWNSAMPLINGSIFTER],com.epam.catgenome.manager.bam.sifters.ConstantMemorySAMRecordSampler,getFilteredReadsCount,3,1,2,0,0,5439,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\bam\sifters\ConstantMemorySAMRecordSampler.java
[DOWNSAMPLINGSIFTER],com.epam.catgenome.manager.bam.sifters.ConstantMemorySAMRecordSampler,checkLazyInit,7,3,1,1,0,5615,D:\Projetos\_Web\NGB\server\catgenome\src\main\java\com\epam\catgenome\manager\bam\sifters\ConstantMemorySAMRecordSampler.java
