DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
TEST,test.unit.org.owasp.webscarab.util.SunCertificateUtilsTest,3,1,8,3,0,3,37,3,D:\Projetos\_Web\OWASP-WebScarab\test\java\test\unit\org\owasp\webscarab\util\SunCertificateUtilsTest.java,class,false,153
UNDEFINED,org.owasp.webscarab.model.Preferences,8,1,0,0,0,8,8,15,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\model\Preferences.java,class,false,118
ACTION,org.owasp.webscarab.ui.swing.TagConversationAction,3,2,2,1,0,3,7,10,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\ui\swing\TagConversationAction.java,class,false,92
ACTION,org.owasp.webscarab.util.swing.GloballyContextSensitiveAction,11,1,1,0,0,11,24,39,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\GloballyContextSensitiveAction.java,class,false,115
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,16,1,7,82,0,16,43,73,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java,class,false,188
MODEL,org.owasp.webscarab.plugin.saml.SamlModel,32,2,26,360,0,32,77,191,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\SamlModel.java,class,false,712
JBUTTON,org.owasp.webscarab.util.swing.HeapMonitor,6,2,1,34,0,6,28,16,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\HeapMonitor.java,class,false,102
JPANEL,org.owasp.webscarab.plugin.saml.swing.SamlPanel,50,2,27,3166,0,50,175,150,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\swing\SamlPanel.java,class,false,1837
JFRAME,org.owasp.webscarab.ui.swing.ScriptManagerFrame,31,2,9,610,0,31,82,88,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\ui\swing\ScriptManagerFrame.java,class,false,465
JFRAME,org.owasp.webscarab.plugin.fragments.swing.FragmentsFrame,11,2,2,52,0,11,22,14,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\fragments\swing\FragmentsFrame.java,class,false,177
JPANEL,org.owasp.webscarab.util.swing.MultiLineTreeCellRenderer,9,2,2,31,0,9,32,30,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\MultiLineTreeCellRenderer.java,class,false,167
JPANEL,org.owasp.webscarab.ui.swing.editors.XMLPanel,9,2,10,43,0,9,42,33,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\ui\swing\editors\XMLPanel.java,class,false,238
MODEL,org.owasp.webscarab.plugin.openid.swing.ParametersTableModel,8,2,2,0,0,8,8,20,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\openid\swing\ParametersTableModel.java,class,false,102
MODEL,org.owasp.webscarab.plugin.wsfed.WSFederationModel,9,2,13,13,0,9,35,34,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\wsfed\WSFederationModel.java,class,false,202
UNDEFINED,org.owasp.webscarab.plugin.Framework,33,1,19,258,0,33,84,123,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\Framework.java,class,false,529
UNDEFINED,org.owasp.webscarab.httpclient.HTTPClientFactory,16,1,7,80,0,16,15,31,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\httpclient\HTTPClientFactory.java,class,false,177
UNDEFINED,org.owasp.webscarab.plugin.AbstractPluginModel,15,1,1,23,13,15,7,25,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\AbstractPluginModel.java,class,false,111
UNDEFINED,org.owasp.webscarab.plugin.openid.AXFetchResponseAttribute,9,1,0,12,0,9,0,9,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\openid\AXFetchResponseAttribute.java,class,false,74
