DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
TEST,test.unit.org.owasp.webscarab.util.SunCertificateUtilsTest,generateKeyPair,7,1,5,1,0,6648,D:\Projetos\_Web\OWASP-WebScarab\test\java\test\unit\org\owasp\webscarab\util\SunCertificateUtilsTest.java
TEST,test.unit.org.owasp.webscarab.util.SunCertificateUtilsTest,generateKeyPair,4,1,1,0,0,7119,D:\Projetos\_Web\OWASP-WebScarab\test\java\test\unit\org\owasp\webscarab\util\SunCertificateUtilsTest.java
TEST,test.unit.org.owasp.webscarab.util.SunCertificateUtilsTest,testSign,48,1,22,0,0,2799,D:\Projetos\_Web\OWASP-WebScarab\test\java\test\unit\org\owasp\webscarab\util\SunCertificateUtilsTest.java
UNDEFINED,org.owasp.webscarab.model.Preferences,remove,3,1,2,1,0,3559,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\model\Preferences.java
UNDEFINED,org.owasp.webscarab.model.Preferences,savePreferences,5,1,2,0,0,2786,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\model\Preferences.java
UNDEFINED,org.owasp.webscarab.model.Preferences,getPreference,5,2,3,1,0,3120,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\model\Preferences.java
UNDEFINED,org.owasp.webscarab.model.Preferences,getPreference,5,2,1,2,0,3337,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\model\Preferences.java
UNDEFINED,org.owasp.webscarab.model.Preferences,setPreference,3,1,2,2,0,3000,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\model\Preferences.java
UNDEFINED,org.owasp.webscarab.model.Preferences,loadPreferences,18,3,6,1,0,1921,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\model\Preferences.java
UNDEFINED,org.owasp.webscarab.model.Preferences,getPreferences,3,1,1,0,0,1835,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\model\Preferences.java
ACTION,org.owasp.webscarab.ui.swing.TagConversationAction,actionPerformed,8,4,6,1,0,2225,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\ui\swing\TagConversationAction.java
ACTION,org.owasp.webscarab.ui.swing.TagConversationAction,putValue,11,5,2,2,0,2672,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\ui\swing\TagConversationAction.java
ACTION,org.owasp.webscarab.util.swing.GloballyContextSensitiveAction,propertyChange,9,4,4,1,0,866,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\GloballyContextSensitiveAction.java
ACTION,org.owasp.webscarab.util.swing.GloballyContextSensitiveAction,propertyChange,3,1,3,1,0,2027,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\GloballyContextSensitiveAction.java
ACTION,org.owasp.webscarab.util.swing.GloballyContextSensitiveAction,changeDelegate,8,2,4,2,0,2506,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\GloballyContextSensitiveAction.java
ACTION,org.owasp.webscarab.util.swing.GloballyContextSensitiveAction,isEnabled,3,1,2,0,0,2914,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\GloballyContextSensitiveAction.java
ACTION,org.owasp.webscarab.util.swing.GloballyContextSensitiveAction,getValue,7,5,3,1,0,3146,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\GloballyContextSensitiveAction.java
ACTION,org.owasp.webscarab.util.swing.GloballyContextSensitiveAction,addPropertyChangeListener,3,1,2,1,0,2212,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\GloballyContextSensitiveAction.java
ACTION,org.owasp.webscarab.util.swing.GloballyContextSensitiveAction,removePropertyChangeListener,3,1,2,1,0,2356,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\GloballyContextSensitiveAction.java
ACTION,org.owasp.webscarab.util.swing.GloballyContextSensitiveAction,putValue,6,5,3,2,0,3570,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\GloballyContextSensitiveAction.java
ACTION,org.owasp.webscarab.util.swing.GloballyContextSensitiveAction,actionPerformed,3,2,2,1,0,3993,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\GloballyContextSensitiveAction.java
ACTION,org.owasp.webscarab.util.swing.GloballyContextSensitiveAction,setEnabled,3,2,2,1,0,3016,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\util\swing\GloballyContextSensitiveAction.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,setUI,3,1,1,1,0,1224,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,deleteDomainCredentialAt,9,3,4,1,0,5088,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,getAllBasicCredentials,10,3,6,0,0,5433,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,getCredentials,11,11,7,2,0,1305,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,deleteBasicCredentialAt,13,4,5,1,0,4024,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,getDomainCredentialAt,6,2,6,1,0,4691,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,getDomainCredentialCount,3,1,2,0,0,4579,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,getProxyCredentials,11,11,6,2,0,2154,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,addDomainCredentials,4,5,2,1,0,3514,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,getPreferredCredentials,22,12,2,2,0,6010,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,addBasicCredentials,9,6,4,1,0,2997,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,getBasicCredentialAt,3,1,2,1,0,3900,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,getBasicCredentials,9,3,6,2,0,7034,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,getBasicCredentialCount,3,1,2,0,0,3794,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
[AUTHENTICATOR],org.owasp.webscarab.plugin.CredentialManager,getDomainCredentials,6,2,4,1,0,7562,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\CredentialManager.java
MODEL,org.owasp.webscarab.plugin.saml.SamlModel,verifySAMLProtocolSignature,60,13,16,1,0,14313,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\SamlModel.java
MODEL,org.owasp.webscarab.plugin.saml.SamlModel,getDecodedSAMLMessage,5,1,2,1,0,8415,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\SamlModel.java
MODEL,org.owasp.webscarab.plugin.saml.SamlModel,getDecodedSAMLMessage,10,2,3,1,0,8666,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\SamlModel.java
MODEL,org.owasp.webscarab.plugin.saml.SamlModel,getSAMLMessage,4,1,3,1,0,5676,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\SamlModel.java
MODEL,org.owasp.webscarab.plugin.saml.SamlModel,setSAMLRequest,4,1,3,2,0,17744,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\SamlModel.java
MODEL,org.owasp.webscarab.plugin.saml.SamlModel,getSamlConversationModel,3,1,2,0,0,17424,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\SamlModel.java
MODEL,org.owasp.webscarab.plugin.saml.SamlModel,getSAMLDocument,20,4,7,1,0,9317,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\SamlModel.java
MODEL,org.owasp.webscarab.plugin.saml.SamlModel,hasValidityIntervalIndication,40,14,5,1,0,27551,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\SamlModel.java
MODEL,org.owasp.webscarab.plugin.saml.SamlModel,hasDestinationIndicationSaml2Response,26,7,3,1,0,17991,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\SamlModel.java
MODEL,org.owasp.webscarab.plugin.saml.SamlModel,hasDestinationIndicationSaml2AuthnRequest,6,2,2,1,0,20074,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\SamlModel.java
MODEL,org.owasp.webscarab.plugin.saml.SamlModel,getRelayState,4,1,3,1,0,5213,D:\Projetos\_Web\OWASP-WebScarab\src\org\owasp\webscarab\plugin\saml\SamlModel.java
