DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
UNDEFINED,cn.edu.xtu.qchat.common.RDU,14,1,0,15,0,14,13,19,D:\Projetos\_Web\Qchat\src\main\java\cn\edu\xtu\qchat\common\RDU.java,class,false,194
ENTITY,cn.edu.xtu.qchat.common.view.PagesView,9,1,4,12,0,9,8,11,D:\Projetos\_Web\Qchat\src\main\java\cn\edu\xtu\qchat\common\view\PagesView.java,class,false,78
UNDEFINED,cn.edu.xtu.qchat.core.MessageHandler,5,1,7,9,0,5,27,28,D:\Projetos\_Web\Qchat\src\main\java\cn\edu\xtu\qchat\core\MessageHandler.java,class,false,131
VIEW,cn.edu.xtu.qchat.user.view.UserView,22,2,13,141,0,22,36,42,D:\Projetos\_Web\Qchat\src\main\java\cn\edu\xtu\qchat\user\view\UserView.java,class,false,246
UNDEFINED,cn.edu.xtu.qchat.common.util.FileManagementUtils,3,1,1,3,0,3,8,4,D:\Projetos\_Web\Qchat\src\main\java\cn\edu\xtu\qchat\common\util\FileManagementUtils.java,class,false,55
VIEW,cn.edu.xtu.qchat.common.view.EntranceView,10,2,8,27,0,10,10,20,D:\Projetos\_Web\Qchat\src\main\java\cn\edu\xtu\qchat\common\view\EntranceView.java,class,false,123
UNDEFINED,cn.edu.xtu.qchat.common.util.DateUtils,6,1,1,13,0,6,9,16,D:\Projetos\_Web\Qchat\src\main\java\cn\edu\xtu\qchat\common\util\DateUtils.java,class,false,107
VIEW,cn.edu.xtu.qchat.message.view.MultipleChatMessageView,10,3,9,5,0,10,22,20,D:\Projetos\_Web\Qchat\src\main\java\cn\edu\xtu\qchat\message\view\MultipleChatMessageView.java,class,false,122
ENTITY,cn.edu.xtu.qchat.message.entity.SingleChatMessage,7,2,2,0,0,7,0,7,D:\Projetos\_Web\Qchat\src\main\java\cn\edu\xtu\qchat\message\entity\SingleChatMessage.java,class,false,45
VIEW,cn.edu.xtu.qchat.message.view.MessageView,5,2,6,6,2,5,3,9,D:\Projetos\_Web\Qchat\src\main\java\cn\edu\xtu\qchat\message\view\MessageView.java,class,false,62
PERSISTENCE,cn.edu.xtu.qchat.common.dao.jpa.JpaDaoTemplate,50,1,7,0,0,50,31,64,D:\Projetos\_Web\Qchat\src\main\java\cn\edu\xtu\qchat\common\dao\jpa\JpaDaoTemplate.java,class,false,387
UNDEFINED,cn.edu.xtu.qchat.AbstractSpringTest,4,1,10,4,3,4,5,7,D:\Projetos\_Web\Qchat\src\test\java\cn\edu\xtu\qchat\AbstractSpringTest.java,class,false,59
TEST,cn.edu.xtu.qchat.user.service.GroupServiceTest,2,2,5,1,0,2,4,2,D:\Projetos\_Web\Qchat\src\test\java\cn\edu\xtu\qchat\user\service\GroupServiceTest.java,class,false,33
