DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
REPORT,org.archive.crawler.reporting.ToeThreadsReport,write,3,1,2,2,0,1050,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\ToeThreadsReport.java
REPORT,org.archive.crawler.reporting.ToeThreadsReport,getFilename,3,1,1,0,0,1206,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\ToeThreadsReport.java
BASERULE,org.archive.modules.canonicalize.StripUserinfoRule,canonicalize,3,1,2,1,0,1686,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\canonicalize\StripUserinfoRule.java
UNDEFINED,org.archive.crawler.framework.Engine,deleteJob,3,1,2,1,0,9345,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,findJobConfigs,24,8,5,0,0,2573,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,getProfileCxmlResource,3,1,1,0,0,12255,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,getHeritrixVersion,3,1,1,0,0,9253,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,getJob,6,2,3,1,0,9587,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,accept,3,8,6,2,0,5035,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,copy,24,6,7,3,0,6316,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,copy,7,2,4,3,0,8623,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,heapReportData,7,1,3,0,0,9902,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,waitForNoRunningJobs,26,8,7,1,0,11095,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,heapReport,8,1,4,0,0,10288,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,writeJobPathFile,6,1,5,1,0,13446,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,shutdown,8,3,2,0,0,10843,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,getJobConfigs,3,1,1,0,0,6213,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,createNewJobWithDefaults,16,2,8,1,0,12473,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,getJobDirectoryFrom,9,2,4,1,0,4194,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
UNDEFINED,org.archive.crawler.framework.Engine,getJobsDir,3,1,1,0,0,9832,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java
