DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
[SAVEHANDLER],org.openmrs.api.handler.UserSaveHandler,2,1,6,1,0,2,9,8,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\handler\UserSaveHandler.java,class,false
[VALIDATOR],org.openmrs.validator.ConceptNameTagValidator,2,1,4,1,0,2,10,8,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\validator\ConceptNameTagValidator.java,class,false
TEST,org.openmrs.propertyeditor.ProgramWorkflowStateEditorTest,2,4,5,1,0,2,1,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\propertyeditor\ProgramWorkflowStateEditorTest.java,class,false
TEST,org.openmrs.test.CreateCoreUuids,2,3,3,1,0,2,36,7,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\test\CreateCoreUuids.java,class,false
PERSISTENCE,org.openmrs.api.db.hibernate.HibernateOrderDAO,41,1,22,0,0,41,77,110,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\db\hibernate\HibernateOrderDAO.java,class,false
TEST,org.openmrs.api.db.hibernate.HibernatePersonDAOTest,45,3,10,0,0,45,45,50,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernatePersonDAOTest.java,class,false
ENTITY,org.openmrs.api.cache.OpenmrsCacheManagerFactoryBean,1,2,4,0,0,1,9,1,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\cache\OpenmrsCacheManagerFactoryBean.java,class,false
TEST,org.openmrs.util.OpenmrsUtilTest,48,3,7,1128,0,48,55,53,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\util\OpenmrsUtilTest.java,class,false
UNDEFINED,org.openmrs.web.test.WebTestHelper,8,1,16,22,0,8,15,16,D:\Projetos\_Web\openmrs-core\web\src\test\java\org\openmrs\web\test\WebTestHelper.java,class,false
BASEOPENMRSOBJECT,org.openmrs.EncounterType,11,4,2,45,0,11,4,11,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\EncounterType.java,class,false
[SAVEHANDLER],org.openmrs.api.handler.ConceptSaveHandler,1,1,5,0,0,1,16,20,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\api\handler\ConceptSaveHandler.java,class,false
VIEW,org.openmrs.util.LocaleUtility,10,1,3,41,0,10,27,31,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\LocaleUtility.java,class,false
CONTEXTLOADER,org.openmrs.web.Listener,21,2,18,136,0,21,111,111,D:\Projetos\_Web\openmrs-core\web\src\main\java\org\openmrs\web\Listener.java,class,false
TEST,org.openmrs.api.db.hibernate.HibernateFormDAOTest,2,3,7,1,0,2,7,2,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\api\db\hibernate\HibernateFormDAOTest.java,class,false
[CUSTOMTASKCHANGE],org.openmrs.util.databasechange.MoveDeletedHL7sChangeSet,5,1,6,10,0,5,16,11,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\util\databasechange\MoveDeletedHL7sChangeSet.java,class,false
TEST,org.openmrs.UserTest,10,1,4,0,0,10,7,10,D:\Projetos\_Web\openmrs-core\api\src\test\java\org\openmrs\UserTest.java,class,false
ENTITY,org.openmrs.Person,79,4,32,2889,0,79,101,196,D:\Projetos\_Web\openmrs-core\api\src\main\java\org\openmrs\Person.java,class,true
