DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelJoinMethod,getMethodName,3,1,1,0,0,630,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelJoinMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelJoinMethod,setName,3,1,2,1,0,566,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelJoinMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelJoinMethod,createParameters,3,1,1,1,0,883,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelJoinMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelJoinMethod,getName,3,1,1,0,0,516,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelJoinMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelJoinMethod,validate,5,2,1,1,0,728,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelJoinMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.groups.GroupArchiveMethod,getMethodName,3,1,1,0,0,344,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\groups\GroupArchiveMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.groups.GroupSetTopicMethod,getMethodName,3,1,1,0,0,369,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\groups\GroupSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.im.ImHistoryMethod,getMethodName,3,1,1,0,0,327,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\im\ImHistoryMethod.java
UNDEFINED,flowctrl.integration.slack.type.StarList,setPaging,3,1,2,1,0,558,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\StarList.java
UNDEFINED,flowctrl.integration.slack.type.StarList,getItems,6,2,2,0,0,300,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\StarList.java
UNDEFINED,flowctrl.integration.slack.type.StarList,toString,3,1,1,0,0,630,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\StarList.java
UNDEFINED,flowctrl.integration.slack.type.StarList,getPaging,3,1,1,0,0,504,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\StarList.java
UNDEFINED,flowctrl.integration.slack.type.StarList,setItems,3,1,2,1,0,428,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\StarList.java
UNDEFINED,flowctrl.integration.slack.type.Field,setValue,3,1,2,1,0,734,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
UNDEFINED,flowctrl.integration.slack.type.Field,setTitle,3,1,2,1,0,614,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
UNDEFINED,flowctrl.integration.slack.type.Field,getValue,3,1,1,0,0,682,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
UNDEFINED,flowctrl.integration.slack.type.Field,set_short,3,1,2,1,0,857,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
UNDEFINED,flowctrl.integration.slack.type.Field,toString,3,1,1,0,0,930,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
UNDEFINED,flowctrl.integration.slack.type.Field,get_short,3,1,1,0,0,802,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
UNDEFINED,flowctrl.integration.slack.type.Field,getTitle,3,1,1,0,0,562,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Field.java
TEST,flowctrl.integration.slack.method.ChannelNameValidatorTest,channelNameValidatorTest,29,2,6,0,0,298,D:\Projetos\_Web\slack-api\src\test\java\flowctrl\integration\slack\method\ChannelNameValidatorTest.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.mpim.MpimOpenMethod,getUsers,3,1,1,0,0,522,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\mpim\MpimOpenMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.mpim.MpimOpenMethod,createParameters,13,4,3,1,0,924,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\mpim\MpimOpenMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.mpim.MpimOpenMethod,validate,5,3,2,1,0,748,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\mpim\MpimOpenMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.mpim.MpimOpenMethod,setUsers,3,1,2,1,0,580,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\mpim\MpimOpenMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.mpim.MpimOpenMethod,getMethodName,3,1,1,0,0,654,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\mpim\MpimOpenMethod.java
UNDEFINED,flowctrl.integration.slack.type.TeamAccessLogList,getPaging,3,1,1,0,0,526,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\TeamAccessLogList.java
UNDEFINED,flowctrl.integration.slack.type.TeamAccessLogList,getLogins,6,2,2,0,0,311,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\TeamAccessLogList.java
UNDEFINED,flowctrl.integration.slack.type.TeamAccessLogList,setPaging,3,1,2,1,0,580,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\TeamAccessLogList.java
UNDEFINED,flowctrl.integration.slack.type.TeamAccessLogList,setLogins,3,1,2,1,0,445,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\TeamAccessLogList.java
UNDEFINED,flowctrl.integration.slack.type.TeamAccessLogList,toString,3,1,1,0,0,652,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\TeamAccessLogList.java
UNDEFINED,flowctrl.integration.slack.type.Topic,getLast_set,3,1,1,0,0,397,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
UNDEFINED,flowctrl.integration.slack.type.Topic,setValue,3,1,2,1,0,589,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
UNDEFINED,flowctrl.integration.slack.type.Topic,setCreator,3,1,2,1,0,321,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
UNDEFINED,flowctrl.integration.slack.type.Topic,setLast_set,3,1,2,1,0,456,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
UNDEFINED,flowctrl.integration.slack.type.Topic,getCreator,3,1,1,0,0,265,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
UNDEFINED,flowctrl.integration.slack.type.Topic,getValue,3,1,1,0,0,537,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
UNDEFINED,flowctrl.integration.slack.type.Topic,toString,3,1,1,0,0,657,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Topic.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.users.UserListMethod,getMethodName,3,1,1,0,0,640,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\users\UserListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.users.UserListMethod,createParameters,5,2,1,1,0,821,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\users\UserListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.users.UserListMethod,validate,2,1,1,1,0,735,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\users\UserListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.users.UserListMethod,getPresence,3,1,1,0,0,502,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\users\UserListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.users.UserListMethod,setPresence,3,1,2,1,0,560,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\users\UserListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,createParameters,6,2,1,1,0,1020,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,getFoo,3,1,1,0,0,541,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,setFoo,3,1,2,1,0,589,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,isRequiredToken,3,1,1,0,0,769,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,getError,3,1,1,0,0,649,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,setError,3,1,2,1,0,701,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,validate,2,1,1,1,0,934,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.test.ApiTestMethod,getMethodName,3,1,1,0,0,841,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\test\ApiTestMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,getName,3,1,1,0,0,553,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,setFull,3,1,2,1,0,717,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,createParameters,7,2,2,1,0,1062,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,isFull,3,1,1,0,0,667,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,setName,3,1,2,1,0,603,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,getMethodName,3,1,1,0,0,782,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.reactions.ReactionsGetMethod,validate,6,2,1,1,0,880,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\reactions\ReactionsGetMethod.java
UNDEFINED,flowctrl.integration.slack.validation.SlackFieldValidationUtils,validUrl,5,3,2,2,0,1528,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\validation\SlackFieldValidationUtils.java
UNDEFINED,flowctrl.integration.slack.validation.SlackFieldValidationUtils,validChannelName,3,1,5,1,0,790,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\validation\SlackFieldValidationUtils.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,validate,8,3,1,1,0,954,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,setTopic,3,1,2,1,0,783,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,createParameters,4,1,1,1,0,1199,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,setChannel,3,1,2,1,0,655,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,getMethodName,3,1,1,0,0,851,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,getChannel,3,1,1,0,0,599,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.channels.ChannelSetTopicMethod,getTopic,3,1,1,0,0,731,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\channels\ChannelSetTopicMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileInfoMethod,validate,6,2,1,1,0,728,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileInfoMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileInfoMethod,getMethodName,3,1,1,0,0,633,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileInfoMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileInfoMethod,setFile,3,1,2,1,0,569,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileInfoMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileInfoMethod,getFile,3,1,1,0,0,519,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileInfoMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileInfoMethod,createParameters,4,1,1,1,0,910,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileInfoMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.pins.PinsRemoveMethod,getMethodName,3,1,1,0,0,251,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\pins\PinsRemoveMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.groups.GroupListMethod,getMethodName,3,1,1,0,0,351,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\groups\GroupListMethod.java
ENTITY,flowctrl.integration.slack.type.Team,getName,3,1,1,0,0,811,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Team.java
ENTITY,flowctrl.integration.slack.type.Team,getId,3,1,1,0,0,311,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Team.java
ENTITY,flowctrl.integration.slack.type.Team,getIcon,3,1,1,0,0,701,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Team.java
ENTITY,flowctrl.integration.slack.type.Team,setDoamin,3,1,2,1,0,467,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Team.java
ENTITY,flowctrl.integration.slack.type.Team,setEmail_domain,3,1,2,1,0,605,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Team.java
ENTITY,flowctrl.integration.slack.type.Team,getDoamin,3,1,1,0,0,413,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Team.java
ENTITY,flowctrl.integration.slack.type.Team,setId,3,1,2,1,0,357,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Team.java
ENTITY,flowctrl.integration.slack.type.Team,getEmail_domain,3,1,1,0,0,539,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Team.java
ENTITY,flowctrl.integration.slack.type.Team,setName,3,1,2,1,0,861,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Team.java
ENTITY,flowctrl.integration.slack.type.Team,setIcon,3,1,2,1,0,749,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Team.java
ENTITY,flowctrl.integration.slack.type.Team,toString,3,1,1,0,0,925,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Team.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.groups.GroupMarkMethod,getMethodName,3,1,1,0,0,347,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\groups\GroupMarkMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.mpim.MpimHistoryMethod,getMethodName,3,1,1,0,0,324,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\mpim\MpimHistoryMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileListMethod,getUser,3,1,1,0,0,391,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileListMethod,getMethodName,3,1,1,0,0,877,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileListMethod,createParameters,9,5,1,1,0,972,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileListMethod,getTs_from,3,1,1,0,0,505,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileListMethod,getTs_to,3,1,1,0,0,637,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileListMethod,getTypes,3,1,1,0,0,757,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileListMethod,setTypes,3,1,2,1,0,809,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileListMethod,setTs_from,3,1,2,1,0,561,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileListMethod,setTs_to,3,1,2,1,0,689,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileListMethod.java
ABSTRACTMETHOD,flowctrl.integration.slack.webapi.method.files.FileListMethod,setUser,3,1,2,1,0,441,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\webapi\method\files\FileListMethod.java
UNDEFINED,flowctrl.integration.slack.type.Reaction,setCount,3,1,2,1,0,490,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reaction.java
UNDEFINED,flowctrl.integration.slack.type.Reaction,getName,3,1,1,0,0,323,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reaction.java
UNDEFINED,flowctrl.integration.slack.type.Reaction,setName,3,1,2,1,0,373,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reaction.java
UNDEFINED,flowctrl.integration.slack.type.Reaction,setUsers,3,1,2,1,0,683,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reaction.java
UNDEFINED,flowctrl.integration.slack.type.Reaction,getUsers,6,2,2,0,0,559,D:\Projetos\_Web\slack-api\src\main\java\flowctrl\integration\slack\type\Reaction.java
