DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
TEST,allbegray.slack.SlackbotClientTest,3,1,4,0,0,3,3,3,D:\Projetos\_Web\slack-api\src\test\java\allbegray\slack\SlackbotClientTest.java,class,false
TEST,allbegray.slack.SlackWebApiClientIntegrationTest,5,1,12,0,0,5,31,6,D:\Projetos\_Web\slack-api\src\test\java\allbegray\slack\SlackWebApiClientIntegrationTest.java,class,false
ABSTRACTMETHOD,allbegray.slack.webapi.method.files.FileSharedPublicURLMethod,6,2,3,0,0,6,2,8,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\webapi\method\files\FileSharedPublicURLMethod.java,class,false
ABSTRACTMETHOD,allbegray.slack.webapi.method.channels.ChannelSetPurposeMethod,8,2,3,0,1,8,2,12,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\webapi\method\channels\ChannelSetPurposeMethod.java,class,false
TEST,allbegray.slack.webapi.method.dnd.DndMethodTest,3,1,9,0,0,3,14,3,D:\Projetos\_Web\slack-api\src\test\java\allbegray\slack\webapi\method\dnd\DndMethodTest.java,class,false
ENTITY,allbegray.slack.type.Action,14,1,3,55,0,14,0,14,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\type\Action.java,class,false
TEST,allbegray.slack.webapi.method.bots.BotsTest,2,1,4,0,0,2,3,2,D:\Projetos\_Web\slack-api\src\test\java\allbegray\slack\webapi\method\bots\BotsTest.java,class,false
UNDEFINED,allbegray.slack.bot.SlackbotClient,6,1,5,0,0,6,6,15,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\bot\SlackbotClient.java,class,false
TEST,allbegray.slack.method.ValidateTest,7,1,7,21,0,7,26,19,D:\Projetos\_Web\slack-api\src\test\java\allbegray\slack\method\ValidateTest.java,class,false
ABSTRACTMETHOD,allbegray.slack.webapi.method.search.SearchAllMethod,2,4,1,1,0,2,0,2,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\webapi\method\search\SearchAllMethod.java,class,false
ENTITY,allbegray.slack.type.DndSimpleInfo,6,1,1,9,0,6,0,6,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\type\DndSimpleInfo.java,class,false
UNDEFINED,allbegray.slack.type.FileInfo,7,1,4,3,0,7,0,9,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\type\FileInfo.java,class,false
UNDEFINED,allbegray.slack.RestUtils,5,1,16,10,0,5,30,16,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\RestUtils.java,class,false
UNDEFINED,allbegray.slack.type.BotAccessToken,5,1,1,0,0,5,0,5,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\type\BotAccessToken.java,class,false
ABSTRACTMETHOD,allbegray.slack.webapi.method.im.ImOpenMethod,6,2,3,0,0,6,2,8,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\webapi\method\im\ImOpenMethod.java,class,false
ABSTRACTMETHOD,allbegray.slack.webapi.method.im.ImHistoryMethod,2,3,1,1,1,2,0,2,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\webapi\method\im\ImHistoryMethod.java,class,false
ABSTRACTMETHOD,allbegray.slack.webapi.method.AbstractHistoryMethod,15,2,3,31,3,15,5,28,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\webapi\method\AbstractHistoryMethod.java,class,false
UNDEFINED,allbegray.slack.type.Paging,9,1,1,12,0,9,0,9,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\type\Paging.java,class,false
ENTITY,allbegray.slack.type.Reminder,15,1,1,63,0,15,0,15,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\type\Reminder.java,class,false
ABSTRACTMETHOD,allbegray.slack.webapi.method.chats.ChatUpdateMethod,16,2,6,46,0,16,4,27,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\webapi\method\chats\ChatUpdateMethod.java,class,false
UNDEFINED,allbegray.slack.type.ReactionList,5,1,3,0,0,5,0,7,D:\Projetos\_Web\slack-api\src\main\java\allbegray\slack\type\ReactionList.java,class,false
