DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
[CLOSINGSAVINGLOGIC],br.com.webbudget.domain.logics.financial.closing.ChangePeriodMovementStatusLogic,run,8,1,4,1,0,1648,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\financial\closing\ChangePeriodMovementStatusLogic.java
UNDEFINED,br.com.webbudget.application.components.ui.chart.ChartUtils,percentageOf,7,1,2,2,0,1051,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\ui\chart\ChartUtils.java
UNDEFINED,br.com.webbudget.application.components.ui.chart.ChartUtils,percentageOf,14,4,3,3,0,1702,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\ui\chart\ChartUtils.java
[INITIALIZATIONTASK],br.com.webbudget.infrastructure.initializer.TransactionalInitializationTask,run,16,3,3,0,0,1310,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\initializer\TransactionalInitializationTask.java
[INITIALIZATIONTASK],br.com.webbudget.infrastructure.initializer.TransactionalInitializationTask,runInsideTransaction,0,1,0,0,0,1821,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\initializer\TransactionalInitializationTask.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,compareAccumulates,3,1,2,0,0,5225,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,calculateAccumulatesPercentage,7,3,4,0,0,5573,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,getCreditCardsGoalPercentage,3,1,3,0,0,6836,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,calculateExpensesPercentage,7,3,4,0,0,3660,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,compareBalances,3,1,2,0,0,4276,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,calculateBalancesPercentage,7,3,4,0,0,4613,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,getExpensesGoalPercentage,3,1,3,0,0,6204,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,getRevenuesGoalPercentage,3,1,3,0,0,6520,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,compareExpenses,3,1,2,0,0,3321,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,compareRevenues,3,1,2,0,0,2366,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,calculateRevenuesPercentage,7,3,4,0,0,2705,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,load,7,3,1,0,0,1771,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,isOverdue,3,1,3,0,0,5024,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,isPaidWithCash,3,1,2,0,0,3857,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,isCreditCardInvoice,3,1,2,0,0,4088,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,isAccounted,3,1,2,0,0,4787,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,prepareToAccount,4,1,1,0,0,6967,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,getPaymentWallet,9,3,3,0,0,5774,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,getPaymentDate,3,2,2,0,0,3126,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,isDiscountPresent,3,1,2,0,0,5485,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,isPaidWithCreditCard,3,1,2,0,0,3344,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,prepareToReopenPeriod,4,1,1,0,0,7225,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,getValueWithDiscount,3,2,2,0,0,5229,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,isPaidWithDebitCard,3,1,2,0,0,3602,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,isPaid,3,1,2,0,0,4343,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,isOpen,3,1,2,0,0,4565,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,prepareToPay,9,2,3,1,0,6373,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java
UNDEFINED,br.com.webbudget.domain.services.FinancialPeriodService,delete,4,1,2,1,0,2659,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\FinancialPeriodService.java
UNDEFINED,br.com.webbudget.domain.services.FinancialPeriodService,save,7,2,3,1,0,1989,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\FinancialPeriodService.java
[WALLETSAVINGLOGIC| WALLETUPDATINGLOGIC],br.com.webbudget.domain.logics.registration.wallet.WalletDuplicatesValidator,validateNotSaved,7,1,3,1,0,1703,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\registration\wallet\WalletDuplicatesValidator.java
[WALLETSAVINGLOGIC| WALLETUPDATINGLOGIC],br.com.webbudget.domain.logics.registration.wallet.WalletDuplicatesValidator,run,8,2,1,1,0,1443,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\registration\wallet\WalletDuplicatesValidator.java
[WALLETSAVINGLOGIC| WALLETUPDATINGLOGIC],br.com.webbudget.domain.logics.registration.wallet.WalletDuplicatesValidator,find,3,1,4,2,0,2588,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\registration\wallet\WalletDuplicatesValidator.java
[WALLETSAVINGLOGIC| WALLETUPDATINGLOGIC],br.com.webbudget.domain.logics.registration.wallet.WalletDuplicatesValidator,validateSaved,6,3,3,1,0,2143,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\registration\wallet\WalletDuplicatesValidator.java
ACTION,br.com.webbudget.infrastructure.initializer.tasks.CreateAdminUserTask,getPriority,3,1,1,0,0,2783,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\initializer\tasks\CreateAdminUserTask.java
ACTION,br.com.webbudget.infrastructure.initializer.tasks.CreateAdminUserTask,runInsideTransaction,15,1,4,0,0,2020,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\initializer\tasks\CreateAdminUserTask.java
ENTITY,br.com.webbudget.application.controller.registration.MovementClassBean,doUpdate,5,1,1,0,0,4068,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\registration\MovementClassBean.java
ENTITY,br.com.webbudget.application.controller.registration.MovementClassBean,initializeNavigationManager,7,1,1,0,0,2875,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\registration\MovementClassBean.java
ENTITY,br.com.webbudget.application.controller.registration.MovementClassBean,initialize,5,1,3,2,0,2510,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\registration\MovementClassBean.java
ENTITY,br.com.webbudget.application.controller.registration.MovementClassBean,load,3,1,5,4,0,3350,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\registration\MovementClassBean.java
ENTITY,br.com.webbudget.application.controller.registration.MovementClassBean,doSave,6,1,2,0,0,3755,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\registration\MovementClassBean.java
ENTITY,br.com.webbudget.application.controller.registration.MovementClassBean,doDelete,5,1,2,0,0,4363,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\registration\MovementClassBean.java
