DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
[CLOSINGSAVINGLOGIC],br.com.webbudget.domain.logics.financial.closing.ChangePeriodMovementStatusLogic,run,8,1,4,1,0,1692,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\financial\closing\ChangePeriodMovementStatusLogic.java
UNDEFINED,br.com.webbudget.application.components.ui.chart.ChartUtils,percentageOf,7,1,2,2,0,1084,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\ui\chart\ChartUtils.java
UNDEFINED,br.com.webbudget.application.components.ui.chart.ChartUtils,percentageOf,14,4,3,3,0,1754,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\ui\chart\ChartUtils.java
[INITIALIZATIONTASK],br.com.webbudget.infrastructure.initializer.TransactionalInitializationTask,run,16,3,3,0,0,1347,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\initializer\TransactionalInitializationTask.java
[INITIALIZATIONTASK],br.com.webbudget.infrastructure.initializer.TransactionalInitializationTask,runInsideTransaction,0,1,0,0,0,1877,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\initializer\TransactionalInitializationTask.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,compareAccumulates,3,1,2,0,0,5355,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,calculateAccumulatesPercentage,7,3,4,0,0,5712,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,getCreditCardsGoalPercentage,3,1,3,0,0,7008,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,calculateExpensesPercentage,7,3,4,0,0,3755,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,compareBalances,3,1,2,0,0,4384,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,calculateBalancesPercentage,7,3,4,0,0,4730,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,getExpensesGoalPercentage,3,1,3,0,0,6356,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,getRevenuesGoalPercentage,3,1,3,0,0,6682,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java
