DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.api.dao.DebugUtils,smallStack,3,1,1,0,0,915,D:\Projetos\_Web\webanno\webanno-api-dao\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\dao\DebugUtils.java
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.api.dao.DebugUtils,smallStack,28,7,7,1,0,991,D:\Projetos\_Web\webanno\webanno-api-dao\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\dao\DebugUtils.java
JDBCUSERDETAILSMANAGER,de.tudarmstadt.ukp.clarin.webanno.security.OverridableUserDetailsManager,loadUserAuthorities,17,4,9,1,0,1326,D:\Projetos\_Web\webanno\webanno-security\src\main\java\de\tudarmstadt\ukp\clarin\webanno\security\OverridableUserDetailsManager.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,getSupportedFeatureTypes,3,1,3,1,0,4179,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,accepts,17,7,2,1,0,4355,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,configureFeature,5,2,2,1,0,9665,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,renderFeatureValue,13,4,3,2,0,9944,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,setFeatureValue,14,7,8,4,0,4931,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,wrapFeatureValue,3,1,3,3,0,5931,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,afterPropertiesSet,3,1,1,0,0,3680,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,unwrapFeatureValue,3,1,4,3,0,6073,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,createTraitsEditor,25,7,5,2,0,6221,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,getId,3,1,1,0,0,3475,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,createEditor,45,9,13,5,0,7229,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,generateFeature,3,1,3,3,0,9422,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,setBeanName,3,1,1,1,0,3565,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java
TEST,de.tudarmstadt.ukp.clarin.webanno.curation.casmerge.CasMergeSuiteTest,tsvFiles,3,1,3,0,0,2299,D:\Projetos\_Web\webanno\webanno-curation\src\test\java\de\tudarmstadt\ukp\clarin\webanno\curation\casmerge\CasMergeSuiteTest.java
TEST,de.tudarmstadt.ukp.clarin.webanno.curation.casmerge.CasMergeSuiteTest,runTest,12,2,7,0,0,2710,D:\Projetos\_Web\webanno\webanno-curation\src\test\java\de\tudarmstadt\ukp\clarin\webanno\curation\casmerge\CasMergeSuiteTest.java
TEST,de.tudarmstadt.ukp.clarin.webanno.curation.casmerge.CasMergeSuiteTest,getSingleCasByUser,7,2,4,1,0,3579,D:\Projetos\_Web\webanno\webanno-curation\src\test\java\de\tudarmstadt\ukp\clarin\webanno\curation\casmerge\CasMergeSuiteTest.java
TEST,de.tudarmstadt.ukp.clarin.webanno.curation.casmerge.CasMergeSuiteTest,writeAndAssertEquals,12,1,6,1,0,3918,D:\Projetos\_Web\webanno\webanno-curation\src\test\java\de\tudarmstadt\ukp\clarin\webanno\curation\casmerge\CasMergeSuiteTest.java
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.support.standalone.StandaloneShutdownDialog,handleCloseEvent,17,5,6,1,0,5229,D:\Projetos\_Web\webanno\webanno-support-standalone\src\main\java\de\tudarmstadt\ukp\clarin\webanno\support\standalone\StandaloneShutdownDialog.java
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.support.standalone.StandaloneShutdownDialog,onApplicationEvent,36,9,0,1,0,2356,D:\Projetos\_Web\webanno\webanno-support-standalone\src\main\java\de\tudarmstadt\ukp\clarin\webanno\support\standalone\StandaloneShutdownDialog.java
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.support.standalone.StandaloneShutdownDialog,onApplicationEvent,3,1,1,1,0,5054,D:\Projetos\_Web\webanno\webanno-support-standalone\src\main\java\de\tudarmstadt\ukp\clarin\webanno\support\standalone\StandaloneShutdownDialog.java
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.support.standalone.StandaloneShutdownDialog,windowClosing,2,1,1,1,0,4511,D:\Projetos\_Web\webanno\webanno-support-standalone\src\main\java\de\tudarmstadt\ukp\clarin\webanno\support\standalone\StandaloneShutdownDialog.java
ENTITY,de.tudarmstadt.ukp.clarin.webanno.brat.render.model.Entity,getOffsets,3,1,1,0,0,3210,D:\Projetos\_Web\webanno\webanno-brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\render\model\Entity.java
