DesignRoleTechnique;LOC;CC;Efferent;NOP;
UNDEFINED;63;13;13;4;
[IPREDICATE];23;6;7;3;
COSTASSIGNMENTPOLICY;23;4;7;3;
JCHECKBOX;23;4;7;6;
[FEATURE];23;4;7;3;
SEEKREADER;23;5;7;3;
ABSTRACTFEATURESORTER;23;4;7;3;
RAW;23;4;7;3;
REPORTPERORDERELEMENTDTO;23;4;7;3;
[IJIRAORDERELEMENTSYNCHRONIZER];43;10;14;4;
[TAGLET];23;4;7;3;
[IADDMILESTONECOMMAND];23;4;7;3;
[IURLHANDLERREGISTRY];23;4;7;3;
[PERIODMOVEMENTSAVINGLOGIC| PERIODMOVEMENTUPDATINGLOGIC];23;4;7;3;
SWFTAGTYPESIMPL;23;4;7;9;
JCASRESOURCECOLLECTIONREADER_IMPLBASE;213;47;34;11;
ALLOCATIONMODIFICATION;23;4;7;3;
HESSIANPROXY;23;4;7;3;
[ANNOTATIONEDITOREXTENSIONREGISTRY];23;4;8;8;
[SVGIMAGECREATOR];127;15;21;3;
INTERNALMESSAGE;23;4;7;3;
[SERVLETCONTEXTINITIALIZER];23;4;7;3;
[ATTRIBUTECONVERTER];23;4;7;3;
STEPRESULT;23;4;7;3;
PARSER;23;7;7;3;
[RENDERER];23;4;7;3;
ABSTRACTDEFAULTAJAXBEHAVIOR;23;4;7;3;
[CLOSINGSAVINGLOGIC];23;4;7;3;
[USERDELETINGLOGIC];23;4;7;3;
[REQUESTPAYLOAD];23;4;7;3;
SPRINGBOOTSERVLETINITIALIZER;23;4;7;3;
FORMAUTHENTICATIONFILTER;23;5;10;4;
[PROTOCOLENCODER];23;4;7;3;
[GLOBALINTERCEPTORSREGISTRY];23;4;7;3;
[LAYERINITIALIZER];24;4;11;3;
STARTUPFILTER;354;61;20;3;
PREFERENCES;27;6;7;3;
[IADVANCECONSOLIDATIONCOMMAND];23;4;7;3;
FEATUREEDITOREVENT;23;4;7;3;
GJNOARGUDEPTHFIRST;23;4;7;3;
[ENTRYBINDING];23;4;7;3;
[REFERENCESEQUENCEFILE];23;4;10;3;
[CREDENTIALS];23;4;7;3;
ABSTRACTCONTEXTLOADER;23;4;7;3;
HBOX;23;4;7;3;
[COMMENT];23;4;7;3;
HEADER;23;4;7;3;
CONSTRAINT;23;7;7;3;
[JSONSERIALIZER];23;5;8;3;
[COLUMNAFFINITY];23;4;7;3;
[DBKEY| VALIDATABLE];23;4;7;3;
[SLACKMETHOD];23;4;7;4;
[PRERENDERER];23;4;9;5;
[LIFECYCLE| APPLICATIONCONTEXTAWARE| HASVALIDATOR];70;15;16;3;
RECORDREADER;23;6;10;3;
COOKIECOMPARATORRESULT;23;4;7;3;
JQUERYPLUGINRESOURCEREFERENCE;23;4;7;3;
CHAINBASE;23;4;7;3;
INTERVAL;23;4;7;3;
CONFIGPATHEDITOR;23;4;7;3;
OBSERVABLE;29;5;9;3;
PROPERTYPLACEHOLDERCONFIGURER;23;4;7;3;
REQUIRENAMEVALIDATOR;23;5;7;3;
[CAMELCONTEXTCREATOR];23;4;7;3;
[RECRAWLDATASCHEMA];23;4;7;3;
BASESIPHEADERS;23;4;7;3;
BASERICHSPOUT;23;4;7;3;
[USERSELECTIONPANELCONFIGURATION];23;4;7;3;
[ISCENARIOMANAGER];23;4;7;3;
DIV;155;48;7;3;
OPERATION;23;4;7;3;
[CALLLOGGER];43;12;7;3;
ABSTRACTMESSAGESOURCE;23;4;7;3;
[MEDIALAUNCHER];28;6;8;3;
LINKEDAPIREQUESTMANAGER;100;27;13;4;
CREDENTIAL;23;9;7;3;
[SIPTOFLASHTRANSCODER];26;9;10;3;
LINKCONTEXT;23;19;7;3;
