DesignRoleTechnique;LOC;CC;Efferent;NOP;
UNDEFINED;50;11;13;4;
PYTHONTRANSFORMATIONTOKENVISTOR;20;4;7;3;
[IPREDICATE];20;6;7;3;
[FEATURE];20;4;7;3;
[IPROFILEBOOTSTRAP];20;4;7;3;
ABSTRACTFEATURESORTER;20;4;7;3;
REPORTPERORDERELEMENTDTO;20;4;7;3;
[ILOADCHARTDATA];27;4;7;3;
QUEUETASKGENERATOR;20;4;7;3;
[IJIRAORDERELEMENTSYNCHRONIZER];43;10;14;4;
[TAGLET];20;4;7;3;
[IADDMILESTONECOMMAND];20;4;7;3;
[IDENTIFIERVALIDATOR];53;15;7;3;
[IURLHANDLERREGISTRY];20;4;7;3;
[IDELETEMILESTONECOMMAND];20;4;7;3;
ALLOCATIONMODIFICATION;20;4;7;3;
[RESOURCE];20;4;7;3;
HESSIANPROXY;20;4;7;3;
ABSTRACTINTERCEPTOR;64;17;22;4;
[CUSTOMDATATYPE];20;4;7;3;
[LOGICALOPERATOR];20;4;7;3;
BLOOMFILTER;20;4;8;3;
[IADVANCEDALLOCATIONCOMMAND];20;4;7;3;
[SEGFEATURE];20;4;7;3;
NODE;21;11;7;3;
[REQUESTPAYLOAD];20;4;7;3;
SPRINGBOOTSERVLETINITIALIZER;20;4;7;3;
FORMAUTHENTICATIONFILTER;22;5;10;4;
RDFGENERATOR;81;14;21;13;
CHARTRESULT;24;7;7;3;
STARTUPFILTER;354;61;20;3;
[JSONIZABLE];65;23;14;9;
PREFERENCES;27;6;7;3;
PROVIDER;20;4;7;3;
SOURCE;40;11;17;5;
[TEMPLATETERMSETPOPULATORSTRATEGY];20;4;7;3;
[IADVANCECONSOLIDATIONCOMMAND];20;4;7;3;
[REFERENCESEQUENCEFILE];20;4;10;3;
ABSTRACTVCFREADER;50;18;13;7;
[COLLECTOR];20;4;7;3;
[CREDENTIALS];20;4;7;3;
ABSTRACTCONTEXTLOADER;20;4;7;3;
[ICALENDARBOOTSTRAP];24;5;7;3;
HBOX;20;4;7;3;
ABSTRACTJDBCUTIL;20;4;8;8;
TREENODEONLIST;20;4;7;3;
EXCEPTION;28;6;12;3;
UPDATEVISITOR;55;7;14;5;
SERIALIZINGCUSTOMDATATYPE;20;4;7;3;
CONSTRAINT;20;7;7;3;
[COLUMNAFFINITY];20;4;7;3;
[IEXPORTTIMESHEETSTOTIM];41;8;18;3;
DEFAULTWEBSECURITYMANAGER;20;4;7;3;
RECORDREADER;22;6;10;3;
CHAINBASE;20;4;7;3;
INTERVAL;20;4;7;3;
[ISUBCONTRACTCOMMAND];20;4;7;3;
RESPONSEBODYEMITTER;20;4;7;3;
[IWORKREPORTTYPEBOOTSTRAP];20;4;7;3;
[METHODINTERCEPTOR];83;27;21;3;
PROPERTYPLACEHOLDERCONFIGURER;20;4;7;3;
REQUIRENAMEVALIDATOR;20;5;7;3;
[ISCENARIOMANAGER];20;4;7;3;
BASERICHSPOUT;20;4;7;3;
DIV;155;48;7;3;
ORDERVALIDATOR;30;11;7;3;
ALLOCATIONSPEC;20;4;9;3;
AVRORECORDREADERBASE;20;4;7;3;
GENERICFORWARDCOMPOSER;29;5;8;3;
