DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
DIALOG,org.weasis.acquire.explorer.gui.dialog.AcquireImportDialog,5,2,6,8,0,5,41,33,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\dialog\AcquireImportDialog.java,class,false
JPANEL,org.weasis.acquire.explorer.gui.control.BrowsePanel,6,2,10,0,0,6,39,13,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\control\BrowsePanel.java,class,false
MODULE,org.weasis.dicom.codec.macro.SOPInstanceReferenceAndMAC,7,4,7,21,0,7,8,10,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-codec\src\main\java\org\weasis\dicom\codec\macro\SOPInstanceReferenceAndMAC.java,class,false
DIALOG,org.weasis.acquire.explorer.gui.dialog.AcquireNewSerieDialog,4,2,3,0,0,4,19,14,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\dialog\AcquireNewSerieDialog.java,class,false
ENTITY,org.weasis.dicom.rt.IsoDose,14,1,2,55,0,14,3,16,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-rt\src\main\java\org\weasis\dicom\rt\IsoDose.java,class,false
MEDIAELEMENT,org.weasis.dicom.codec.DicomEncapDocElement,4,2,4,4,0,4,2,5,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-codec\src\main\java\org\weasis\dicom\codec\DicomEncapDocElement.java,class,false
[MEDIAREADER],org.weasis.core.api.image.cv.ImageCVIO,27,1,18,358,0,27,70,89,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\image\cv\ImageCVIO.java,class,false
UNDEFINED,org.weasis.core.api.explorer.model.Tree,14,1,3,0,0,14,15,26,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\model\Tree.java,class,false
JPANEL,org.weasis.core.ui.docking.PluginTool,16,2,11,78,7,16,40,39,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\docking\PluginTool.java,class,false
SYNCHEVENT,org.weasis.core.ui.editor.image.SynchCineEvent,6,2,3,0,0,6,0,6,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\editor\image\SynchCineEvent.java,class,false
JPANEL,org.weasis.acquire.explorer.gui.central.AcquireTabPanel,19,2,7,0,0,19,67,66,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\central\AcquireTabPanel.java,class,false
ENTITY,org.weasis.core.api.explorer.ObservableEvent,4,2,1,0,0,4,1,6,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\explorer\ObservableEvent.java,class,false
JPANEL,org.weasis.dicom.explorer.ExportToolBar,2,3,5,1,0,2,11,6,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-explorer\src\main\java\org\weasis\dicom\explorer\ExportToolBar.java,class,false
JLABEL,org.weasis.core.api.media.data.Thumbnail,17,2,15,145,1,17,71,90,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\media\data\Thumbnail.java,class,false
UNDEFINED,org.weasis.core.ui.editor.image.HistogramData,24,1,20,180,0,24,49,71,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\editor\image\HistogramData.java,class,false
UNDEFINED,org.weasis.core.ui.util.TableColumnAdjuster,3,1,1,3,0,3,23,13,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\util\TableColumnAdjuster.java,class,false
UNDEFINED,org.weasis.core.ui.pref.ViewSetting,24,1,7,172,0,24,42,59,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-ui\src\main\java\org\weasis\core\ui\pref\ViewSetting.java,class,false
UNDEFINED,org.weasis.dicom.codec.geometry.LocalizerPoster,17,1,9,122,0,17,28,39,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-codec\src\main\java\org\weasis\dicom\codec\geometry\LocalizerPoster.java,class,false
ENTITY,org.weasis.acquire.explorer.core.bean.SeriesGroup,21,2,6,124,0,21,30,81,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\core\bean\SeriesGroup.java,class,false
JPANEL,org.weasis.dicom.viewer2d.CineToolBar,1,3,5,0,0,1,15,17,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-viewer2d\src\main\java\org\weasis\dicom\viewer2d\CineToolBar.java,class,false
[TAGABLE],org.weasis.core.api.media.data.SimpleTagable,7,1,2,0,0,7,5,12,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\media\data\SimpleTagable.java,class,false
[BUNDLEACTIVATOR],org.weasis.dicom.explorer.internal.Activator,2,1,6,0,0,2,12,4,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-explorer\src\main\java\org\weasis\dicom\explorer\internal\Activator.java,class,false
[MEDIASERIESGROUP],org.weasis.core.api.media.data.MediaSeriesGroupNode,15,1,5,0,1,15,21,41,D:\Projetos\_Web\Weasis\weasis-core\weasis-core-api\src\main\java\org\weasis\core\api\media\data\MediaSeriesGroupNode.java,class,false
JPANEL,org.weasis.dicom.wave.ToolPanel,11,2,4,0,0,11,30,23,D:\Projetos\_Web\Weasis\weasis-dicom\weasis-dicom-wave\src\main\java\org\weasis\dicom\wave\ToolPanel.java,class,false
