DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
DIALOG,org.weasis.acquire.explorer.gui.dialog.AcquireImportDialog,focusLost,2,1,11,1,0,6049,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\dialog\AcquireImportDialog.java
DIALOG,org.weasis.acquire.explorer.gui.dialog.AcquireImportDialog,focusLost,2,1,5,1,0,7045,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\dialog\AcquireImportDialog.java
DIALOG,org.weasis.acquire.explorer.gui.dialog.AcquireImportDialog,clearAndHide,4,1,1,0,0,9549,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\dialog\AcquireImportDialog.java
DIALOG,org.weasis.acquire.explorer.gui.dialog.AcquireImportDialog,initPanel,67,1,0,0,0,4100,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\dialog\AcquireImportDialog.java
DIALOG,org.weasis.acquire.explorer.gui.dialog.AcquireImportDialog,installFocusListener,16,3,0,1,0,6728,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\dialog\AcquireImportDialog.java
DIALOG,org.weasis.acquire.explorer.gui.dialog.AcquireImportDialog,propertyChange,42,11,15,1,0,7422,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\dialog\AcquireImportDialog.java
DIALOG,org.weasis.acquire.explorer.gui.dialog.AcquireImportDialog,focusGained,3,1,4,1,0,6171,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\dialog\AcquireImportDialog.java
DIALOG,org.weasis.acquire.explorer.gui.dialog.AcquireImportDialog,focusGained,3,1,0,1,0,7199,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\dialog\AcquireImportDialog.java
JPANEL,org.weasis.acquire.explorer.gui.control.BrowsePanel,usbDriveEvent,16,3,3,1,0,5103,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\control\BrowsePanel.java
JPANEL,org.weasis.acquire.explorer.gui.control.BrowsePanel,removeUsbDevice,11,4,5,1,0,5915,D:\Projetos\_Web\Weasis\weasis-acquire\weasis-acquire-explorer\src\main\java\org\weasis\acquire\explorer\gui\control\BrowsePanel.java
