DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,getRole,3,1,1,0,0,1100,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,getOid,3,1,1,0,0,917,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,setDescription,3,1,2,1,0,1551,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,getDescription,3,1,1,0,0,1456,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,setCdate,3,1,2,1,0,1916,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,setAccount,3,1,2,1,0,1379,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,getCdate,3,1,2,0,0,1827,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,setOid,3,1,2,1,0,1027,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,getCuserid,3,1,2,0,0,1644,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,getUdate,3,1,2,0,0,2175,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,setCuserid,3,1,2,1,0,1741,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,setUdate,3,1,2,1,0,2264,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,getUuserid,3,1,2,0,0,1992,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,setRole,3,1,2,1,0,1200,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,getAccount,3,1,1,0,0,1267,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
ENTITY,com.netsteadfast.greenstep.po.hbm.TbUserRole,setUuserid,3,1,2,1,0,2089,D:\Projetos\_Web\bamboobsc\core-persistence\src\com\netsteadfast\greenstep\po\hbm\TbUserRole.java
SERVICE,com.netsteadfast.greenstep.service.logic.impl.SystemWebServiceConfigLogicServiceImpl,setSysService,3,1,2,1,0,2962,D:\Projetos\_Web\bamboobsc\core-base\src\com\netsteadfast\greenstep\service\logic\impl\SystemWebServiceConfigLogicServiceImpl.java
SERVICE,com.netsteadfast.greenstep.service.logic.impl.SystemWebServiceConfigLogicServiceImpl,delete,6,3,5,1,0,5925,D:\Projetos\_Web\bamboobsc\core-base\src\com\netsteadfast\greenstep\service\logic\impl\SystemWebServiceConfigLogicServiceImpl.java
SERVICE,com.netsteadfast.greenstep.service.logic.impl.SystemWebServiceConfigLogicServiceImpl,create,17,5,8,2,0,3533,D:\Projetos\_Web\bamboobsc\core-base\src\com\netsteadfast\greenstep\service\logic\impl\SystemWebServiceConfigLogicServiceImpl.java
SERVICE,com.netsteadfast.greenstep.service.logic.impl.SystemWebServiceConfigLogicServiceImpl,update,22,7,8,2,0,4579,D:\Projetos\_Web\bamboobsc\core-base\src\com\netsteadfast\greenstep\service\logic\impl\SystemWebServiceConfigLogicServiceImpl.java
SERVICE,com.netsteadfast.greenstep.service.logic.impl.SystemWebServiceConfigLogicServiceImpl,getSysService,3,1,1,0,0,2873,D:\Projetos\_Web\bamboobsc\core-base\src\com\netsteadfast\greenstep\service\logic\impl\SystemWebServiceConfigLogicServiceImpl.java
