DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
[IMESSAGE],org.bigbluebutton.api.messaging.messages.MeetingStarted,1,1,1,0,0,1,0,1,D:\Projetos\_Web\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingStarted.java,class,false,9
UNDEFINED,org.bigbluebutton.app.videobroadcast.EventRecordingService,2,1,1,0,0,2,4,2,D:\Projetos\_Web\bigbluebutton\video-broadcast\src\main\java\org\bigbluebutton\app\videobroadcast\EventRecordingService.java,class,false,43
UNDEFINED,org.bigbluebutton.voiceconf.red5.ClientConnection,5,1,2,0,0,5,4,11,D:\Projetos\_Web\bigbluebutton\bbb-voice\src\main\java\org\bigbluebutton\voiceconf\red5\ClientConnection.java,class,false,64
SDPFIELD,org.zoolu.sdp.AttributeField,5,2,2,10,0,5,3,9,D:\Projetos\_Web\bigbluebutton\bbb-voice\src\main\java\org\zoolu\sdp\AttributeField.java,class,false,65
SERVICE,org.bigbluebutton.red5.client.messaging.ConnectionInvokerService,20,1,23,0,0,20,73,144,D:\Projetos\_Web\bigbluebutton\bigbluebutton-apps\src\main\java\org\bigbluebutton\red5\client\messaging\ConnectionInvokerService.java,class,false,486
UNDEFINED,org.bytedeco.javacpp.tools.Attribute,0,1,0,0,0,0,0,0,D:\Projetos\_Web\bigbluebutton\bbb-screenshare\jws\webstart\src\main\java\org\bytedeco\javacpp\tools\Attribute.java,class,false,32
ENTITY,jnlp.sample.util.VersionID,13,1,1,28,0,13,28,75,D:\Projetos\_Web\bigbluebutton\bbb-screenshare\app\src\main\java\jnlp\sample\util\VersionID.java,class,false,260
UNDEFINED,org.red5.app.sip.codecs.g729.DecAcelp,1,1,2,0,0,1,0,5,D:\Projetos\_Web\bigbluebutton\bbb-voice\src\main\java\org\red5\app\sip\codecs\g729\DecAcelp.java,class,false,63
UNDEFINED,org.bigbluebutton.app.screenshare.red5.Red5AppService,10,1,4,0,0,10,31,29,D:\Projetos\_Web\bigbluebutton\bbb-screenshare\app\src\main\java\org\bigbluebutton\app\screenshare\red5\Red5AppService.java,class,false,185
UNDEFINED,org.bigbluebutton.screenshare.client.DeskshareClient,30,1,5,281,0,30,12,42,D:\Projetos\_Web\bigbluebutton\bbb-screenshare\jws\webstart\src\main\java\org\bigbluebutton\screenshare\client\DeskshareClient.java,class,false,278
UNDEFINED,org.red5.app.sip.trancoders.TranscodedPcmAudioBuffer,3,1,2,0,0,3,2,5,D:\Projetos\_Web\bigbluebutton\bbb-voice\src\main\java\org\red5\app\sip\trancoders\TranscodedPcmAudioBuffer.java,class,false,28
PERSISTENCE,org.bigbluebutton.app.screenshare.ScreenshareStreamListener,3,1,7,1,0,3,16,13,D:\Projetos\_Web\bigbluebutton\bbb-screenshare\app\src\main\java\org\bigbluebutton\app\screenshare\ScreenshareStreamListener.java,class,false,100
UNDEFINED,org.bigbluebutton.screenshare.client.frame.CaptureRegionFrame,11,1,3,18,0,11,38,16,D:\Projetos\_Web\bigbluebutton\bbb-screenshare\jws\webstart\src\main\java\org\bigbluebutton\screenshare\client\frame\CaptureRegionFrame.java,class,false,179
ACTION,org.bigbluebutton.freeswitch.voice.freeswitch.actions.BroadcastConferenceCommand,3,2,3,1,0,3,1,5,D:\Projetos\_Web\bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\BroadcastConferenceCommand.java,class,false,50
UNDEFINED,org.bytedeco.javacpp.tools.AdapterInformation,0,1,0,0,0,0,0,0,D:\Projetos\_Web\bigbluebutton\bbb-screenshare\jws\webstart\src\main\java\org\bytedeco\javacpp\tools\AdapterInformation.java,class,false,34
ACTION,org.bigbluebutton.freeswitch.voice.freeswitch.actions.ScreenshareRecordCommand,3,2,3,1,0,3,1,5,D:\Projetos\_Web\bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\ScreenshareRecordCommand.java,class,false,48
UNDEFINED,org.bigbluebutton.presentation.UploadedPresentation,18,1,0,123,0,18,0,18,D:\Projetos\_Web\bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\UploadedPresentation.java,class,false,114
[CODEC],org.red5.app.sip.codecs.PCMUCodec,19,1,4,127,0,19,4,33,D:\Projetos\_Web\bigbluebutton\bbb-voice\src\main\java\org\red5\app\sip\codecs\PCMUCodec.java,class,false,155
UNDEFINED,org.red5.app.sip.BufferUtils,3,1,3,3,0,3,2,9,D:\Projetos\_Web\bigbluebutton\bbb-voice\src\main\java\org\red5\app\sip\BufferUtils.java,class,false,87
ACTION,org.bigbluebutton.freeswitch.voice.freeswitch.actions.MuteUserCommand,2,2,1,0,0,2,0,4,D:\Projetos\_Web\bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\MuteUserCommand.java,class,false,40
DIALOG,org.zoolu.sip.dialog.Dialog,16,2,10,92,3,16,39,87,D:\Projetos\_Web\bigbluebutton\bbb-voice\src\main\java\org\zoolu\sip\dialog\Dialog.java,class,false,277
IDENTIFIER,org.zoolu.sip.provider.ConnectionIdentifier,5,2,4,10,0,5,4,5,D:\Projetos\_Web\bigbluebutton\bbb-voice\src\main\java\org\zoolu\sip\provider\ConnectionIdentifier.java,class,false,60
CONFERENCECOMMAND,org.bigbluebutton.freeswitch.voice.commands.RecordCommand,1,2,1,0,0,1,0,1,D:\Projetos\_Web\bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\RecordCommand.java,class,false,27
HASHMAP,org.bytedeco.javacpp.ClassProperties,12,2,3,50,0,12,53,95,D:\Projetos\_Web\bigbluebutton\bbb-screenshare\jws\webstart\src\main\java\org\bytedeco\javacpp\ClassProperties.java,class,false,239
