DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
EXCEPTION,org.bonitasoft.forms.server.exception.InvalidFormTemplateException,4,2,0,6,0,4,0,4,D:\Projetos\_Web\bonita-web\forms\forms-server\src\main\java\org\bonitasoft\forms\server\exception\InvalidFormTemplateException.java,class,false
WIDGET,org.bonitasoft.web.toolkit.client.ui.component.dashboard.Dashboard,5,6,3,10,0,5,4,5,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\web\toolkit\client\ui\component\dashboard\Dashboard.java,class,false
[AUTHENTICATIONMANAGER],org.bonitasoft.console.common.server.auth.impl.oauth.OAuthAuthenticationManagerImpl,6,1,10,13,0,6,24,13,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\common\server\auth\impl\oauth\OAuthAuthenticationManagerImpl.java,class,false
[ATTRIBUTECONVERTER],org.bonitasoft.web.rest.server.datastore.converter.ActivityAttributeConverter,2,1,2,1,0,2,3,3,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\datastore\converter\ActivityAttributeConverter.java,class,false
SERVERRESOURCE,org.bonitasoft.web.rest.server.api.bdm.BusinessDataQueryResource,2,3,6,0,0,2,17,4,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\bdm\BusinessDataQueryResource.java,class,false
PERSISTENCE,org.bonitasoft.web.rest.server.api.organization.CustomUserInfoConverter,3,2,7,3,0,3,15,3,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\organization\CustomUserInfoConverter.java,class,false
CLIENTAPPLICATION,org.bonitasoft.console.client.ConsoleClient,6,2,8,15,0,6,12,10,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\console\client\ConsoleClient.java,class,false
FINDER,org.bonitasoft.web.rest.server.api.bpm.cases.CaseContextResourceFinder,1,3,7,0,0,1,2,1,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\bpm\cases\CaseContextResourceFinder.java,class,false
UNDEFINED,org.bonitasoft.test.toolkit.bpm.process.TestProcessConnectorFactory,1,1,1,0,0,1,1,1,D:\Projetos\_Web\bonita-web\test-toolkit\src\main\java\org\bonitasoft\test\toolkit\bpm\process\TestProcessConnectorFactory.java,class,false
CALLABLE,org.bonitasoft.console.client.admin.organization.users.action.ShowUserMoreDetailAction,1,4,3,0,0,1,3,1,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\console\client\admin\organization\users\action\ShowUserMoreDetailAction.java,class,false
TEST,org.bonitasoft.web.rest.server.datastore.filter.FilterAccessorTest,3,1,3,3,0,3,5,3,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\web\rest\server\datastore\filter\FilterAccessorTest.java,class,false
APPLICATION,org.bonitasoft.web.rest.server.BonitaRestletApplication,5,2,9,8,0,5,19,8,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\BonitaRestletApplication.java,class,false
TEST,org.bonitasoft.console.common.server.utils.PermissionsBuilderAccessorTest,4,1,8,0,0,4,12,4,D:\Projetos\_Web\bonita-web\common\src\test\java\org\bonitasoft\console\common\server\utils\PermissionsBuilderAccessorTest.java,class,false
UNDEFINED,org.bonitasoft.forms.server.accessor.impl.util.XPathUtil,7,1,2,15,4,7,14,22,D:\Projetos\_Web\bonita-web\forms\forms-server\src\main\java\org\bonitasoft\forms\server\accessor\impl\util\XPathUtil.java,class,false
TEST,org.bonitasoft.forms.server.DocumentDownloadServletTest,1,1,8,0,0,1,11,2,D:\Projetos\_Web\bonita-web\forms\forms-server\src\test\java\org\bonitasoft\forms\server\DocumentDownloadServletTest.java,class,false
UNDEFINED,org.bonitasoft.console.common.server.page.PageRenderer,14,1,14,69,0,14,37,25,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\common\server\page\PageRenderer.java,class,false
WIDGET,org.bonitasoft.web.toolkit.client.ui.component.Html,4,4,5,0,0,4,3,4,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\web\toolkit\client\ui\component\Html.java,class,false
TEST,org.bonitasoft.forms.server.accessor.impl.util.FormCacheUtilTest,1,1,3,0,0,1,8,1,D:\Projetos\_Web\bonita-web\forms\forms-server\src\test\java\org\bonitasoft\forms\server\accessor\impl\util\FormCacheUtilTest.java,class,false
UNDEFINED,org.bonitasoft.console.common.server.page.CustomPageService,37,1,24,638,0,37,94,87,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\common\server\page\CustomPageService.java,class,false
EXCEPTION,org.bonitasoft.forms.server.exception.ProcessFormDefinitionNotFoundException,4,2,0,6,0,4,0,4,D:\Projetos\_Web\bonita-web\forms\forms-server\src\main\java\org\bonitasoft\forms\server\exception\ProcessFormDefinitionNotFoundException.java,class,false
ITEM,org.bonitasoft.web.rest.model.bpm.connector.ConnectorInstanceItem,17,2,5,124,1,17,7,17,D:\Projetos\_Web\bonita-web\common\src\main\java\org\bonitasoft\web\rest\model\bpm\connector\ConnectorInstanceItem.java,class,false
WIDGET,org.bonitasoft.console.client.menu.view.navigation.NavigationMenu,8,6,6,26,0,8,13,11,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\console\client\menu\view\navigation\NavigationMenu.java,class,false
UNDEFINED,org.bonitasoft.web.rest.server.framework.utils.converter.TypeConverter,3,1,2,1,0,3,2,3,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\framework\utils\converter\TypeConverter.java,class,false
API,org.bonitasoft.web.rest.server.api.tenant.APITenantAdmin,5,3,8,10,0,5,5,5,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\tenant\APITenantAdmin.java,class,false
TEST,org.bonitasoft.console.common.server.login.filter.TokenGeneratorFilterTest,3,1,12,0,0,3,16,3,D:\Projetos\_Web\bonita-web\server\src\test\java\org\bonitasoft\console\common\server\login\filter\TokenGeneratorFilterTest.java,class,false
[IFORMFIELDVALIDATOR],org.bonitasoft.forms.server.validator.NumericLongFieldValidator,2,1,2,1,0,2,3,9,D:\Projetos\_Web\bonita-web\forms\forms-server\src\main\java\org\bonitasoft\forms\server\validator\NumericLongFieldValidator.java,class,false
ITEMTABLEFORMATTER,org.bonitasoft.web.toolkit.client.ui.component.table.formatter.DefaultItemTableCellFormatter,16,3,8,120,2,16,36,32,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\web\toolkit\client\ui\component\table\formatter\DefaultItemTableCellFormatter.java,class,false
SERVERRESOURCE,org.bonitasoft.web.rest.server.api.bpm.flownode.ActivityVariableResource,3,3,5,1,0,3,4,4,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\bpm\flownode\ActivityVariableResource.java,class,false
SERVERRESOURCE,org.bonitasoft.web.rest.server.api.bpm.process.ProcessContractResource,3,3,8,1,0,3,5,5,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\api\bpm\process\ProcessContractResource.java,class,false
