DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
WIDGET,org.bonitasoft.web.toolkit.client.ui.component.dashboard.Dashboard,preProcessHtml,4,1,1,0,0,1430,D:\Projetos\_Web\bonita-web\portal\src\main\java\org\bonitasoft\web\toolkit\client\ui\component\dashboard\Dashboard.java
[AUTHENTICATIONMANAGER],org.bonitasoft.console.common.server.auth.impl.oauth.OAuthAuthenticationManagerImpl,getOAuthUserId,14,2,9,2,0,3723,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\common\server\auth\impl\oauth\OAuthAuthenticationManagerImpl.java
[AUTHENTICATIONMANAGER],org.bonitasoft.console.common.server.auth.impl.oauth.OAuthAuthenticationManagerImpl,createPermissionsBuilder,3,1,3,1,0,3522,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\common\server\auth\impl\oauth\OAuthAuthenticationManagerImpl.java
[AUTHENTICATIONMANAGER],org.bonitasoft.console.common.server.auth.impl.oauth.OAuthAuthenticationManagerImpl,logSevereException,5,2,2,1,0,4555,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\common\server\auth\impl\oauth\OAuthAuthenticationManagerImpl.java
[AUTHENTICATIONMANAGER],org.bonitasoft.console.common.server.auth.impl.oauth.OAuthAuthenticationManagerImpl,getLoginPageURL,7,1,10,2,0,2172,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\common\server\auth\impl\oauth\OAuthAuthenticationManagerImpl.java
[AUTHENTICATIONMANAGER],org.bonitasoft.console.common.server.auth.impl.oauth.OAuthAuthenticationManagerImpl,getLogoutPageURL,3,1,2,2,0,4738,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\common\server\auth\impl\oauth\OAuthAuthenticationManagerImpl.java
[AUTHENTICATIONMANAGER],org.bonitasoft.console.common.server.auth.impl.oauth.OAuthAuthenticationManagerImpl,authenticate,11,3,8,2,0,2764,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\console\common\server\auth\impl\oauth\OAuthAuthenticationManagerImpl.java
[ATTRIBUTECONVERTER],org.bonitasoft.web.rest.server.datastore.converter.ActivityAttributeConverter,(static_block),0,1,0,0,0,0,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\datastore\converter\ActivityAttributeConverter.java
[ATTRIBUTECONVERTER],org.bonitasoft.web.rest.server.datastore.converter.ActivityAttributeConverter,getValueTypeMapping,3,1,2,0,0,1749,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\datastore\converter\ActivityAttributeConverter.java
[ATTRIBUTECONVERTER],org.bonitasoft.web.rest.server.datastore.converter.ActivityAttributeConverter,convert,3,1,3,1,0,1632,D:\Projetos\_Web\bonita-web\server\src\main\java\org\bonitasoft\web\rest\server\datastore\converter\ActivityAttributeConverter.java
