DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
DIALOG,org.geowe.client.local.layermanager.tool.export.GitHubRepositoryListDialog,10,2,23,54,0,10,54,14,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\layermanager\tool\export\GitHubRepositoryListDialog.java,class,false,196
VIEW,org.geowe.client.local.layermanager.tool.create.GitHubImportTab,11,2,27,63,0,11,53,20,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\layermanager\tool\create\GitHubImportTab.java,class,false,251
TOGGLEBUTTON,org.geowe.client.local.main.tool.edition.RotateTool,3,3,12,1,0,3,10,3,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\tool\edition\RotateTool.java,class,false,77
DIALOG,org.geowe.client.local.main.tool.project.OpenProjectDialog,14,2,18,88,0,14,53,16,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\tool\project\OpenProjectDialog.java,class,false,229
UNDEFINED,org.geowe.client.local.style.VertexStyles,3,1,2,1,0,3,13,6,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\style\VertexStyles.java,class,false,98
UNDEFINED,org.geowe.client.local.App,2,1,13,1,0,2,15,2,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\App.java,class,false,98
ENTITY,org.geowe.client.local.style.VertexStyleDef,6,1,1,9,0,6,0,6,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\style\VertexStyleDef.java,class,false,60
UNDEFINED,org.geowe.client.local.github.request.GitHubGetFileRequest,5,1,13,13,0,5,22,10,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\github\request\GitHubGetFileRequest.java,class,false,122
UNDEFINED,org.geowe.client.local.main.tool.project.ProjectVectorLayer,11,1,3,29,0,11,6,11,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\tool\project\ProjectVectorLayer.java,class,false,93
DIALOG,org.geowe.client.local.main.tool.info.JoinDataDialog,24,2,16,212,0,24,67,25,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\tool\info\JoinDataDialog.java,class,false,290
UNDEFINED,org.geowe.server.DivideLineStringTool,6,1,6,15,0,6,18,11,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\server\DivideLineStringTool.java,class,false,83
TOGGLEBUTTON,org.geowe.client.local.main.tool.extent.LockCurrentExtentTool,7,3,24,51,0,7,43,15,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\tool\extent\LockCurrentExtentTool.java,class,false,174
VIEW,org.geowe.client.local.main.map.SimpleMapVerticalLegend,5,3,8,8,0,5,21,8,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\map\SimpleMapVerticalLegend.java,class,false,99
UNDEFINED,org.geowe.client.local.model.style.FillStyle,9,1,1,12,0,9,3,13,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\model\style\FillStyle.java,class,false,94
MODEL,org.geowe.client.local.main.tool.map.catalog.model.BingLayerDef,4,2,6,0,0,4,4,4,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\tool\map\catalog\model\BingLayerDef.java,class,false,69
HTTPSERVLET,org.geowe.server.upload.FileUploadZipServlet,3,2,9,0,0,3,33,19,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\server\upload\FileUploadZipServlet.java,class,false,164
ABSTRACTCELL,org.geowe.client.local.ui.FeatureGridCellRenderer,2,2,7,1,0,2,13,8,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\ui\FeatureGridCellRenderer.java,class,false,71
UNDEFINED,org.geowe.client.local.layermanager.LayerTree,20,1,28,122,0,20,50,55,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\layermanager\LayerTree.java,class,false,312
TEXTBUTTON,org.geowe.client.local.main.tool.spatial.BufferTool,7,3,17,49,0,7,38,14,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\tool\spatial\BufferTool.java,class,false,169
UNDEFINED,org.geowe.client.local.layermanager.tool.create.CSV,21,1,9,170,0,21,36,38,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\layermanager\tool\create\CSV.java,class,false,224
MODEL,org.geowe.client.local.main.tool.map.catalog.model.GoogleLayerDef,4,2,6,0,0,4,5,4,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\tool\map\catalog\model\GoogleLayerDef.java,class,false,65
SERVICE,org.geowe.server.AbstractJTSService,3,2,7,3,2,3,10,5,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\server\AbstractJTSService.java,class,false,83
[LAYERSET],org.geowe.client.local.main.tool.map.catalog.layerset.AbstractLayerSet,1,1,2,0,8,1,0,1,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\tool\map\catalog\layerset\AbstractLayerSet.java,class,false,43
VECTORFORMAT,org.geowe.client.local.model.vector.format.GPX,2,2,2,1,0,2,1,2,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\model\vector\format\GPX.java,class,false,43
HTTPSERVLET,org.geowe.server.upload.FileUploadServlet,1,2,7,0,0,1,18,4,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\server\upload\FileUploadServlet.java,class,false,79
UNDEFINED,org.geowe.client.local.initializer.WidgetInitializer,2,1,11,0,0,2,13,2,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\initializer\WidgetInitializer.java,class,false,89
WIDGET,org.geowe.client.local.main.LinksWidget,9,1,16,54,0,9,40,16,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\LinksWidget.java,class,false,173
ABSTRACTLAYERCATALOG,org.geowe.client.local.main.tool.map.catalog.AppLayerCatalog,1,2,12,0,0,1,1,1,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\tool\map\catalog\AppLayerCatalog.java,class,false,82
DIALOG,org.geowe.client.local.main.tool.search.AttributeSearchDialog,19,2,40,294,0,19,93,40,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\tool\search\AttributeSearchDialog.java,class,false,403
SIMPLECOMBOBOX,org.geowe.client.local.ui.FontSizeComboBox,2,3,1,1,0,2,3,2,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\ui\FontSizeComboBox.java,class,false,48
UNDEFINED,org.geowe.client.local.main.AnchorBuilder,18,1,11,166,0,18,27,36,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\main\AnchorBuilder.java,class,false,194
DIALOG,org.geowe.client.local.layermanager.tool.create.GitHubPathListDialog,10,2,23,54,0,10,54,19,D:\Projetos\_Web\geowe-core\src\main\java\org\geowe\client\local\layermanager\tool\create\GitHubPathListDialog.java,class,false,221
