DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
REPORT,org.archive.crawler.reporting.ToeThreadsReport,2,2,2,1,0,2,2,2,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\ToeThreadsReport.java,class,false
BASERULE,org.archive.modules.canonicalize.StripUserinfoRule,2,2,1,1,0,2,3,2,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\canonicalize\StripUserinfoRule.java,class,false
UNDEFINED,org.archive.crawler.framework.Engine,19,1,2,112,0,19,65,71,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java,class,false
PROCESSOR,org.archive.modules.extractor.ExtractorURI,5,3,5,10,0,5,19,22,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\extractor\ExtractorURI.java,class,false
UNDEFINED,org.archive.crawler.reporting.CrawlStatSnapshot,5,1,3,0,0,5,25,11,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\CrawlStatSnapshot.java,class,false
APPLICATIONEVENT,org.archive.crawler.framework.CheckpointSuccessEvent,2,2,3,0,0,2,0,2,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\CheckpointSuccessEvent.java,class,false
FORMATTER,org.archive.crawler.io.UriErrorFormatter,1,2,2,0,0,1,4,2,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\io\UriErrorFormatter.java,class,false
TEST,org.archive.surt.SURTTokenizerTest,11,2,2,0,0,11,7,12,D:\Projetos\_Web\heritrix3\commons\src\test\java\org\archive\surt\SURTTokenizerTest.java,class,false
PROCESSOR,org.archive.modules.recrawl.hbase.HBasePersistProcessor,4,3,6,0,1,4,1,4,D:\Projetos\_Web\heritrix3\contrib\src\main\java\org\archive\modules\recrawl\hbase\HBasePersistProcessor.java,class,false
ROBOTSPOLICY,org.archive.modules.net.CustomRobotsPolicy,6,2,4,0,0,6,3,6,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\net\CustomRobotsPolicy.java,class,false
UNDEFINED,org.archive.util.ms.Cp1252,3,1,2,3,0,3,2,5,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\ms\Cp1252.java,class,false
TEST,org.archive.modules.deciderules.MatchesStatusCodeDecideRuleTest,5,3,4,10,0,5,9,5,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\deciderules\MatchesStatusCodeDecideRuleTest.java,class,false
SERVERRESOURCE,org.archive.crawler.restlet.ScriptResource,9,4,15,35,0,9,46,24,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\restlet\ScriptResource.java,class,false
ABSTRACTFRONTIER,org.archive.crawler.frontier.BdbFrontier,27,3,22,308,0,27,70,60,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\frontier\BdbFrontier.java,class,false
TEST,org.archive.modules.recrawl.PersistLogProcessorTest,1,3,1,0,0,1,0,1,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\recrawl\PersistLogProcessorTest.java,class,false
URIPRECEDENCEPOLICY,org.archive.crawler.frontier.precedence.PreloadedUriPrecedencePolicy,9,3,12,16,0,9,16,21,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\frontier\precedence\PreloadedUriPrecedencePolicy.java,class,false
LINKEDHASHMAP,org.archive.crawler.restlet.models.EngineModel,2,2,2,3,0,2,29,8,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\restlet\models\EngineModel.java,class,false
TEST,org.archive.modules.fetcher.CookieStoreTest,15,2,11,30,0,15,63,32,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\fetcher\CookieStoreTest.java,class,false
