DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,org.jbei.ice.lib.entry.sequence.PartTraceSequences,8,1,16,0,0,8,89,75,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\PartTraceSequences.java,class,false
ENTITY,org.jbei.ice.storage.model.Protein,10,2,9,21,0,10,7,10,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\model\Protein.java,class,true
SERVICE,org.jbei.ice.services.rest.SequenceResource,2,2,12,1,0,2,4,4,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\services\rest\SequenceResource.java,class,false
MODEL,org.jbei.ice.lib.entry.sample.PlateSamples,4,1,11,4,0,4,45,27,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sample\PlateSamples.java,class,false
ENTITY,org.jbei.ice.lib.parsers.genbank.GenbankLocation,9,1,0,20,0,9,2,9,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\parsers\genbank\GenbankLocation.java,class,false
UNDEFINED,org.jbei.ice.lib.entry.sequence.annotation.Annotations,8,1,27,0,0,8,73,51,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\sequence\annotation\Annotations.java,class,false
MODEL,org.jbei.ice.lib.dto.History,12,1,3,54,0,12,0,12,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\History.java,class,false
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SequenceDAO,8,2,7,28,0,8,25,15,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\SequenceDAO.java,class,false
UNDEFINED,org.jbei.ice.lib.bulkupload.BulkCSVUploadHeaders,2,1,3,1,0,2,6,8,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\bulkupload\BulkCSVUploadHeaders.java,class,false
[HMACSIGNATURE],org.jbei.auth.hmac.DefaultHmacSignature,5,1,4,0,0,5,2,7,D:\Projetos\_Web\ice\src\main\java\org\jbei\auth\hmac\DefaultHmacSignature.java,class,false
MODEL,org.jbei.ice.lib.dto.Setting,5,1,1,0,0,5,0,5,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\dto\Setting.java,class,false
PERSISTENCE,org.jbei.ice.storage.hibernate.dao.SampleDAO,5,2,7,10,0,5,15,9,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\storage\hibernate\dao\SampleDAO.java,class,false
HASENTRY,org.jbei.ice.lib.entry.EntryController,13,2,31,0,0,13,119,88,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\entry\EntryController.java,class,false
EXCEPTION,org.jbei.ice.lib.search.blast.ProgramTookTooLongException,4,2,0,6,0,4,0,4,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\search\blast\ProgramTookTooLongException.java,class,false
AUTHORIZATION,org.jbei.ice.lib.bulkupload.BulkUploadAuthorization,1,2,2,0,0,1,1,1,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\bulkupload\BulkUploadAuthorization.java,class,false
UNDEFINED,org.jbei.ice.lib.net.WoRController,6,1,10,3,0,6,31,22,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\lib\net\WoRController.java,class,false
PERSISTENCE,org.jbei.auth.hmac.HmacInputStream,3,2,1,0,0,3,5,7,D:\Projetos\_Web\ice\src\main\java\org\jbei\auth\hmac\HmacInputStream.java,class,false
TEST,org.jbei.ice.storage.hibernate.dao.ApiKeyDAOTest,6,2,5,0,0,6,24,15,D:\Projetos\_Web\ice\src\test\java\org\jbei\ice\storage\hibernate\dao\ApiKeyDAOTest.java,class,false
UNDEFINED,org.jbei.ice.lib.AccountCreator,1,1,4,0,0,1,10,5,D:\Projetos\_Web\ice\src\test\java\org\jbei\ice\lib\AccountCreator.java,class,false
UNDEFINED,org.jbei.ice.services.rest.Headers,0,1,0,0,0,0,0,0,D:\Projetos\_Web\ice\src\main\java\org\jbei\ice\services\rest\Headers.java,class,false
