DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
ELEMENTAL2MODAL,org.jbpm.workbench.wi.client.editors.deployment.descriptor.items.ParametersModal,12,2,17,0,0,12,17,12,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\editors\deployment\descriptor\items\ParametersModal.java,class,false,125
[CREDENTIALSPROVIDER],org.jbpm.workbench.ks.security.KeyCloakTokenCredentialsProvider,2,1,5,1,0,2,7,5,D:\Projetos\_Web\jbpm-wb\jbpm-wb-kie-server\jbpm-wb-kie-server-api\src\main\java\org\jbpm\workbench\ks\security\KeyCloakTokenCredentialsProvider.java,class,false,55
ABSTRACTCELL,org.jbpm.workbench.common.client.util.ConditionalKebabActionCell,8,2,21,24,0,8,35,16,D:\Projetos\_Web\jbpm-wb\jbpm-wb-common\jbpm-wb-common-client\src\main\java\org\jbpm\workbench\common\client\util\ConditionalKebabActionCell.java,class,false,166
UNDEFINED,org.jbpm.workbench.wi.backend.server.casemgmt.service.CaseDemoProvisioningService,4,1,15,0,0,4,30,10,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-backend\src\main\java\org\jbpm\workbench\wi\backend\server\casemgmt\service\CaseDemoProvisioningService.java,class,false,116
TEST,org.jbpm.workbench.common.client.util.DateTimeConverterTest,2,1,3,0,0,2,9,2,D:\Projetos\_Web\jbpm-wb\jbpm-wb-common\jbpm-wb-common-client\src\test\java\org\jbpm\workbench\common\client\util\DateTimeConverterTest.java,class,false,59
TEST,org.jbpm.workbench.pr.client.editors.diagram.ProcessDiagramPresenterTest,3,1,11,0,0,3,15,3,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-client\src\test\java\org\jbpm\workbench\pr\client\editors\diagram\ProcessDiagramPresenterTest.java,class,false,78
FILTERSETTINGSMANAGERIMPL,org.jbpm.workbench.pr.client.editors.definition.list.ProcessDefinitionListFilterSettingsManager,3,2,4,3,0,3,8,3,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-client\src\main\java\org\jbpm\workbench\pr\client\editors\definition\list\ProcessDefinitionListFilterSettingsManager.java,class,false,55
COMPOSITE,org.jbpm.workbench.common.client.list.AbstractListView,10,2,22,45,2,10,16,13,D:\Projetos\_Web\jbpm-wb\jbpm-wb-common\jbpm-wb-common-client\src\main\java\org\jbpm\workbench\common\client\list\AbstractListView.java,class,false,143
UNDEFINED,org.jbpm.workbench.wi.client.IntegrationEntryPoint,1,1,4,0,0,1,1,1,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\IntegrationEntryPoint.java,class,false,37
TEST,org.jbpm.workbench.ht.client.editors.taskslist.AbstractTaskListViewTest,8,2,10,28,2,8,52,8,D:\Projetos\_Web\jbpm-wb\jbpm-wb-human-tasks\jbpm-wb-human-tasks-client\src\test\java\org\jbpm\workbench\ht\client\editors\taskslist\AbstractTaskListViewTest.java,class,false,134
TEST,org.jbpm.workbench.forms.display.backend.provider.task.DefaultTaskFormProvidingTest,1,3,3,0,0,1,0,1,D:\Projetos\_Web\jbpm-wb\jbpm-wb-forms\jbpm-wb-forms-backend\src\test\java\org\jbpm\workbench\forms\display\backend\provider\task\DefaultTaskFormProvidingTest.java,class,false,31
VIEW,org.jbpm.workbench.wi.client.editors.deployment.descriptor.sections.remoteableclasses.RemoteableClassListItemView,4,1,11,0,0,4,2,4,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\editors\deployment\descriptor\sections\remoteableclasses\RemoteableClassListItemView.java,class,false,63
UNDEFINED,org.jbpm.workbench.wi.casemgmt.events.CaseProvisioningStartedEvent,1,1,1,0,0,1,0,1,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-api\src\main\java\org\jbpm\workbench\wi\casemgmt\events\CaseProvisioningStartedEvent.java,class,false,27
DISPLAYERSETTINGS,org.jbpm.workbench.df.client.filter.FilterSettings,19,2,5,113,0,19,21,36,D:\Projetos\_Web\jbpm-wb\jbpm-wb-common\jbpm-wb-data-filters-client\src\main\java\org\jbpm\workbench\df\client\filter\FilterSettings.java,class,false,171
DEFAULTWORKBENCHENTRYPOINT,org.jbpm.workbench.client.ShowcaseEntryPoint,10,2,20,9,0,10,45,10,D:\Projetos\_Web\jbpm-wb\jbpm-wb-showcase\src\main\java\org\jbpm\workbench\client\ShowcaseEntryPoint.java,class,false,165
ADVANCEDFILTERSPRESENTER,org.jbpm.workbench.ht.client.editors.taskslist.TaskListAdvancedFiltersPresenter,2,2,5,1,0,2,0,2,D:\Projetos\_Web\jbpm-wb\jbpm-wb-human-tasks\jbpm-wb-human-tasks-client\src\main\java\org\jbpm\workbench\ht\client\editors\taskslist\TaskListAdvancedFiltersPresenter.java,class,false,40
BASICFILTERSPRESENTER,org.jbpm.workbench.es.client.editors.requestlist.JobListBasicFiltersPresenter,3,2,9,1,0,3,41,5,D:\Projetos\_Web\jbpm-wb\jbpm-wb-executor-service\jbpm-wb-executor-service-client\src\main\java\org\jbpm\workbench\es\client\editors\requestlist\JobListBasicFiltersPresenter.java,class,false,115
COMPOSITE,org.jbpm.workbench.pr.client.editors.instance.diagram.NodeCounterView,3,2,8,1,0,3,1,5,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-client\src\main\java\org\jbpm\workbench\pr\client\editors\instance\diagram\NodeCounterView.java,class,false,53
[TAKESVALUE],org.jbpm.workbench.pr.client.editors.instance.diagram.NodeInstanceItemView,4,1,21,2,0,4,17,7,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-client\src\main\java\org\jbpm\workbench\pr\client\editors\instance\diagram\NodeInstanceItemView.java,class,false,158
TEST,org.jbpm.workbench.es.client.editors.errorlist.ExecutionErrorListViewImplTest,5,2,8,10,0,5,1,5,D:\Projetos\_Web\jbpm-wb\jbpm-wb-executor-service\jbpm-wb-executor-service-client\src\test\java\org\jbpm\workbench\es\client\editors\errorlist\ExecutionErrorListViewImplTest.java,class,false,77
TEST,org.jbpm.workbench.common.client.menu.ManageSelectorImplTest,4,1,14,0,0,4,36,4,D:\Projetos\_Web\jbpm-wb\jbpm-wb-common\jbpm-wb-common-client\src\test\java\org\jbpm\workbench\common\client\menu\ManageSelectorImplTest.java,class,false,135
PERSISTENCE,org.jbpm.workbench.wi.backend.server.workitem.WorkbenchRepositoryEventListener,14,1,28,49,0,14,74,60,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-backend\src\main\java\org\jbpm\workbench\wi\backend\server\workitem\WorkbenchRepositoryEventListener.java,class,false,385
TEST,org.jbpm.workbench.ht.backend.server.DataSetDefsBootstrapTest,4,1,10,0,0,4,19,4,D:\Projetos\_Web\jbpm-wb\jbpm-wb-human-tasks\jbpm-wb-human-tasks-backend\src\test\java\org\jbpm\workbench\ht\backend\server\DataSetDefsBootstrapTest.java,class,false,105
TEST,org.jbpm.workbench.wi.backend.server.dd.DDEditorServiceTest,11,3,12,55,0,11,43,13,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-backend\src\test\java\org\jbpm\workbench\wi\backend\server\dd\DDEditorServiceTest.java,class,false,306
UNDEFINED,org.jbpm.workbench.cm.client.perspectives.CaseOverviewPerspective,3,1,8,0,0,3,9,4,D:\Projetos\_Web\jbpm-wb\jbpm-wb-case-mgmt\jbpm-wb-case-mgmt-client\src\main\java\org\jbpm\workbench\cm\client\perspectives\CaseOverviewPerspective.java,class,false,60
UNDEFINED,org.jbpm.workbench.cm.model.ProcessDefinitionSummary,19,1,4,79,0,19,5,19,D:\Projetos\_Web\jbpm-wb\jbpm-wb-case-mgmt\jbpm-wb-case-mgmt-api\src\main\java\org\jbpm\workbench\cm\model\ProcessDefinitionSummary.java,class,false,121
[ISELEMENT],org.jbpm.workbench.common.client.filters.saved.SavedFiltersViewImpl,7,1,14,0,0,7,12,9,D:\Projetos\_Web\jbpm-wb\jbpm-wb-common\jbpm-wb-common-client\src\main\java\org\jbpm\workbench\common\client\filters\saved\SavedFiltersViewImpl.java,class,false,89
TEST,org.jbpm.workbench.pr.client.editors.instance.diagram.ProcessInstanceDiagramPresenterTest,14,1,24,0,0,14,119,16,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-client\src\test\java\org\jbpm\workbench\pr\client\editors\instance\diagram\ProcessInstanceDiagramPresenterTest.java,class,false,480
[TAKESVALUE],org.jbpm.workbench.pr.client.editors.instance.diagram.TimerInstanceRescheduleView,9,1,21,22,0,9,8,11,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-client\src\main\java\org\jbpm\workbench\pr\client\editors\instance\diagram\TimerInstanceRescheduleView.java,class,false,131
[PROCESSINSTANCESUMMARYAWARE],org.jbpm.workbench.pr.client.editors.instance.diagram.ProcessInstanceDiagramPresenter,18,1,24,15,0,18,107,33,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-client\src\main\java\org\jbpm\workbench\pr\client\editors\instance\diagram\ProcessInstanceDiagramPresenter.java,class,false,272
COMPOSITE,org.jbpm.workbench.forms.client.display.views.GenericFormDisplayView,3,2,11,1,0,3,3,3,D:\Projetos\_Web\jbpm-wb\jbpm-wb-forms\jbpm-wb-forms-client\src\main\java\org\jbpm\workbench\forms\client\display\views\GenericFormDisplayView.java,class,false,58
[DATASETDEFJSONMARSHALLEREXT],org.jbpm.workbench.ks.integration.RemoteDefJSONMarshaller,2,1,5,0,0,2,14,14,D:\Projetos\_Web\jbpm-wb\jbpm-wb-kie-server\jbpm-wb-kie-server-api\src\main\java\org\jbpm\workbench\ks\integration\RemoteDefJSONMarshaller.java,class,false,81
TEST,org.jbpm.workbench.wi.backend.server.casemgmt.service.CaseProjectServiceImplTest,9,1,30,2,0,9,61,9,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-backend\src\test\java\org\jbpm\workbench\wi\backend\server\casemgmt\service\CaseProjectServiceImplTest.java,class,false,398
COMPOSITE,org.jbpm.workbench.pr.client.editors.definition.details.ProcessDefinitionDetailsViewImpl,2,2,12,0,0,2,15,4,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-client\src\main\java\org\jbpm\workbench\pr\client\editors\definition\details\ProcessDefinitionDetailsViewImpl.java,class,false,93
UNDEFINED,org.jbpm.workbench.cm.model.CaseInstanceSummary,36,1,7,380,0,36,17,41,D:\Projetos\_Web\jbpm-wb\jbpm-wb-case-mgmt\jbpm-wb-case-mgmt-api\src\main\java\org\jbpm\workbench\cm\model\CaseInstanceSummary.java,class,false,228
TEST,org.jbpm.workbench.common.client.filters.saved.SavedFiltersPresenterTest,7,1,12,0,0,7,32,7,D:\Projetos\_Web\jbpm-wb\jbpm-wb-common\jbpm-wb-common-client\src\test\java\org\jbpm\workbench\common\client\filters\saved\SavedFiltersPresenterTest.java,class,false,134
[FUNCTION],org.jbpm.workbench.pr.backend.server.NodeInstanceSummaryMapper,1,1,3,0,0,1,11,3,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-backend\src\main\java\org\jbpm\workbench\pr\backend\server\NodeInstanceSummaryMapper.java,class,false,44
SAVEDFILTERSPRESENTER,org.jbpm.workbench.pr.client.editors.instance.list.ProcessInstanceListSavedFiltersPresenter,2,2,7,1,0,2,0,2,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-client\src\main\java\org\jbpm\workbench\pr\client\editors\instance\list\ProcessInstanceListSavedFiltersPresenter.java,class,false,43
HTTPPOSTHELPER,org.jbpm.workbench.wi.backend.server.workitem.upload.ServiceTaskHttpPostHelper,3,2,9,3,0,3,11,6,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-backend\src\main\java\org\jbpm\workbench\wi\backend\server\workitem\upload\ServiceTaskHttpPostHelper.java,class,false,74
[ISELEMENT],org.jbpm.workbench.common.client.util.BlockingError,3,1,5,0,0,3,3,3,D:\Projetos\_Web\jbpm-wb\jbpm-wb-common\jbpm-wb-common-client\src\main\java\org\jbpm\workbench\common\client\util\BlockingError.java,class,false,43
ABSTRACTLISTPRESENTER,org.jbpm.workbench.es.client.editors.requestlist.RequestListPresenter,25,4,37,200,0,25,89,58,D:\Projetos\_Web\jbpm-wb\jbpm-wb-executor-service\jbpm-wb-executor-service-client\src\main\java\org\jbpm\workbench\es\client\editors\requestlist\RequestListPresenter.java,class,false,384
SECTION,org.jbpm.workbench.wi.client.editors.deployment.descriptor.DeploymentsSectionPresenter,14,2,35,41,0,14,36,18,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\editors\deployment\descriptor\DeploymentsSectionPresenter.java,class,false,182
ENTITY,org.jbpm.workbench.pr.events.NewCaseInstanceEvent,10,1,2,0,0,10,3,33,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-api\src\main\java\org\jbpm\workbench\pr\events\NewCaseInstanceEvent.java,class,false,113
TEST,org.jbpm.workbench.forms.client.display.displayer.KieWorkbenchFormDisplayerTest,2,1,7,0,0,2,9,2,D:\Projetos\_Web\jbpm-wb\jbpm-wb-forms\jbpm-wb-forms-client\src\test\java\org\jbpm\workbench\forms\client\display\displayer\KieWorkbenchFormDisplayerTest.java,class,false,64
TEST,org.jbpm.workbench.forms.display.backend.provider.TaskFormValuesProcessorTest,5,2,12,8,0,5,16,5,D:\Projetos\_Web\jbpm-wb\jbpm-wb-forms\jbpm-wb-forms-backend\src\test\java\org\jbpm\workbench\forms\display\backend\provider\TaskFormValuesProcessorTest.java,class,false,111
ABSTRACTHUMANTASKFORMDISPLAYER,org.jbpm.workbench.forms.client.display.KieServerFormsHumanTaskDisplayer,13,2,10,78,0,13,22,13,D:\Projetos\_Web\jbpm-wb\jbpm-wb-forms\jbpm-wb-forms-client\src\main\java\org\jbpm\workbench\forms\client\display\KieServerFormsHumanTaskDisplayer.java,class,false,139
ABSTRACTLISTPRESENTER,org.jbpm.workbench.pr.client.editors.variables.list.ProcessVariableListPresenter,8,2,25,0,0,8,39,21,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-client\src\main\java\org\jbpm\workbench\pr\client\editors\variables\list\ProcessVariableListPresenter.java,class,false,164
TEST,org.jbpm.workbench.pr.client.editors.instance.diagram.TimerInstanceDelayConverterTest,2,1,4,0,0,2,3,2,D:\Projetos\_Web\jbpm-wb\jbpm-wb-process-runtime\jbpm-wb-process-runtime-client\src\test\java\org\jbpm\workbench\pr\client\editors\instance\diagram\TimerInstanceDelayConverterTest.java,class,false,48
UNDEFINED,org.jbpm.workbench.cm.client.events.CaseRoleAssignmentListOpenEvent,6,1,1,0,0,6,3,12,D:\Projetos\_Web\jbpm-wb\jbpm-wb-case-mgmt\jbpm-wb-case-mgmt-client\src\main\java\org\jbpm\workbench\cm\client\events\CaseRoleAssignmentListOpenEvent.java,class,false,61
