DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
ELEMENTAL2MODAL,org.jbpm.workbench.wi.client.editors.deployment.descriptor.items.ParametersModal,setup,5,1,4,2,0,1615,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\editors\deployment\descriptor\items\ParametersModal.java
ELEMENTAL2MODAL,org.jbpm.workbench.wi.client.editors.deployment.descriptor.items.ParametersModal,add,5,1,4,0,0,2020,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\editors\deployment\descriptor\items\ParametersModal.java
ELEMENTAL2MODAL,org.jbpm.workbench.wi.client.editors.deployment.descriptor.items.ParametersModal,setup,8,1,4,2,0,3177,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\editors\deployment\descriptor\items\ParametersModal.java
ELEMENTAL2MODAL,org.jbpm.workbench.wi.client.editors.deployment.descriptor.items.ParametersModal,setName,4,1,3,1,0,3877,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\editors\deployment\descriptor\items\ParametersModal.java
ELEMENTAL2MODAL,org.jbpm.workbench.wi.client.editors.deployment.descriptor.items.ParametersModal,fireChangeEvent,3,1,1,0,0,2368,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\editors\deployment\descriptor\items\ParametersModal.java
ELEMENTAL2MODAL,org.jbpm.workbench.wi.client.editors.deployment.descriptor.items.ParametersModal,setValue,4,1,3,1,0,4026,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\editors\deployment\descriptor\items\ParametersModal.java
ELEMENTAL2MODAL,org.jbpm.workbench.wi.client.editors.deployment.descriptor.items.ParametersModal,remove,4,1,1,0,0,3722,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\editors\deployment\descriptor\items\ParametersModal.java
ELEMENTAL2MODAL,org.jbpm.workbench.wi.client.editors.deployment.descriptor.items.ParametersModal,signalParameterAddedOrRemoved,3,1,1,0,0,2250,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\editors\deployment\descriptor\items\ParametersModal.java
ELEMENTAL2MODAL,org.jbpm.workbench.wi.client.editors.deployment.descriptor.items.ParametersModal,getObject,3,1,1,0,0,3619,D:\Projetos\_Web\jbpm-wb\jbpm-wb-integration\jbpm-wb-integration-client\src\main\java\org\jbpm\workbench\wi\client\editors\deployment\descriptor\items\ParametersModal.java
[CREDENTIALSPROVIDER],org.jbpm.workbench.ks.security.KeyCloakTokenCredentialsProvider,getHeaderName,3,1,2,0,0,1181,D:\Projetos\_Web\jbpm-wb\jbpm-wb-kie-server\jbpm-wb-kie-server-api\src\main\java\org\jbpm\workbench\ks\security\KeyCloakTokenCredentialsProvider.java
[CREDENTIALSPROVIDER],org.jbpm.workbench.ks.security.KeyCloakTokenCredentialsProvider,getAuthorization,15,4,7,0,0,1275,D:\Projetos\_Web\jbpm-wb\jbpm-wb-kie-server\jbpm-wb-kie-server-api\src\main\java\org\jbpm\workbench\ks\security\KeyCloakTokenCredentialsProvider.java
