DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,org.sourcelab.kafka.webview.ui.controller.api.requests.CreateTopicRequest,7,1,0,3,0,7,0,7,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\api\requests\CreateTopicRequest.java,class,false
CONTROLLER,org.sourcelab.kafka.webview.ui.controller.configuration.stream.StreamConfigController,3,2,16,1,0,3,23,7,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\configuration\stream\StreamConfigController.java,class,true
ENTITY,org.sourcelab.kafka.webview.ui.controller.login.forms.ResetPasswordForm,6,1,2,9,0,6,0,6,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\login\forms\ResetPasswordForm.java,class,false
UNDEFINED,org.sourcelab.kafka.webview.ui.manager.kafka.dto.CreateTopic,5,1,0,0,0,5,0,5,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\manager\kafka\dto\CreateTopic.java,class,false
UNDEFINED,org.sourcelab.kafka.webview.ui.tools.FilterTestTools,4,1,6,2,0,4,14,4,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\tools\FilterTestTools.java,class,false
TEST,org.sourcelab.kafka.webview.ui.controller.configuration.messageformat.MessageFormatControllerTest,14,2,16,0,0,14,59,14,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\controller\configuration\messageformat\MessageFormatControllerTest.java,class,false
TEST,org.sourcelab.kafka.webview.ui.manager.kafka.KafkaSaslClusterTests,6,2,10,9,0,6,24,6,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\manager\kafka\KafkaSaslClusterTests.java,class,false
TEST,org.sourcelab.kafka.webview.ui.controller.configuration.cluster.ClusterConfigControllerTest,18,2,17,0,0,18,79,18,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\controller\configuration\cluster\ClusterConfigControllerTest.java,class,false
TEST,org.sourcelab.kafka.webview.ui.model.ClusterTest,1,1,2,0,0,1,7,1,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\model\ClusterTest.java,class,false
ENTITY,org.sourcelab.kafka.webview.ui.configuration.AppProperties,12,1,4,54,0,12,0,12,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\configuration\AppProperties.java,class,false
UNDEFINED,org.sourcelab.kafka.webview.ui.manager.kafka.KafkaOperationsFactory,2,1,7,0,0,2,4,2,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\manager\kafka\KafkaOperationsFactory.java,class,false
UNDEFINED,org.sourcelab.kafka.webview.ui.manager.user.UserBuilder,10,1,4,27,0,10,16,12,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\manager\user\UserBuilder.java,class,false
