DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,org.sourcelab.kafka.webview.ui.controller.api.requests.CreateTopicRequest,toString,3,1,1,0,0,1969,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\api\requests\CreateTopicRequest.java
UNDEFINED,org.sourcelab.kafka.webview.ui.controller.api.requests.CreateTopicRequest,getPartitions,3,1,1,0,0,1621,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\api\requests\CreateTopicRequest.java
UNDEFINED,org.sourcelab.kafka.webview.ui.controller.api.requests.CreateTopicRequest,setReplicas,3,1,2,1,0,1872,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\api\requests\CreateTopicRequest.java
UNDEFINED,org.sourcelab.kafka.webview.ui.controller.api.requests.CreateTopicRequest,setPartitions,3,1,2,1,0,1696,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\api\requests\CreateTopicRequest.java
UNDEFINED,org.sourcelab.kafka.webview.ui.controller.api.requests.CreateTopicRequest,getReplicas,3,1,1,0,0,1803,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\api\requests\CreateTopicRequest.java
UNDEFINED,org.sourcelab.kafka.webview.ui.controller.api.requests.CreateTopicRequest,setName,3,1,2,1,0,1477,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\api\requests\CreateTopicRequest.java
UNDEFINED,org.sourcelab.kafka.webview.ui.controller.api.requests.CreateTopicRequest,getName,3,1,1,0,0,1559,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\api\requests\CreateTopicRequest.java
CONTROLLER,org.sourcelab.kafka.webview.ui.controller.configuration.stream.StreamConfigController,setupBreadCrumbs,10,2,3,3,0,5552,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\configuration\stream\StreamConfigController.java
CONTROLLER,org.sourcelab.kafka.webview.ui.controller.configuration.stream.StreamConfigController,closeConsumer,9,2,4,2,0,4808,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\configuration\stream\StreamConfigController.java
CONTROLLER,org.sourcelab.kafka.webview.ui.controller.configuration.stream.StreamConfigController,index,23,1,14,1,0,3047,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\configuration\stream\StreamConfigController.java
ENTITY,org.sourcelab.kafka.webview.ui.controller.login.forms.ResetPasswordForm,getEmail,3,1,1,0,0,1873,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\login\forms\ResetPasswordForm.java
ENTITY,org.sourcelab.kafka.webview.ui.controller.login.forms.ResetPasswordForm,getToken,3,1,1,0,0,2023,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\login\forms\ResetPasswordForm.java
ENTITY,org.sourcelab.kafka.webview.ui.controller.login.forms.ResetPasswordForm,setToken,3,1,2,1,0,2087,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\login\forms\ResetPasswordForm.java
ENTITY,org.sourcelab.kafka.webview.ui.controller.login.forms.ResetPasswordForm,setEmail,3,1,2,1,0,1937,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\login\forms\ResetPasswordForm.java
ENTITY,org.sourcelab.kafka.webview.ui.controller.login.forms.ResetPasswordForm,setPassword,3,1,2,1,0,2243,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\login\forms\ResetPasswordForm.java
ENTITY,org.sourcelab.kafka.webview.ui.controller.login.forms.ResetPasswordForm,getPassword,3,1,1,0,0,2173,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\controller\login\forms\ResetPasswordForm.java
UNDEFINED,org.sourcelab.kafka.webview.ui.manager.kafka.dto.CreateTopic,getReplicaFactor,3,1,1,0,0,2060,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\manager\kafka\dto\CreateTopic.java
UNDEFINED,org.sourcelab.kafka.webview.ui.manager.kafka.dto.CreateTopic,toString,3,1,1,0,0,2139,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\manager\kafka\dto\CreateTopic.java
UNDEFINED,org.sourcelab.kafka.webview.ui.manager.kafka.dto.CreateTopic,getName,3,1,1,0,0,1911,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\manager\kafka\dto\CreateTopic.java
UNDEFINED,org.sourcelab.kafka.webview.ui.manager.kafka.dto.CreateTopic,getNumberOfPartitions,3,1,1,0,0,1973,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\main\java\org\sourcelab\kafka\webview\ui\manager\kafka\dto\CreateTopic.java
UNDEFINED,org.sourcelab.kafka.webview.ui.tools.FilterTestTools,createFilter,3,1,2,1,0,2267,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\tools\FilterTestTools.java
UNDEFINED,org.sourcelab.kafka.webview.ui.tools.FilterTestTools,createFilter,9,1,3,4,0,2540,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\tools\FilterTestTools.java
UNDEFINED,org.sourcelab.kafka.webview.ui.tools.FilterTestTools,createFilterFromTestPlugins,9,1,5,2,0,3206,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\tools\FilterTestTools.java
TEST,org.sourcelab.kafka.webview.ui.controller.configuration.messageformat.MessageFormatControllerTest,testPostDelete_inUse,13,1,10,0,0,25185,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\controller\configuration\messageformat\MessageFormatControllerTest.java
TEST,org.sourcelab.kafka.webview.ui.controller.configuration.messageformat.MessageFormatControllerTest,test_withoutAdminRole,7,1,0,0,0,4384,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\controller\configuration\messageformat\MessageFormatControllerTest.java
TEST,org.sourcelab.kafka.webview.ui.controller.configuration.messageformat.MessageFormatControllerTest,testPostUpdate_updatingExistingButWithInvalidJar,23,1,10,0,0,12918,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\controller\configuration\messageformat\MessageFormatControllerTest.java
TEST,org.sourcelab.kafka.webview.ui.controller.configuration.messageformat.MessageFormatControllerTest,testPostUpdate_updatingExistingNoJarUploaded,26,1,11,0,0,16103,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\controller\configuration\messageformat\MessageFormatControllerTest.java
TEST,org.sourcelab.kafka.webview.ui.controller.configuration.messageformat.MessageFormatControllerTest,testIndex,5,1,2,0,0,4942,D:\Projetos\_Web\kafka-webview\kafka-webview-ui\src\test\java\org\sourcelab\kafka\webview\ui\controller\configuration\messageformat\MessageFormatControllerTest.java
