DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
TEST,com.qcadoo.mes.advancedGenealogy.tree.AdvancedGenealogyTreeViewListenersTest,shouldStopGeneratingTreeAndAddCertainMessageIfNoBatchIsSelected,4,1,2,0,0,3749,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-advanced-genealogy\src\test\java\com\qcadoo\mes\advancedGenealogy\tree\AdvancedGenealogyTreeViewListenersTest.java
TEST,com.qcadoo.mes.advancedGenealogy.tree.AdvancedGenealogyTreeViewListenersTest,init,19,1,7,0,0,2426,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-advanced-genealogy\src\test\java\com\qcadoo\mes\advancedGenealogy\tree\AdvancedGenealogyTreeViewListenersTest.java
TEST,com.qcadoo.mes.advancedGenealogy.tree.AdvancedGenealogyTreeViewListenersTest,shouldStopGeneratingTreeAndAddCertainMessageIfNoTreeTypeIsSelected,12,1,5,0,0,4069,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-advanced-genealogy\src\test\java\com\qcadoo\mes\advancedGenealogy\tree\AdvancedGenealogyTreeViewListenersTest.java
TEST,com.qcadoo.mes.advancedGenealogy.tree.AdvancedGenealogyTreeViewListenersTest,shouldGenerateUsedToProduceTree,29,1,10,0,0,6970,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-advanced-genealogy\src\test\java\com\qcadoo\mes\advancedGenealogy\tree\AdvancedGenealogyTreeViewListenersTest.java
TEST,com.qcadoo.mes.advancedGenealogy.tree.AdvancedGenealogyTreeViewListenersTest,shouldGenerateProducedFromTree,29,1,10,0,0,4961,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-advanced-genealogy\src\test\java\com\qcadoo\mes\advancedGenealogy\tree\AdvancedGenealogyTreeViewListenersTest.java
SERVICE,com.qcadoo.mes.basic.listeners.PalletNumberHelperDetailsListeners,printPalletNumberHelperReport,11,3,3,3,0,1340,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-basic\src\main\java\com\qcadoo\mes\basic\listeners\PalletNumberHelperDetailsListeners.java
SERVICE,com.qcadoo.mes.basicProductionCounting.listeners.BasicProductionCountingListListeners,showDetailedProductionCountingAndProgress,15,3,8,3,0,1367,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-basic-production-counting\src\main\java\com\qcadoo\mes\basicProductionCounting\listeners\BasicProductionCountingListListeners.java
SERVICE,com.qcadoo.mes.supplyNegotiations.hooks.NegotiationProductDetailsHooks,fillUnitFields,4,1,4,1,0,1600,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-supply-negotiations\src\main\java\com\qcadoo\mes\supplyNegotiations\hooks\NegotiationProductDetailsHooks.java
SERVICE,com.qcadoo.mes.states.criteriaModifier.CommonCriteriaModifiers,filterHistory,3,1,3,1,0,1364,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-states\src\main\java\com\qcadoo\mes\states\criteriaModifier\CommonCriteriaModifiers.java
SERVICE,com.qcadoo.mes.supplyNegotiations.states.client.OfferViewClient,getStateChangeService,3,1,1,0,0,1594,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-supply-negotiations\src\main\java\com\qcadoo\mes\supplyNegotiations\states\client\OfferViewClient.java
VIEW,com.qcadoo.mes.supplyNegotiations.states.aop.listeners.OfferValidationAspect,preValidationOnAccepted,3,1,3,2,0,2485,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-supply-negotiations\src\main\java\com\qcadoo\mes\supplyNegotiations\states\aop\listeners\OfferValidationAspect.java
VIEW,com.qcadoo.mes.supplyNegotiations.states.aop.listeners.OfferValidationAspect,targetServicePointcut,2,1,0,0,0,2373,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-supply-negotiations\src\main\java\com\qcadoo\mes\supplyNegotiations\states\aop\listeners\OfferValidationAspect.java
SERVICE,com.qcadoo.mes.basic.services.ExportToFileOnlyVisibleColumnsService,getColumns,17,5,9,2,0,1741,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-basic\src\main\java\com\qcadoo\mes\basic\services\ExportToFileOnlyVisibleColumnsService.java
UNDEFINED,com.qcadoo.mes.deliveries.listeners.DeliveredProductAddMultiListeners,checkExpirationDate,11,4,5,4,0,12858,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-deliveries\src\main\java\com\qcadoo\mes\deliveries\listeners\DeliveredProductAddMultiListeners.java
