DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
VAADINSERVLET,org.jumpmind.metl.ui.init.AppServlet,2,2,5,1,0,2,3,2,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\init\AppServlet.java,class,false,54
PANEL,org.jumpmind.metl.ui.views.design.WhereUsedPanel,9,2,24,20,0,9,52,24,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\design\WhereUsedPanel.java,class,false,192
MODEL,org.jumpmind.metl.core.model.Tag,8,3,3,14,0,8,1,8,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\Tag.java,class,false,70
MODEL,org.jumpmind.metl.core.model.AuditEvent,6,3,2,3,0,6,1,6,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\AuditEvent.java,class,false,60
TABLE,org.jumpmind.metl.ui.common.Table,1,2,3,0,0,1,3,5,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\common\Table.java,class,false,42
EXCEPTION,org.jumpmind.metl.ui.api.FailureException,2,2,1,0,0,2,0,2,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\api\FailureException.java,class,false,38
MODEL,org.jumpmind.metl.core.model.HierarchicalModelName,2,4,2,1,0,2,10,2,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\HierarchicalModelName.java,class,false,42
MODEL,org.jumpmind.metl.core.model.AbstractModel,18,3,2,131,2,18,4,18,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\AbstractModel.java,class,false,116
MODEL,org.jumpmind.metl.core.model.FlowParameter,8,3,1,20,0,8,0,8,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\FlowParameter.java,class,false,66
ABSTRACTJAVASCRIPTCOMPONENT,org.jumpmind.metl.ui.diagram.RunDiagram,7,2,5,21,0,7,15,14,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\diagram\RunDiagram.java,class,false,92
ASYNCTASK,org.jumpmind.metl.core.runtime.flow.AsyncRecorder,5,1,6,0,0,5,33,26,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\runtime\flow\AsyncRecorder.java,class,false,162
DEFINITIONFACTORY,org.jumpmind.metl.ui.definition.DefinitionPlusUIFactory,5,2,10,4,0,5,21,23,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\definition\DefinitionPlusUIFactory.java,class,false,130
MODEL,org.jumpmind.metl.core.model.ComponentModelSetting,9,3,2,8,0,9,0,9,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\ComponentModelSetting.java,class,false,73
MODEL,org.jumpmind.metl.core.model.ExecutionStepLog,10,2,3,29,0,10,2,13,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\ExecutionStepLog.java,class,false,84
VIEW,org.jumpmind.metl.ui.views.design.EditExcelWriterPanel,27,3,27,222,0,27,75,76,D:\Projetos\_Web\metl\comp-excel\src\main\java\org\jumpmind\metl\ui\views\design\EditExcelWriterPanel.java,class,false,366
VIEW,org.jumpmind.metl.ui.views.manage.ExecutionRunPanel,28,2,57,247,0,28,198,122,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\manage\ExecutionRunPanel.java,class,false,834
ABSTRACTCOMPONENTRUNTIME,org.jumpmind.metl.core.runtime.component.AbstractSerializer,4,2,3,4,2,4,8,18,D:\Projetos\_Web\metl\comp-serialize\src\main\java\org\jumpmind\metl\core\runtime\component\AbstractSerializer.java,class,false,88
[ICOMPONENTRUNTIME],org.jumpmind.metl.core.runtime.component.AbstractComponentRuntime,37,1,24,374,43,37,66,71,D:\Projetos\_Web\metl\comp-abstract\src\main\java\org\jumpmind\metl\core\runtime\component\AbstractComponentRuntime.java,class,false,363
TEST,org.jumpmind.metl.core.runtime.component.RelationalHierarchicalMappingTest,3,1,3,0,0,3,1,5,D:\Projetos\_Web\metl\comp-map\src\test\java\org\jumpmind\metl\core\runtime\component\RelationalHierarchicalMappingTest.java,class,false,69
ABSTRACTSELECTEDVALUEMENUMANAGER,org.jumpmind.metl.ui.views.design.menu.AbstractDesignSelectedValueMenuManager,5,2,5,4,7,5,30,65,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\design\menu\AbstractDesignSelectedValueMenuManager.java,class,false,150
MODEL,org.jumpmind.metl.core.model.ComponentAttribSetting,7,3,2,3,0,7,0,7,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\model\ComponentAttribSetting.java,class,false,60
MENUBAR,org.jumpmind.metl.ui.views.design.menu.DesignMenuBar,4,3,5,6,0,4,3,4,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\design\menu\DesignMenuBar.java,class,false,101
EVENT,org.jumpmind.metl.ui.diagram.LinkSelectedEvent,3,2,2,0,0,3,0,3,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\diagram\LinkSelectedEvent.java,class,false,48
VIEW,org.jumpmind.metl.ui.views.design.EditScriptPanel,2,3,9,0,0,2,26,6,D:\Projetos\_Web\metl\comp-groovy\src\main\java\org\jumpmind\metl\ui\views\design\EditScriptPanel.java,class,false,120
ABSTRACTCOMPONENTRUNTIME,org.jumpmind.metl.core.runtime.component.NoOp,3,2,3,3,0,3,1,3,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\runtime\component\NoOp.java,class,false,44
UNDEFINED,org.jumpmind.metl.core.runtime.component.ComponentTypeIdConstants,1,1,0,0,0,1,0,1,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\runtime\component\ComponentTypeIdConstants.java,class,false,30
ABSTRACTSELECTEDVALUEMENUMANAGER,org.jumpmind.metl.ui.views.design.menu.ProjectDependencyMenuManager,4,3,2,6,0,4,2,8,D:\Projetos\_Web\metl\metl-ui\src\main\java\org\jumpmind\metl\ui\views\design\menu\ProjectDependencyMenuManager.java,class,false,75
UNDEFINED,org.jumpmind.metl.core.util.LogUtils,10,1,3,33,0,10,39,34,D:\Projetos\_Web\metl\metl-core\src\main\java\org\jumpmind\metl\core\util\LogUtils.java,class,false,169
ABSTRACTCOMPONENTRUNTIME,org.jumpmind.metl.core.runtime.component.AbstractFileWriter,3,2,4,0,2,3,13,11,D:\Projetos\_Web\metl\comp-file\src\main\java\org\jumpmind\metl\core\runtime\component\AbstractFileWriter.java,class,false,79
