DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,9,1,5,0,0,9,13,24,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java,class,false
TEST,org.mitre.mpf.videooverlay.TestBoundingBox,1,1,2,0,0,1,4,1,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\videooverlay\TestBoundingBox.java,class,false
UNDEFINED,org.mitre.mpf.mvc.model.PropertyModel,8,1,0,2,0,8,0,8,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\PropertyModel.java,class,false
ENTITY,org.mitre.mpf.rest.api.node.EnvironmentVariableModel,6,1,1,1,0,6,3,6,D:\Projetos\_Web\openmpf\trunk\mpf-rest-api\src\main\java\org\mitre\mpf\rest\api\node\EnvironmentVariableModel.java,class,false
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,20,1,9,52,0,20,5,34,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java,class,false
ERRORCOLLECTOR,org.mitre.mpf.mst.MpfErrorCollector,5,2,5,0,0,5,12,13,D:\Projetos\_Web\openmpf\trunk\mpf-system-tests\src\main\java\org\mitre\mpf\mst\MpfErrorCollector.java,class,false
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinitionCollection,4,1,4,0,0,4,1,6,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinitionCollection.java,class,false
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PropertyDefinitionRef,7,1,5,0,0,7,12,18,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PropertyDefinitionRef.java,class,false
TEST,org.mitre.mpf.wfm.camelOps.TestMediaInspectionProcessor,10,1,9,1,0,10,40,10,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\test\java\org\mitre\mpf\wfm\camelOps\TestMediaInspectionProcessor.java,class,false
WFMPROCESSOR,org.mitre.mpf.wfm.camel.EndOfStageProcessor,1,2,10,0,0,1,19,6,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\camel\EndOfStageProcessor.java,class,false
[APPLICATIONCONTEXTINITIALIZER],org.mitre.mpf.mvc.CustomApplicationContextInitializer,1,1,5,0,0,1,5,2,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\CustomApplicationContextInitializer.java,class,false
ENTITY,org.mitre.mpf.wfm.data.entities.persistent.MarkupResult,23,1,8,185,0,23,13,24,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\data\entities\persistent\MarkupResult.java,class,true
TEST,org.mitre.mpf.wfm.service.component.TestAddComponentService,21,1,22,0,0,21,117,29,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\test\java\org\mitre\mpf\wfm\service\component\TestAddComponentService.java,class,false
ENTITY,org.mitre.mpf.mvc.SwaggerConfig,3,1,9,3,0,3,12,3,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\SwaggerConfig.java,class,false
WFMSPLITTER,org.mitre.mpf.wfm.camel.operations.mediainspection.MediaInspectionSplitter,2,2,10,1,0,2,16,9,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\camel\operations\mediainspection\MediaInspectionSplitter.java,class,false
UNDEFINED,org.mitre.mpf.password.Main,1,1,1,0,0,1,4,7,D:\Projetos\_Web\openmpf\trunk\mpf-password-generator\src\main\java\org\mitre\mpf\password\Main.java,class,false
UNDEFINED,org.mitre.mpf.mvc.model.DirectoryTreeNode,13,1,3,24,0,13,31,38,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\DirectoryTreeNode.java,class,false
[CLUSTERCHANGENOTIFIER],org.mitre.mpf.wfm.nodeManager.NodeManagerStatus,27,1,20,65,0,27,64,79,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\nodeManager\NodeManagerStatus.java,class,false
TEST,org.mitre.mpf.wfm.camel.TestDlqRouteBuilder,17,1,22,30,0,17,64,35,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\test\java\org\mitre\mpf\wfm\camel\TestDlqRouteBuilder.java,class,false
EXCEPTION,org.mitre.mpf.mvc.MpfServiceException,5,2,0,10,0,5,0,5,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\MpfServiceException.java,class,false
TEST,org.mitre.mpf.frameextractor.TestFrameExtractor,3,1,4,3,0,3,23,4,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\frameextractor\TestFrameExtractor.java,class,false
MODEL,org.mitre.mpf.mvc.model.ServerMediaFilteredListing,4,2,2,0,0,4,0,4,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\ServerMediaFilteredListing.java,class,false
BASEDETECTIONSTATUSPROCESSOR,org.mitre.mpf.wfm.camel.operations.detection.DetectionDeadLetterProcessor,1,2,4,0,0,1,1,1,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\camel\operations\detection\DetectionDeadLetterProcessor.java,class,false
EXCEPTION,org.mitre.mpf.wfm.exceptions.InvalidTaskWfmProcessingException,2,3,1,1,0,2,0,2,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\exceptions\InvalidTaskWfmProcessingException.java,class,false
UNDEFINED,org.mitre.mpf.nms.streaming.StreamingProcessFactory,2,1,4,0,0,2,13,6,D:\Projetos\_Web\openmpf\trunk\node-manager\src\main\java\org\mitre\mpf\nms\streaming\StreamingProcessFactory.java,class,false
UNDEFINED,org.mitre.mpf.mvc.model.FileTreeNode,15,1,2,53,0,15,11,30,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\FileTreeNode.java,class,false
VIEW,org.mitre.mpf.wfm.WfmStartup,7,1,24,0,0,7,51,28,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\WfmStartup.java,class,false
SERVICE,org.mitre.mpf.wfm.service.MpfUserDetailsService,4,1,19,0,0,4,17,9,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\service\MpfUserDetailsService.java,class,true
ROUTEBUILDER,org.mitre.mpf.wfm.camel.routes.MarkupResponseRouteBuilder,3,2,3,1,0,3,16,3,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\camel\routes\MarkupResponseRouteBuilder.java,class,false
[PREDICATE],org.mitre.mpf.wfm.camel.SplitCompletedPredicate,4,1,3,0,0,4,7,6,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\camel\SplitCompletedPredicate.java,class,false
UNDEFINED,org.mitre.mpf.nms.util.SleepUtil,2,1,1,1,0,2,5,3,D:\Projetos\_Web\openmpf\trunk\node-manager\src\main\java\org\mitre\mpf\nms\util\SleepUtil.java,class,false
OBJECTMAPPER,org.mitre.mpf.interop.util.MpfObjectMapper,4,2,4,6,0,4,2,4,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\util\MpfObjectMapper.java,class,false
TEST,org.mitre.mpf.wfm.ITWebUI,13,1,14,0,0,13,28,28,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\test\java\org\mitre\mpf\wfm\ITWebUI.java,class,false
CONTROLLER,org.mitre.mpf.mvc.controller.BootoutController,1,1,11,0,0,1,7,3,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\controller\BootoutController.java,class,true
WFMSPLITTER,org.mitre.mpf.wfm.camel.operations.detection.artifactextraction.ArtifactExtractionSplitterImpl,8,2,21,20,0,8,47,29,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\camel\operations\detection\artifactextraction\ArtifactExtractionSplitterImpl.java,class,false
ASYNCTASK,org.mitre.mpf.nms.BaseServiceLauncher,28,1,11,303,1,28,71,91,D:\Projetos\_Web\openmpf\trunk\node-manager\src\main\java\org\mitre\mpf\nms\BaseServiceLauncher.java,class,false
WFMSPLITTER,org.mitre.mpf.wfm.camel.operations.mediaretrieval.RemoteMediaSplitter,3,2,10,3,0,3,16,8,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\camel\operations\mediaretrieval\RemoteMediaSplitter.java,class,false
