DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,hashCode,3,1,2,0,0,3771,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,readResolve,6,2,2,0,0,4586,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,toString,3,1,2,0,0,4405,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,getTaskRefs,3,1,1,0,0,2706,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,equals,13,5,5,1,0,3874,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,getDescription,3,1,1,0,0,2565,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,isValid,23,7,4,0,0,3023,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinition,getName,3,1,2,0,0,2484,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinition.java
TEST,org.mitre.mpf.videooverlay.TestBoundingBox,testEquals,14,1,2,0,0,2081,D:\Projetos\_Web\openmpf\trunk\video-overlay\src\test\java\org\mitre\mpf\videooverlay\TestBoundingBox.java
UNDEFINED,org.mitre.mpf.mvc.model.PropertyModel,getNeedsRestart,3,1,1,0,0,2534,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\PropertyModel.java
UNDEFINED,org.mitre.mpf.mvc.model.PropertyModel,setValue,3,1,1,1,0,2470,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\PropertyModel.java
UNDEFINED,org.mitre.mpf.mvc.model.PropertyModel,toString,3,1,1,0,0,2597,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\PropertyModel.java
UNDEFINED,org.mitre.mpf.mvc.model.PropertyModel,getKey,3,1,1,0,0,2316,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\PropertyModel.java
UNDEFINED,org.mitre.mpf.mvc.model.PropertyModel,setKey,3,1,1,1,0,2363,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\PropertyModel.java
UNDEFINED,org.mitre.mpf.mvc.model.PropertyModel,getValue,3,1,1,0,0,2419,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\mvc\model\PropertyModel.java
ENTITY,org.mitre.mpf.rest.api.node.EnvironmentVariableModel,getSep,3,1,1,0,0,2649,D:\Projetos\_Web\openmpf\trunk\mpf-rest-api\src\main\java\org\mitre\mpf\rest\api\node\EnvironmentVariableModel.java
ENTITY,org.mitre.mpf.rest.api.node.EnvironmentVariableModel,getValue,3,1,1,0,0,2597,D:\Projetos\_Web\openmpf\trunk\mpf-rest-api\src\main\java\org\mitre\mpf\rest\api\node\EnvironmentVariableModel.java
ENTITY,org.mitre.mpf.rest.api.node.EnvironmentVariableModel,getName,3,1,1,0,0,2546,D:\Projetos\_Web\openmpf\trunk\mpf-rest-api\src\main\java\org\mitre\mpf\rest\api\node\EnvironmentVariableModel.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,getSha256,3,1,1,0,0,4017,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,compareTo,12,9,3,1,0,8340,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,getTypes,3,1,1,0,0,5139,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,equals,9,3,4,1,0,7798,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,getMimeType,3,1,1,0,0,2939,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,getDetectionProcessingErrors,3,1,1,0,0,5502,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,getPath,3,1,1,0,0,2762,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,getStatus,3,1,1,0,0,3526,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,getMessage,3,1,1,0,0,3831,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,hashCode,3,1,1,0,0,7735,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,getMarkupResult,3,1,1,0,0,4228,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,getLength,3,1,1,0,0,3297,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,getMediaId,3,1,1,0,0,2608,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,getMediaMetadata,3,1,1,0,0,4572,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,setStatus,3,1,2,1,0,3573,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,factory,17,5,8,12,0,6178,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,setMarkupResult,3,1,2,1,0,4303,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ENTITY,org.mitre.mpf.interop.JsonMediaOutputObject,getMediaProperties,3,1,1,0,0,4844,D:\Projetos\_Web\openmpf\trunk\interop\src\main\java\org\mitre\mpf\interop\JsonMediaOutputObject.java
ERRORCOLLECTOR,org.mitre.mpf.mst.MpfErrorCollector,verify,9,3,3,0,0,2351,D:\Projetos\_Web\openmpf\trunk\mpf-system-tests\src\main\java\org\mitre\mpf\mst\MpfErrorCollector.java
ERRORCOLLECTOR,org.mitre.mpf.mst.MpfErrorCollector,checkNowThat,3,1,2,2,0,3164,D:\Projetos\_Web\openmpf\trunk\mpf-system-tests\src\main\java\org\mitre\mpf\mst\MpfErrorCollector.java
ERRORCOLLECTOR,org.mitre.mpf.mst.MpfErrorCollector,checkNowThat,12,3,7,3,0,3269,D:\Projetos\_Web\openmpf\trunk\mpf-system-tests\src\main\java\org\mitre\mpf\mst\MpfErrorCollector.java
ERRORCOLLECTOR,org.mitre.mpf.mst.MpfErrorCollector,combineErrorMessages,11,2,5,0,0,2675,D:\Projetos\_Web\openmpf\trunk\mpf-system-tests\src\main\java\org\mitre\mpf\mst\MpfErrorCollector.java
ERRORCOLLECTOR,org.mitre.mpf.mst.MpfErrorCollector,addError,3,1,2,1,0,3081,D:\Projetos\_Web\openmpf\trunk\mpf-system-tests\src\main\java\org\mitre\mpf\mst\MpfErrorCollector.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinitionCollection,readResolve,6,2,2,0,0,2504,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinitionCollection.java
UNDEFINED,org.mitre.mpf.wfm.pipeline.xml.PipelineDefinitionCollection,add,3,1,2,1,0,2893,D:\Projetos\_Web\openmpf\trunk\workflow-manager\src\main\java\org\mitre\mpf\wfm\pipeline\xml\PipelineDefinitionCollection.java
