DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceEntity,6,1,4,0,0,6,6,10,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceEntity.java,class,true,69
[PROBLEMFACTCHANGE],org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisit,2,1,7,0,0,2,13,9,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\change\RemoveVisit.java,class,false,73
ENTITY,org.optaweb.vehiclerouting.plugin.planner.domain.persistable.AbstractPersistable,7,1,2,0,5,7,6,11,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\domain\persistable\AbstractPersistable.java,class,false,76
[PROBLEMFACTCHANGE],org.optaweb.vehiclerouting.plugin.planner.change.ChangeVehicleCapacity,2,1,5,0,0,2,7,4,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\change\ChangeVehicleCapacity.java,class,false,51
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,7,1,1,0,0,7,3,11,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java,class,false,85
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,13,1,1,58,0,13,7,15,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java,class,false,107
[WEBSOCKETMESSAGEBROKERCONFIGURER],org.optaweb.vehiclerouting.plugin.websocket.WebSocketConfig,3,1,6,3,0,3,6,3,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\websocket\WebSocketConfig.java,class,false,67
LOCATIONDATA,org.optaweb.vehiclerouting.domain.Location,6,2,3,0,0,6,3,10,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Location.java,class,false,69
UNDEFINED,org.optaweb.vehiclerouting.plugin.websocket.PortableRoute,5,1,4,2,0,5,4,5,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\websocket\PortableRoute.java,class,false,63
SERVICE,org.optaweb.vehiclerouting.service.demo.DemoService,5,1,10,0,0,5,14,9,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\service\demo\DemoService.java,class,true,91
