DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceEntity,hashCode,3,1,2,0,0,1637,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceEntity.java
ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceEntity,getKey,3,1,1,0,0,1177,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceEntity.java
ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceEntity,equals,10,4,5,1,0,1290,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceEntity.java
ENTITY,org.optaweb.vehiclerouting.plugin.persistence.DistanceEntity,getDistance,3,1,1,0,0,1231,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\persistence\DistanceEntity.java
[PROBLEMFACTCHANGE],org.optaweb.vehiclerouting.plugin.planner.change.RemoveVisit,doChange,21,5,4,1,0,1243,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\change\RemoveVisit.java
ENTITY,org.optaweb.vehiclerouting.plugin.planner.domain.persistable.AbstractPersistable,compareTo,3,1,3,1,0,1310,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\domain\persistable\AbstractPersistable.java
ENTITY,org.optaweb.vehiclerouting.plugin.planner.domain.persistable.AbstractPersistable,getId,3,1,1,0,0,1180,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\domain\persistable\AbstractPersistable.java
ENTITY,org.optaweb.vehiclerouting.plugin.planner.domain.persistable.AbstractPersistable,setId,3,1,2,1,0,1248,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\domain\persistable\AbstractPersistable.java
ENTITY,org.optaweb.vehiclerouting.plugin.planner.domain.persistable.AbstractPersistable,equals,10,4,4,1,0,1763,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\domain\persistable\AbstractPersistable.java
ENTITY,org.optaweb.vehiclerouting.plugin.planner.domain.persistable.AbstractPersistable,hashCode,3,1,2,0,0,2077,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\domain\persistable\AbstractPersistable.java
[PROBLEMFACTCHANGE],org.optaweb.vehiclerouting.plugin.planner.change.ChangeVehicleCapacity,doChange,10,2,3,1,0,1245,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\change\ChangeVehicleCapacity.java
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,capacity,3,1,1,0,0,1294,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,id,3,1,1,0,0,1038,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,toString,3,1,1,0,0,1795,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,hashCode,3,1,2,0,0,1713,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,equals,10,4,3,1,0,1431,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java
UNDEFINED,org.optaweb.vehiclerouting.domain.Vehicle,name,3,1,1,0,0,1149,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\domain\Vehicle.java
[MAP],org.optaweb.vehiclerouting.plugin.planner.DistanceMap,entrySet,3,1,2,0,0,3104,D:\Projetos\_Web\optaweb-vehicle-routing\optaweb-vehicle-routing-backend\src\main\java\org\optaweb\vehiclerouting\plugin\planner\DistanceMap.java
