DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
ABSTRACTHIBERNATEDATAMIGRATION,org.phenotips.data.internal.R54591PhenoTips952DataMigration,4,2,17,4,0,4,20,11,D:\Projetos\_Web\phenotips\components\patient-data\migrations\src\main\java\org\phenotips\data\internal\R54591PhenoTips952DataMigration.java,class,false,47
VIEW,org.phenotips.data.indexing.internal.PatientEventListener,2,2,10,1,0,2,3,6,D:\Projetos\_Web\phenotips\components\patient-data\indexing\src\main\java\org\phenotips\data\indexing\internal\PatientEventListener.java,class,false,13
UNDEFINED,org.phenotips.obo2solr.Main,4,1,7,4,0,4,16,8,D:\Projetos\_Web\phenotips\components\obo2solr\src\main\java\org\phenotips\obo2solr\Main.java,class,false,41
TREEMAP,org.phenotips.hpoa.utils.maps.ListMap,1,3,3,0,0,1,0,1,D:\Projetos\_Web\phenotips\components\phenotype-mapping-service\src\main\java\org\phenotips\hpoa\utils\maps\ListMap.java,class,false,4
TEST,org.phenotips.data.permissions.internal.access.OwnerAccessLevelTest,9,1,14,0,0,9,27,11,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\access\OwnerAccessLevelTest.java,class,false,71
SERVICE,org.phenotips.solr.OmimScriptService,4,2,15,6,0,4,32,17,D:\Projetos\_Web\phenotips\components\solr-access-service\api\src\main\java\org\phenotips\solr\OmimScriptService.java,class,false,64
UNDEFINED,org.phenotips.obo2solr.SolrUpdateGenerator,14,1,8,25,0,14,50,57,D:\Projetos\_Web\phenotips\components\obo2solr\src\main\java\org\phenotips\obo2solr\SolrUpdateGenerator.java,class,false,190
TEST,org.phenotips.configuration.internal.global.DefaultRecordElementTest,8,1,4,28,0,8,21,8,D:\Projetos\_Web\phenotips\components\application-configuration\api\src\test\java\org\phenotips\configuration\internal\global\DefaultRecordElementTest.java,class,false,67
TEST,org.phenotips.data.events.PatientChangedEventTest,5,1,9,0,0,5,13,5,D:\Projetos\_Web\phenotips\components\patient-data\api\src\test\java\org\phenotips\data\events\PatientChangedEventTest.java,class,false,43
TEST,org.phenotips.measurements.internal.DefaultMeasurementsChartConfigurationsFactoryTest,10,1,6,0,0,10,29,10,D:\Projetos\_Web\phenotips\components\patient-measurements\api\src\test\java\org\phenotips\measurements\internal\DefaultMeasurementsChartConfigurationsFactoryTest.java,class,false,106
UNDEFINED,org.phenotips.ontology.internal.solr.DefaultSolrOntologyServiceInitializerTest,0,1,4,0,0,0,0,0,D:\Projetos\_Web\phenotips\components\ontology-access\api\src\test\java\org\phenotips\ontology\internal\solr\DefaultSolrOntologyServiceInitializerTest.java,class,false,1
SERVICE,org.phenotips.ontology.internal.solr.AbstractSolrOntologyService,16,1,13,100,3,16,41,46,D:\Projetos\_Web\phenotips\components\ontology-access\api\src\main\java\org\phenotips\ontology\internal\solr\AbstractSolrOntologyService.java,class,false,143
VIEW,org.phenotips.groups.internal.listeners.GroupCleanupEventListener,3,1,11,3,0,3,11,6,D:\Projetos\_Web\phenotips\components\users\api\src\main\java\org\phenotips\groups\internal\listeners\GroupCleanupEventListener.java,class,false,24
TEST,org.phenotips.measurements.internal.EarLengthTest,5,1,5,0,0,5,9,5,D:\Projetos\_Web\phenotips\components\patient-measurements\api\src\test\java\org\phenotips\measurements\internal\EarLengthTest.java,class,false,40
VIEW,org.phenotips.data.events.internal.PatientChangedEventSource,3,1,14,3,0,3,8,5,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\main\java\org\phenotips\data\events\internal\PatientChangedEventSource.java,class,false,19
TEST,org.xwiki.users.internal.WikiUserTest,18,1,12,0,0,18,29,19,D:\Projetos\_Web\phenotips\components\xwiki-platform-users\xwiki-platform-users-wiki\src\test\java\org\xwiki\users\internal\WikiUserTest.java,class,false,126
ABSTRACTPHENOTIPSONTOLOGYPROPERTY,org.phenotips.data.internal.PhenoTipsFeature,10,2,15,9,0,10,51,50,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\main\java\org\phenotips\data\internal\PhenoTipsFeature.java,class,false,158
TEST,org.phenotips.measurements.internal.OCDTest,5,1,5,0,0,5,9,5,D:\Projetos\_Web\phenotips\components\patient-measurements\api\src\test\java\org\phenotips\measurements\internal\OCDTest.java,class,false,40
ENTITY,org.phenotips.data.securestorage.PatientSourceServerInfo,3,1,4,1,0,3,0,3,D:\Projetos\_Web\phenotips\components\patient-data-sharing\secure-storage\src\main\java\org\phenotips\data\securestorage\PatientSourceServerInfo.java,class,true,12
[MEASUREMENTHANDLER| INITIALIZABLE],org.phenotips.measurements.internal.AbstractMeasurementHandler,19,1,10,29,14,19,32,58,D:\Projetos\_Web\phenotips\components\patient-measurements\api\src\main\java\org\phenotips\measurements\internal\AbstractMeasurementHandler.java,class,false,166
ABSTRACTMAPOPERATOR,org.phenotips.obo2solr.maps.AddMapOperator,1,2,3,0,0,1,0,2,D:\Projetos\_Web\phenotips\components\obo2solr\src\main\java\org\phenotips\obo2solr\maps\AddMapOperator.java,class,false,8
SERVICE,org.phenotips.solr.AbstractSolrScriptService,20,1,20,186,2,20,54,51,D:\Projetos\_Web\phenotips\components\solr-access-service\api\src\main\java\org\phenotips\solr\AbstractSolrScriptService.java,class,false,167
ABSTRACTFORMELEMENT,org.phenotips.tools.FormField,8,2,5,16,0,8,18,23,D:\Projetos\_Web\phenotips\components\patient-tools\src\main\java\org\phenotips\tools\FormField.java,class,false,58
TEST,org.phenotips.navigation.test.ui.HomePageTest,3,2,7,3,0,3,13,3,D:\Projetos\_Web\phenotips\components\navigation\tests\src\test\it\org\phenotips\navigation\test\ui\HomePageTest.java,class,false,15
SERVICE,org.phenotips.integration.lims247.script.PhenoTipsTokenAuthenticatorScriptService,1,1,11,0,0,1,16,5,D:\Projetos\_Web\phenotips\components\integration\lims247\api\src\main\java\org\phenotips\integration\lims247\script\PhenoTipsTokenAuthenticatorScriptService.java,class,false,25
TEST,org.phenotips.data.permissions.internal.DefaultOwnerTest,11,1,5,0,0,11,19,11,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\DefaultOwnerTest.java,class,false,71
VIEW,org.phenotips.tools.jetty.listener.NotifyListener,3,2,3,0,0,3,10,4,D:\Projetos\_Web\phenotips\resources\jetty\startup-listener\src\main\java\org\phenotips\tools\jetty\listener\NotifyListener.java,class,false,19
