DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
ABSTRACTHIBERNATEDATAMIGRATION,org.phenotips.data.internal.R54591PhenoTips952DataMigration,getVersion,3,1,1,0,0,2847,D:\Projetos\_Web\phenotips\components\patient-data\migrations\src\main\java\org\phenotips\data\internal\R54591PhenoTips952DataMigration.java
ABSTRACTHIBERNATEDATAMIGRATION,org.phenotips.data.internal.R54591PhenoTips952DataMigration,hibernateMigrate,3,1,1,0,0,2961,D:\Projetos\_Web\phenotips\components\patient-data\migrations\src\main\java\org\phenotips\data\internal\R54591PhenoTips952DataMigration.java
ABSTRACTHIBERNATEDATAMIGRATION,org.phenotips.data.internal.R54591PhenoTips952DataMigration,getDescription,3,1,1,0,0,2670,D:\Projetos\_Web\phenotips\components\patient-data\migrations\src\main\java\org\phenotips\data\internal\R54591PhenoTips952DataMigration.java
ABSTRACTHIBERNATEDATAMIGRATION,org.phenotips.data.internal.R54591PhenoTips952DataMigration,doInHibernate,32,6,14,1,0,3799,D:\Projetos\_Web\phenotips\components\patient-data\migrations\src\main\java\org\phenotips\data\internal\R54591PhenoTips952DataMigration.java
VIEW,org.phenotips.data.indexing.internal.PatientEventListener,onEvent,9,3,4,3,0,2069,D:\Projetos\_Web\phenotips\components\patient-data\indexing\src\main\java\org\phenotips\data\indexing\internal\PatientEventListener.java
UNDEFINED,org.phenotips.obo2solr.Main,failWithMessage,4,1,3,1,0,3598,D:\Projetos\_Web\phenotips\components\obo2solr\src\main\java\org\phenotips\obo2solr\Main.java
UNDEFINED,org.phenotips.obo2solr.Main,main,20,5,11,1,0,1568,D:\Projetos\_Web\phenotips\components\obo2solr\src\main\java\org\phenotips\obo2solr\Main.java
UNDEFINED,org.phenotips.obo2solr.Main,showUsage,4,1,3,1,0,3386,D:\Projetos\_Web\phenotips\components\obo2solr\src\main\java\org\phenotips\obo2solr\Main.java
UNDEFINED,org.phenotips.obo2solr.Main,generateOptions,8,1,1,0,0,2718,D:\Projetos\_Web\phenotips\components\obo2solr\src\main\java\org\phenotips\obo2solr\Main.java
TREEMAP,org.phenotips.hpoa.utils.maps.ListMap,getEmptyCollection,3,1,2,0,0,1188,D:\Projetos\_Web\phenotips\components\phenotype-mapping-service\src\main\java\org\phenotips\hpoa\utils\maps\ListMap.java
TEST,org.phenotips.data.permissions.internal.access.OwnerAccessLevelTest,getDescriptionWithoutTranslation,3,1,2,0,0,5395,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\access\OwnerAccessLevelTest.java
TEST,org.phenotips.data.permissions.internal.access.OwnerAccessLevelTest,answer,5,1,2,1,0,3363,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\access\OwnerAccessLevelTest.java
TEST,org.phenotips.data.permissions.internal.access.OwnerAccessLevelTest,answer,5,1,2,1,0,4869,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\access\OwnerAccessLevelTest.java
TEST,org.phenotips.data.permissions.internal.access.OwnerAccessLevelTest,isAssignable,3,1,2,0,0,2360,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\access\OwnerAccessLevelTest.java
TEST,org.phenotips.data.permissions.internal.access.OwnerAccessLevelTest,getLabelWithoutTranslation,3,1,2,0,0,3799,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\access\OwnerAccessLevelTest.java
TEST,org.phenotips.data.permissions.internal.access.OwnerAccessLevelTest,toStringTest,3,1,2,0,0,5699,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\access\OwnerAccessLevelTest.java
TEST,org.phenotips.data.permissions.internal.access.OwnerAccessLevelTest,equalsTest,9,1,3,0,0,5936,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\access\OwnerAccessLevelTest.java
TEST,org.phenotips.data.permissions.internal.access.OwnerAccessLevelTest,getName,3,1,3,0,0,2130,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\access\OwnerAccessLevelTest.java
TEST,org.phenotips.data.permissions.internal.access.OwnerAccessLevelTest,getDescription,19,1,0,0,0,4083,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\access\OwnerAccessLevelTest.java
TEST,org.phenotips.data.permissions.internal.access.OwnerAccessLevelTest,compareToTest,8,1,3,0,0,6844,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\access\OwnerAccessLevelTest.java
TEST,org.phenotips.data.permissions.internal.access.OwnerAccessLevelTest,getLabel,19,1,0,0,0,2595,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\access\OwnerAccessLevelTest.java
