DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ABSTRACTHIBERNATEDATAMIGRATION,org.phenotips.data.internal.R54591PhenoTips952DataMigration,4,2,19,4,0,4,20,11,D:\Projetos\_Web\phenotips\components\patient-data\migrations\src\main\java\org\phenotips\data\internal\R54591PhenoTips952DataMigration.java,class,false
XWIKIRESOURCE,org.phenotips.panels.rest.internal.DefaultGenePanelsResourceImpl,6,2,16,13,0,6,27,21,D:\Projetos\_Web\phenotips\components\gene-panels\rest\src\main\java\org\phenotips\panels\rest\internal\DefaultGenePanelsResourceImpl.java,class,false
TEST,org.phenotips.vocabulary.internal.solr.ItalianHPOTranslationTest,9,1,24,0,0,9,41,11,D:\Projetos\_Web\phenotips\components\vocabularies\hpo\translation-italian\src\test\java\org\phenotips\vocabulary\internal\solr\ItalianHPOTranslationTest.java,class,false
SERVICE,org.phenotips.vocabulary.script.VocabularyScriptService,5,1,9,0,0,5,4,5,D:\Projetos\_Web\phenotips\components\vocabularies\api\src\main\java\org\phenotips\vocabulary\script\VocabularyScriptService.java,class,false
TEST,org.phenotips.vocabularies.rest.internal.DefaultVocabularyTermsResourceTest,5,1,21,0,0,5,48,5,D:\Projetos\_Web\phenotips\components\vocabularies\rest\src\test\java\org\phenotips\vocabularies\rest\internal\DefaultVocabularyTermsResourceTest.java,class,false
ABSTRACTCSVANNOTATIONSEXTENSION,org.phenotips.vocabulary.internal.hpoannotations.GeneForPhenotypesAnnotationsExtension,4,2,6,6,0,4,5,4,D:\Projetos\_Web\phenotips\components\vocabularies\hpo\annotations\src\main\java\org\phenotips\vocabulary\internal\hpoannotations\GeneForPhenotypesAnnotationsExtension.java,class,false
SERVICE,org.phenotips.ncbieutils.OmimAccessService,1,2,5,0,0,1,0,1,D:\Projetos\_Web\phenotips\components\utilities\ncbieutils-services\api\src\main\java\org\phenotips\ncbieutils\OmimAccessService.java,class,false
ABSTRACTXLIFFTRANSLATEDVOCABULARYEXTENSION,org.phenotips.vocabulary.translation.internal.SpanishHPOTranslation,3,3,5,3,0,3,2,3,D:\Projetos\_Web\phenotips\components\vocabularies\hpo\translation-spanish\src\main\java\org\phenotips\vocabulary\translation\internal\SpanishHPOTranslation.java,class,false
TEST,org.phenotips.export.internal.DataCellTest,4,1,3,6,0,4,16,5,D:\Projetos\_Web\phenotips\components\export\api\src\test\java\org\phenotips\export\internal\DataCellTest.java,class,false
SERVICE,org.phenotips.recordLocking.script.RecordLockingService,5,1,8,0,0,5,7,15,D:\Projetos\_Web\phenotips\components\record-locking\api\src\main\java\org\phenotips\recordLocking\script\RecordLockingService.java,class,false
TEST,org.phenotips.data.indexing.internal.R1011092PhenoTips4004DataMigrationTest,5,1,10,0,0,5,12,5,D:\Projetos\_Web\phenotips\components\patient-data\indexing\src\test\java\org\phenotips\data\indexing\internal\R1011092PhenoTips4004DataMigrationTest.java,class,false
VIEW,org.phenotips.data.events.internal.PatientChangedEventSource,3,1,14,3,0,3,8,5,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\main\java\org\phenotips\data\events\internal\PatientChangedEventSource.java,class,false
SERVICE,com.xpn.xwiki.user.impl.xwiki.XWikiAuthServiceImpl,11,2,23,25,0,11,99,151,D:\Projetos\_Web\phenotips\components\base-war\src\main\java\com\xpn\xwiki\user\impl\xwiki\XWikiAuthServiceImpl.java,class,false
TEST,org.xwiki.users.internal.WikiUserTest,18,1,13,0,0,18,29,19,D:\Projetos\_Web\phenotips\components\xwiki-platform-users\xwiki-platform-users-wiki\src\test\java\org\xwiki\users\internal\WikiUserTest.java,class,false
ABSTRACTPHENOTIPSVOCABULARYPROPERTY,org.phenotips.data.internal.PhenoTipsFeature,12,2,16,14,0,12,51,56,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\main\java\org\phenotips\data\internal\PhenoTipsFeature.java,class,false
TEST,org.phenotips.measurements.internal.OCDTest,5,1,5,0,0,5,9,5,D:\Projetos\_Web\phenotips\components\patient-measurements\api\src\test\java\org\phenotips\measurements\internal\OCDTest.java,class,false
ENTITY,org.phenotips.data.securestorage.PatientSourceServerInfo,3,1,4,1,0,3,0,3,D:\Projetos\_Web\phenotips\components\patient-data-sharing\secure-storage\src\main\java\org\phenotips\data\securestorage\PatientSourceServerInfo.java,class,true
[MEASUREMENTHANDLER| INITIALIZABLE],org.phenotips.measurements.internal.AbstractMeasurementHandler,19,1,10,29,14,19,32,58,D:\Projetos\_Web\phenotips\components\patient-measurements\api\src\main\java\org\phenotips\measurements\internal\AbstractMeasurementHandler.java,class,false
TEST,org.phenotips.data.FeatureMetadatumTest,1,1,1,0,0,1,4,1,D:\Projetos\_Web\phenotips\components\patient-data\api\src\test\java\org\phenotips\data\FeatureMetadatumTest.java,class,false
XWIKIRESOURCE,org.phenotips.vocabularies.rest.internal.DefaultVocabularyTermsResource,3,2,19,1,0,3,22,7,D:\Projetos\_Web\phenotips\components\vocabularies\rest\src\main\java\org\phenotips\vocabularies\rest\internal\DefaultVocabularyTermsResource.java,class,false
ABSTRACTFORMELEMENT,org.phenotips.tools.FormField,8,2,6,16,0,8,19,25,D:\Projetos\_Web\phenotips\components\patient-tools\src\main\java\org\phenotips\tools\FormField.java,class,false
TEST,org.phenotips.data.permissions.internal.CollaboratorAccessAuthorizationModuleTest,11,1,16,0,0,11,14,11,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\CollaboratorAccessAuthorizationModuleTest.java,class,false
RIGHT,org.xwiki.security.authorization.ManageRight,9,2,5,36,0,9,1,9,D:\Projetos\_Web\phenotips\components\entity-access-rules\api\src\main\java\org\xwiki\security\authorization\ManageRight.java,class,false
TEST,org.phenotips.studies.family.internal.PatientFamilyLockModuleTest,9,1,19,0,0,9,30,9,D:\Projetos\_Web\phenotips\components\family-studies\api\src\test\java\org\phenotips\studies\family\internal\PatientFamilyLockModuleTest.java,class,false
TEST,org.phenotips.security.audit.internal.HibernateAuditStoreTest,27,1,21,0,0,27,55,29,D:\Projetos\_Web\phenotips\components\security\audit\backend\src\test\java\org\phenotips\security\audit\internal\HibernateAuditStoreTest.java,class,false
TEST,org.phenotips.navigation.test.ui.HomePageTest,3,2,7,3,0,3,13,3,D:\Projetos\_Web\phenotips\components\navigation\tests\src\test\it\org\phenotips\navigation\test\ui\HomePageTest.java,class,false
TEST,org.phenotips.data.permissions.internal.visibility.OpenVisibilityTest,12,1,9,0,0,12,26,12,D:\Projetos\_Web\phenotips\components\entity-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\visibility\OpenVisibilityTest.java,class,false
TEST,org.phenotips.panels.internal.DefaultMatchCountImplTest,28,1,6,0,0,28,24,28,D:\Projetos\_Web\phenotips\components\gene-panels\api\src\test\java\org\phenotips\panels\internal\DefaultMatchCountImplTest.java,class,false
ENTITY,org.phenotips.data.securestorage.PatientPushedToInfo,12,1,4,44,0,12,4,12,D:\Projetos\_Web\phenotips\components\patient-data-sharing\secure-storage\src\main\java\org\phenotips\data\securestorage\PatientPushedToInfo.java,class,true
VIEW,org.phenotips.groups.internal.listeners.GroupSetupEventListener,5,1,18,10,0,5,21,10,D:\Projetos\_Web\phenotips\components\users\api\src\main\java\org\phenotips\groups\internal\listeners\GroupSetupEventListener.java,class,false
TEST,org.phenotips.data.events.internal.PatientChangingEventSourceTest,5,1,16,0,0,5,30,5,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\test\java\org\phenotips\data\events\internal\PatientChangingEventSourceTest.java,class,false
[SOLRVOCABULARYRESOURCEMANAGER],org.phenotips.vocabulary.internal.solr.DefaultSolrVocabularyResourceManager,8,1,18,0,0,8,37,38,D:\Projetos\_Web\phenotips\components\vocabularies\api\src\main\java\org\phenotips\vocabulary\internal\solr\DefaultSolrVocabularyResourceManager.java,class,false
PERSISTENCE,com.xpn.xwiki.store.XWikiHibernateStore,107,2,80,5841,0,107,350,741,D:\Projetos\_Web\phenotips\components\base-war\src\main\java\com\xpn\xwiki\store\XWikiHibernateStore.java,class,false
TEST,org.phenotips.studies.family.script.FamilyScriptServiceTest,7,1,9,0,0,7,17,7,D:\Projetos\_Web\phenotips\components\family-studies\api\src\test\java\org\phenotips\studies\family\script\FamilyScriptServiceTest.java,class,false
SERVICE,org.phenotips.diagnosis.differentialPhenotypes.PhenotypeSuggestService,3,1,17,1,0,3,37,17,D:\Projetos\_Web\phenotips\components\phenotype-suggest-service\api\src\main\java\org\phenotips\diagnosis\differentialPhenotypes\PhenotypeSuggestService.java,class,false
TEST,org.phenotips.data.internal.controller.AbstractSimpleControllerTest,28,1,17,0,0,28,49,28,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\test\java\org\phenotips\data\internal\controller\AbstractSimpleControllerTest.java,class,false
ABSTRACTCSVANNOTATIONSEXTENSION,org.phenotips.vocabulary.internal.hpoannotations.NegativePhenotypeForDiseaseAnnotationsExtension,4,3,4,6,0,4,1,4,D:\Projetos\_Web\phenotips\components\vocabularies\hpo\annotations\src\main\java\org\phenotips\vocabulary\internal\hpoannotations\NegativePhenotypeForDiseaseAnnotationsExtension.java,class,false
ABSTRACTPHENOTIPSVOCABULARYPROPERTY,org.phenotips.data.internal.PhenoTipsDisorder,3,2,4,1,0,3,9,6,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\main\java\org\phenotips\data\internal\PhenoTipsDisorder.java,class,false
TEST,org.phenotips.consents.internal.DefaultConsentAuthorizerTest,17,1,11,0,0,17,31,17,D:\Projetos\_Web\phenotips\components\consents\api\src\test\java\org\phenotips\consents\internal\DefaultConsentAuthorizerTest.java,class,false
ENTITY,org.phenotips.data.permissions.internal.SecureEntityPermissionsManager,11,1,12,0,0,11,11,11,D:\Projetos\_Web\phenotips\components\entity-access-rules\api\src\main\java\org\phenotips\data\permissions\internal\SecureEntityPermissionsManager.java,class,false
ENTITY,org.phenotips.entities.spi.Job,3,2,5,3,0,3,0,3,D:\Projetos\_Web\phenotips\components\entities\api\src\test\java\org\phenotips\entities\spi\Job.java,class,false
[DATAREADER],org.phenotips.storage.migrators.internal.HibernateDeletedAttachmentsReader,14,1,21,7,0,14,29,24,D:\Projetos\_Web\phenotips\components\storage-migrators\attachments\db\src\main\java\org\phenotips\storage\migrators\internal\HibernateDeletedAttachmentsReader.java,class,false
ABSTRACTHIBERNATEDATAMIGRATION,org.phenotips.studies.family.migrations.R71496PhenoTips2339DataMigration,6,2,27,13,0,6,34,28,D:\Projetos\_Web\phenotips\components\family-studies\migrations\src\main\java\org\phenotips\studies\family\migrations\R71496PhenoTips2339DataMigration.java,class,false
[PUSHSERVERINFO],org.phenotips.data.push.internal.DefaultPushServerInfo,6,1,1,7,0,6,3,6,D:\Projetos\_Web\phenotips\components\patient-data-sharing\push-api\src\main\java\org\phenotips\data\push\internal\DefaultPushServerInfo.java,class,false
VIEW,org.phenotips.data.permissions.internal.OwnerUpdateEventListener,2,2,11,1,0,2,10,7,D:\Projetos\_Web\phenotips\components\entity-access-rules\api\src\main\java\org\phenotips\data\permissions\internal\OwnerUpdateEventListener.java,class,false
[ITERATOR],org.phenotips.data.internal.SecurePatientIterator,6,1,6,7,0,6,7,13,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\main\java\org\phenotips\data\internal\SecurePatientIterator.java,class,false
[PUSHPATIENTDATA],org.phenotips.data.push.internal.DefaultPushPatientData,9,1,28,10,0,9,54,60,D:\Projetos\_Web\phenotips\components\patient-data-sharing\push-api\src\main\java\org\phenotips\data\push\internal\DefaultPushPatientData.java,class,false
TEST,org.phenotips.data.internal.controller.MetaDataControllerTest,12,1,16,0,0,12,35,12,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\test\java\org\phenotips\data\internal\controller\MetaDataControllerTest.java,class,false
TEST,org.phenotips.entities.spi.SecureIncomingPrimaryEntityConnectionsManagerTest,41,1,25,0,0,41,64,41,D:\Projetos\_Web\phenotips\components\entities\api\src\test\java\org\phenotips\entities\spi\SecureIncomingPrimaryEntityConnectionsManagerTest.java,class,false
VIEW,org.phenotips.internal.ProxyAuthenticator,2,2,5,3,0,2,4,5,D:\Projetos\_Web\phenotips\components\utilities\proxy-authentication\src\main\java\org\phenotips\internal\ProxyAuthenticator.java,class,false
[PERMISSIONSMANAGER],org.phenotips.data.permissions.internal.SecurePermissionsManager,10,1,12,0,0,10,10,10,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\main\java\org\phenotips\data\permissions\internal\SecurePermissionsManager.java,class,false
ABSTRACTMEASUREMENTHANDLER,org.phenotips.measurements.internal.BMIMeasurementHandler,4,2,4,6,0,4,1,6,D:\Projetos\_Web\phenotips\components\patient-measurements\api\src\main\java\org\phenotips\measurements\internal\BMIMeasurementHandler.java,class,false
ABSTRACTVISIBILITY,org.phenotips.data.permissions.internal.visibility.PrivateVisibility,3,2,6,3,0,3,0,3,D:\Projetos\_Web\phenotips\components\entity-access-rules\api\src\main\java\org\phenotips\data\permissions\internal\visibility\PrivateVisibility.java,class,false
TEST,org.phenotips.data.internal.controller.LabeledExternalIdentifiersControllerTest,37,1,21,0,0,37,59,40,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\test\java\org\phenotips\data\internal\controller\LabeledExternalIdentifiersControllerTest.java,class,false
UNDEFINED,org.phenotips.data.internal.SolvedData,15,1,5,9,0,15,27,55,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\main\java\org\phenotips\data\internal\SolvedData.java,class,false
CONTROL,org.phenotips.xliff12.XLIFFResourceBundleControl,7,1,13,11,0,7,31,43,D:\Projetos\_Web\phenotips\components\utilities\xliff12\src\main\java\org\phenotips\xliff12\XLIFFResourceBundleControl.java,class,false
TEST,org.phenotips.data.internal.controller.VersionsControllerTest,12,1,24,0,0,12,43,12,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\test\java\org\phenotips\data\internal\controller\VersionsControllerTest.java,class,false
TEST,org.phenotips.tools.FormConditionalSubsectionTest,3,1,5,0,0,3,4,3,D:\Projetos\_Web\phenotips\components\patient-tools\src\test\java\org\phenotips\tools\FormConditionalSubsectionTest.java,class,false
CONTROLLER,org.phenotips.data.internal.controller.AbstractComplexController,25,1,27,298,8,25,86,101,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\main\java\org\phenotips\data\internal\controller\AbstractComplexController.java,class,false
[SYSTEMPASSWORDCONFIGURATION.CONFIGURATIONMODULE],org.phenotips.security.encryption.internal.XWikiPropertiesSystemPasswordConfigurationModule,1,1,6,0,0,1,1,1,D:\Projetos\_Web\phenotips\components\security\crypto-api\src\main\java\org\phenotips\security\encryption\internal\XWikiPropertiesSystemPasswordConfigurationModule.java,class,false
[PROVIDER],org.phenotips.vocabulary.internal.ContextVocabularyMapProvider,1,1,9,0,0,1,3,2,D:\Projetos\_Web\phenotips\components\vocabularies\api\src\main\java\org\phenotips\vocabulary\internal\ContextVocabularyMapProvider.java,class,false
SERVICE,org.phenotips.ncbieutils.PubmedAccessService,1,2,5,0,0,1,0,1,D:\Projetos\_Web\phenotips\components\utilities\ncbieutils-services\api\src\main\java\org\phenotips\ncbieutils\PubmedAccessService.java,class,false
TEST,org.phenotips.panels.rest.internal.DefaultGenePanelsPatientResourceImplTest,8,1,18,0,0,8,29,8,D:\Projetos\_Web\phenotips\components\gene-panels\rest\src\test\java\org\phenotips\panels\rest\internal\DefaultGenePanelsPatientResourceImplTest.java,class,false
TEST,org.xwiki.locks.internal.BasicEditLockModuleTest,1,1,8,0,0,1,3,1,D:\Projetos\_Web\phenotips\components\xwiki-locks\src\test\java\org\xwiki\locks\internal\BasicEditLockModuleTest.java,class,false
ABSTRACTFORMELEMENT,org.phenotips.tools.FormSection,9,3,4,8,0,9,19,21,D:\Projetos\_Web\phenotips\components\patient-tools\src\main\java\org\phenotips\tools\FormSection.java,class,false
ABSTRACTMAPOPERATOR,org.phenotips.obo2solr.maps.SubtractMapOperator,1,2,3,0,0,1,0,2,D:\Projetos\_Web\phenotips\components\obo2solr\src\main\java\org\phenotips\obo2solr\maps\SubtractMapOperator.java,class,false
[PATIENTCONTACTSMANAGER],org.phenotips.data.internal.DefaultPatientContactsManager,2,1,9,1,0,2,6,7,D:\Projetos\_Web\phenotips\components\patient-contacts\src\main\java\org\phenotips\data\internal\DefaultPatientContactsManager.java,class,false
[UTILS],org.phenotips.diagnosis.internal.BoqaUtils,3,1,7,2,0,3,15,12,D:\Projetos\_Web\phenotips\components\diagnosis-suggestion\api\src\main\java\org\phenotips\diagnosis\internal\BoqaUtils.java,class,false
[RECEIVEPATIENTDATA],org.phenotips.data.receive.internal.DefaultReceivePatientData,43,1,48,657,0,43,116,166,D:\Projetos\_Web\phenotips\components\patient-data-sharing\receiver-api\src\main\java\org\phenotips\data\receive\internal\DefaultReceivePatientData.java,class,false
TEST,org.phenotips.data.permissions.internal.AdminTemplateAccessAuthorizationModuleTest,8,1,12,0,0,8,15,8,D:\Projetos\_Web\phenotips\components\entity-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\AdminTemplateAccessAuthorizationModuleTest.java,class,false
UNDEFINED,org.phenotips.data.permissions.rest.internal.NameAndEmailExtractor,3,1,15,3,0,3,16,10,D:\Projetos\_Web\phenotips\components\entity-access-rules\rest\src\main\java\org\phenotips\data\permissions\rest\internal\NameAndEmailExtractor.java,class,false
TEST,org.phenotips.data.internal.PatientDeathdateUpdaterTest,5,1,11,0,0,5,21,5,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\test\java\org\phenotips\data\internal\PatientDeathdateUpdaterTest.java,class,false
ABSTRACTMEASUREMENTHANDLER,org.phenotips.measurements.internal.HeadCircumferenceMeasurementHandler,1,2,4,0,0,1,0,1,D:\Projetos\_Web\phenotips\components\patient-measurements\api\src\main\java\org\phenotips\measurements\internal\HeadCircumferenceMeasurementHandler.java,class,false
EXCEPTION,org.phenotips.studies.family.exceptions.PTNotEnoughPermissionsException,3,3,2,0,2,3,0,3,D:\Projetos\_Web\phenotips\components\family-studies\api\src\main\java\org\phenotips\studies\family\exceptions\PTNotEnoughPermissionsException.java,class,false
TEST,org.phenotips.vocabulary.VocabularySourceRelocationServiceTest,2,1,16,0,0,2,15,2,D:\Projetos\_Web\phenotips\components\vocabularies\api\src\test\java\org\phenotips\vocabulary\VocabularySourceRelocationServiceTest.java,class,false
[PERMISSIONSCONFIGURATION],org.phenotips.data.permissions.internal.DefaultPermissionsConfiguration,2,1,9,0,0,2,4,2,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\main\java\org\phenotips\data\permissions\internal\DefaultPermissionsConfiguration.java,class,false
TEST,org.phenotips.data.internal.controller.AdditionalImagesControllerTest,38,1,32,0,0,38,100,38,D:\Projetos\_Web\phenotips\components\patient-data\impl\src\test\java\org\phenotips\data\internal\controller\AdditionalImagesControllerTest.java,class,false
TEST,org.phenotips.data.internal.MonarchPatientScorerTest,12,1,20,0,0,12,55,12,D:\Projetos\_Web\phenotips\components\specificity-meter\api\src\test\java\org\phenotips\data\internal\MonarchPatientScorerTest.java,class,false
UNDEFINED,org.phenotips.export.internal.ConversionHelpers,14,1,10,79,0,14,50,62,D:\Projetos\_Web\phenotips\components\export\api\src\main\java\org\phenotips\export\internal\ConversionHelpers.java,class,false
TEST,org.phenotips.data.permissions.internal.OwnerContactProviderTest,10,1,22,0,0,10,39,10,D:\Projetos\_Web\phenotips\components\patient-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\OwnerContactProviderTest.java,class,false
[FILTER],com.xpn.xwiki.web.XWikiContextInitializationFilter,6,1,21,9,0,6,35,18,D:\Projetos\_Web\phenotips\components\base-war\src\main\java\com\xpn\xwiki\web\XWikiContextInitializationFilter.java,class,false
[FORMELEMENT],org.phenotips.tools.AbstractFormElement,2,1,1,0,2,2,0,2,D:\Projetos\_Web\phenotips\components\patient-tools\src\main\java\org\phenotips\tools\AbstractFormElement.java,class,false
TEST,org.phenotips.data.permissions.internal.SecureEntityPermissionsManagerTest,9,1,10,0,0,9,26,9,D:\Projetos\_Web\phenotips\components\entity-access-rules\api\src\test\java\org\phenotips\data\permissions\internal\SecureEntityPermissionsManagerTest.java,class,false
