DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
[CLOSINGSAVINGLOGIC],br.com.webbudget.domain.logics.financial.closing.ChangePeriodMovementStatusLogic,1,1,8,0,0,1,9,1,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\financial\closing\ChangePeriodMovementStatusLogic.java,class,false
UNDEFINED,br.com.webbudget.application.components.ui.chart.ChartUtils,2,1,0,1,0,2,7,7,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\ui\chart\ChartUtils.java,class,false
[INITIALIZATIONTASK],br.com.webbudget.infrastructure.initializer.TransactionalInitializationTask,2,1,3,1,0,2,4,4,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\initializer\TransactionalInitializationTask.java,class,false
UNDEFINED,br.com.webbudget.domain.calculators.PeriodResumeCalculator,12,1,7,0,0,12,21,26,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\calculators\PeriodResumeCalculator.java,class,false
ENTITY,br.com.webbudget.domain.entities.financial.PeriodMovement,16,3,22,16,0,16,19,24,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\PeriodMovement.java,class,true
UNDEFINED,br.com.webbudget.domain.services.FinancialPeriodService,2,1,12,0,0,2,9,4,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\FinancialPeriodService.java,class,false
ENTITY,br.com.webbudget.domain.entities.configuration.Configuration,0,2,12,0,0,0,0,0,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\configuration\Configuration.java,class,true
[WALLETSAVINGLOGIC| WALLETUPDATINGLOGIC],br.com.webbudget.domain.logics.registration.wallet.WalletDuplicatesValidator,4,1,8,6,0,4,12,8,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\registration\wallet\WalletDuplicatesValidator.java,class,false
ACTION,br.com.webbudget.infrastructure.initializer.tasks.CreateAdminUserTask,2,2,7,1,0,2,11,2,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\initializer\tasks\CreateAdminUserTask.java,class,false
ENTITY,br.com.webbudget.application.controller.registration.MovementClassBean,7,4,20,1,0,7,16,7,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\controller\registration\MovementClassBean.java,class,false
ENTITY,br.com.webbudget.domain.entities.financial.Transference,5,2,14,10,0,5,5,7,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\financial\Transference.java,class,true
UNDEFINED,br.com.webbudget.infrastructure.utils.Configurations,4,1,3,6,0,4,16,6,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\infrastructure\utils\Configurations.java,class,false
UNDEFINED,br.com.webbudget.domain.services.WalletService,5,1,16,0,0,5,18,5,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\services\WalletService.java,class,false
[REOPENPERIODLOGIC],br.com.webbudget.domain.logics.financial.closing.DeleteClosingLogic,1,1,5,0,0,1,2,1,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\logics\financial\closing\DeleteClosingLogic.java,class,false
ENTITY,br.com.webbudget.domain.entities.configuration.User,8,2,20,22,0,8,5,10,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\domain\entities\configuration\User.java,class,true
BASICFILTER,br.com.webbudget.application.components.ui.filter.PeriodMovementFilter,7,2,10,9,0,7,11,9,D:\Projetos\_Web\web-budget\src\main\java\br\com\webbudget\application\components\ui\filter\PeriodMovementFilter.java,class,false
