DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.api.dao.DebugUtils,2,1,1,1,0,2,9,11,D:\Projetos\_Web\webanno\webanno-api-dao\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\dao\DebugUtils.java,class,false,61
JDBCUSERDETAILSMANAGER,de.tudarmstadt.ukp.clarin.webanno.security.OverridableUserDetailsManager,1,2,3,0,0,1,9,5,D:\Projetos\_Web\webanno\webanno-security\src\main\java\de\tudarmstadt\ukp\clarin\webanno\security\OverridableUserDetailsManager.java,class,false,60
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,15,1,25,87,0,15,24,47,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java,class,false,278
TEST,de.tudarmstadt.ukp.clarin.webanno.curation.casmerge.CasMergeSuiteTest,5,2,13,0,0,5,30,7,D:\Projetos\_Web\webanno\webanno-curation\src\test\java\de\tudarmstadt\ukp\clarin\webanno\curation\casmerge\CasMergeSuiteTest.java,class,false,131
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.support.standalone.StandaloneShutdownDialog,3,1,9,0,0,3,25,15,D:\Projetos\_Web\webanno\webanno-support-standalone\src\main\java\de\tudarmstadt\ukp\clarin\webanno\support\standalone\StandaloneShutdownDialog.java,class,false,145
ENTITY,de.tudarmstadt.ukp.clarin.webanno.brat.render.model.Entity,19,1,4,121,0,19,2,19,D:\Projetos\_Web\webanno\webanno-brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\render\model\Entity.java,class,false,155
RENDERER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.api.annotation.rendering.NopRenderer,2,2,6,1,0,2,0,2,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\rendering\NopRenderer.java,class,false,43
TEST,de.tudarmstadt.ukp.clarin.webanno.api.annotation.adapter.ChainAdapterTest,4,1,14,0,0,4,26,6,D:\Projetos\_Web\webanno\webanno-api-annotation\src\test\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\adapter\ChainAdapterTest.java,class,false,179
AJAXRESPONSE,de.tudarmstadt.ukp.clarin.webanno.brat.message.GetDocumentResponse,45,2,9,924,0,45,10,47,D:\Projetos\_Web\webanno\webanno-brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\message\GetDocumentResponse.java,class,false,362
[COMMENT],de.tudarmstadt.ukp.clarin.webanno.brat.render.model.SentenceComment,7,1,3,7,0,7,0,7,D:\Projetos\_Web\webanno\webanno-brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\render\model\SentenceComment.java,class,false,75
