DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
AGGREEMENTMEASURE_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.agreement.measures.cohenkappa.CohenKappaAgreementMeasure,2,3,11,0,0,2,15,4,D:\Projetos\_Web\webanno\webanno-agreement\src\main\java\de\tudarmstadt\ukp\clarin\webanno\agreement\measures\cohenkappa\CohenKappaAgreementMeasure.java,class,false
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.api.dao.DebugUtils,2,1,1,1,0,2,9,11,D:\Projetos\_Web\webanno\webanno-api-dao\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\dao\DebugUtils.java,class,false
JDBCUSERDETAILSMANAGER,de.tudarmstadt.ukp.clarin.webanno.security.OverridableUserDetailsManager,1,2,3,0,0,1,9,5,D:\Projetos\_Web\webanno\webanno-security\src\main\java\de\tudarmstadt\ukp\clarin\webanno\security\OverridableUserDetailsManager.java,class,false
ENTITY,de.tudarmstadt.ukp.clarin.webanno.api.annotation.feature.PrimitiveUimaFeatureSupport,19,1,28,141,0,19,43,63,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\feature\PrimitiveUimaFeatureSupport.java,class,false
TEST,de.tudarmstadt.ukp.clarin.webanno.curation.casmerge.CasMergeSuiteTest,5,2,13,0,0,5,31,7,D:\Projetos\_Web\webanno\webanno-curation\src\test\java\de\tudarmstadt\ukp\clarin\webanno\curation\casmerge\CasMergeSuiteTest.java,class,false
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.support.standalone.StandaloneShutdownDialog,3,1,9,0,0,3,25,15,D:\Projetos\_Web\webanno\webanno-support-standalone\src\main\java\de\tudarmstadt\ukp\clarin\webanno\support\standalone\StandaloneShutdownDialog.java,class,false
ENTITY,de.tudarmstadt.ukp.clarin.webanno.brat.render.model.Entity,19,1,4,121,0,19,2,19,D:\Projetos\_Web\webanno\webanno-brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\render\model\Entity.java,class,false
RENDERER_IMPLBASE,de.tudarmstadt.ukp.clarin.webanno.api.annotation.rendering.NopRenderer,2,2,6,1,0,2,0,2,D:\Projetos\_Web\webanno\webanno-api-annotation\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\rendering\NopRenderer.java,class,false
TEST,de.tudarmstadt.ukp.clarin.webanno.api.annotation.adapter.ChainAdapterTest,4,1,14,0,0,4,26,6,D:\Projetos\_Web\webanno\webanno-api-annotation\src\test\java\de\tudarmstadt\ukp\clarin\webanno\api\annotation\adapter\ChainAdapterTest.java,class,false
AJAXRESPONSE,de.tudarmstadt.ukp.clarin.webanno.brat.message.GetDocumentResponse,45,2,9,924,0,45,10,47,D:\Projetos\_Web\webanno\webanno-brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\message\GetDocumentResponse.java,class,false
[COMMENT],de.tudarmstadt.ukp.clarin.webanno.brat.render.model.SentenceComment,7,1,3,7,0,7,0,7,D:\Projetos\_Web\webanno\webanno-brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\render\model\SentenceComment.java,class,false
[PROJECTSETTINGSPANELFACTORY],de.tudarmstadt.ukp.clarin.webanno.ui.project.guidelines.GuidelinesProjectSettingsPanelFactory,3,1,7,3,0,3,0,3,D:\Projetos\_Web\webanno\webanno-ui-project\src\main\java\de\tudarmstadt\ukp\clarin\webanno\ui\project\guidelines\GuidelinesProjectSettingsPanelFactory.java,class,false
ENTITY,de.tudarmstadt.ukp.clarin.webanno.support.wicket.DecoratedObject,10,1,3,25,0,10,4,23,D:\Projetos\_Web\webanno\webanno-support\src\main\java\de\tudarmstadt\ukp\clarin\webanno\support\wicket\DecoratedObject.java,class,false
UNDEFINED,de.tudarmstadt.ukp.clarin.webanno.constraints.visitor.QuoteUtil,1,1,0,0,0,1,3,1,D:\Projetos\_Web\webanno\webanno-constraints\src\main\java\de\tudarmstadt\ukp\clarin\webanno\constraints\visitor\QuoteUtil.java,class,false
ENTITY,de.tudarmstadt.ukp.clarin.webanno.brat.render.model.NormalizationQueryResult,5,1,2,0,0,5,0,5,D:\Projetos\_Web\webanno\webanno-brat\src\main\java\de\tudarmstadt\ukp\clarin\webanno\brat\render\model\NormalizationQueryResult.java,class,false
[FORMATSUPPORT],de.tudarmstadt.ukp.clarin.webanno.text.TextFormatSupport,6,1,6,15,0,6,2,6,D:\Projetos\_Web\webanno\webanno-io-text\src\main\java\de\tudarmstadt\ukp\clarin\webanno\text\TextFormatSupport.java,class,false
APPLICATIONEVENT,de.tudarmstadt.ukp.clarin.webanno.api.event.AfterDocumentCreatedEvent,3,2,3,0,0,3,0,3,D:\Projetos\_Web\webanno\webanno-api\src\main\java\de\tudarmstadt\ukp\clarin\webanno\api\event\AfterDocumentCreatedEvent.java,class,false
