DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
UNDEFINED,edu.stanford.bmir.protege.web.server.session.WebProtegeSessionAttribute,5,1,3,0,0,5,6,9,D:\Projetos\_Web\webprotege\webprotege-server-core\src\main\java\edu\stanford\bmir\protege\web\server\session\WebProtegeSessionAttribute.java,class,false
TEST,edu.stanford.bmir.protege.web.shared.auth.PerformLoginAction_TestCase,12,1,8,0,0,12,10,12,D:\Projetos\_Web\webprotege\webprotege-shared\src\test\java\edu\stanford\bmir\protege\web\shared\auth\PerformLoginAction_TestCase.java,class,false
TEST,edu.stanford.bmir.protege.web.server.match.LexicalValueNotInDatatypeSpaceMatcher_TestCase,5,1,7,0,0,5,11,5,D:\Projetos\_Web\webprotege\webprotege-server-core\src\test\java\edu\stanford\bmir\protege\web\server\match\LexicalValueNotInDatatypeSpaceMatcher_TestCase.java,class,false
UNDEFINED,edu.stanford.bmir.protege.web.client.entity.CsvImportPresenter,2,1,10,2,0,2,6,4,D:\Projetos\_Web\webprotege\webprotege-client\src\main\java\edu\stanford\bmir\protege\web\client\entity\CsvImportPresenter.java,class,false
UNDEFINED,edu.stanford.bmir.protege.web.server.app.ResourceCachingManager,2,1,3,0,0,2,3,4,D:\Projetos\_Web\webprotege\webprotege-server\src\main\java\edu\stanford\bmir\protege\web\server\app\ResourceCachingManager.java,class,false
TEST,edu.stanford.bmir.protege.web.server.crud.PrefixedNameExpanderTestCase,8,1,4,0,0,8,10,8,D:\Projetos\_Web\webprotege\webprotege-server-core\src\test\java\edu\stanford\bmir\protege\web\server\crud\PrefixedNameExpanderTestCase.java,class,false
ITEM,edu.stanford.bmir.protege.web.shared.place.OWLNamedIndividualItem,4,2,3,4,0,4,2,4,D:\Projetos\_Web\webprotege\webprotege-shared\src\main\java\edu\stanford\bmir\protege\web\shared\place\OWLNamedIndividualItem.java,class,false
ABSTRACTISSUEEVENT,edu.stanford.bmir.protege.web.shared.issues.events.IssueUnlabelled,6,2,5,0,0,6,9,10,D:\Projetos\_Web\webprotege\webprotege-shared\src\main\java\edu\stanford\bmir\protege\web\shared\issues\events\IssueUnlabelled.java,class,false
OBOTERMMETADATA,edu.stanford.bmir.protege.web.shared.obo.OBOTermDefinition,7,2,3,1,0,7,10,11,D:\Projetos\_Web\webprotege\webprotege-shared\src\main\java\edu\stanford\bmir\protege\web\shared\obo\OBOTermDefinition.java,class,false
ACTION,edu.stanford.bmir.protege.web.shared.watches.AddWatchAction,5,1,7,4,0,5,0,5,D:\Projetos\_Web\webprotege\webprotege-shared\src\main\java\edu\stanford\bmir\protege\web\shared\watches\AddWatchAction.java,class,false
[VALUEEDITOR],edu.stanford.bmir.protege.web.client.form.NonRepeatingEditor,10,1,10,0,0,10,13,10,D:\Projetos\_Web\webprotege\webprotege-client\src\main\java\edu\stanford\bmir\protege\web\client\form\NonRepeatingEditor.java,class,false
[EVENTTRANSLATOR],edu.stanford.bmir.protege.web.server.events.EntityDeprecatedChangedEventTranslator,3,1,14,1,0,3,10,10,D:\Projetos\_Web\webprotege\webprotege-server-core\src\main\java\edu\stanford\bmir\protege\web\server\events\EntityDeprecatedChangedEventTranslator.java,class,false
TEST,edu.stanford.bmir.protege.web.shared.itemlist.GetUserIdCompletionsResult_TestCase,8,1,6,0,0,8,10,8,D:\Projetos\_Web\webprotege\webprotege-shared\src\test\java\edu\stanford\bmir\protege\web\shared\itemlist\GetUserIdCompletionsResult_TestCase.java,class,false
TEST,edu.stanford.bmir.protege.web.client.auth.AuthenticatedActionExecutor_TestCase,5,1,27,0,0,5,27,9,D:\Projetos\_Web\webprotege\webprotege-client\src\test\java\edu\stanford\bmir\protege\web\client\auth\AuthenticatedActionExecutor_TestCase.java,class,false
