DesignRole,Classe,Método,LOC,CC,Efferent,NOP,Cohesion,InitialChar,File
ASYNCTASK,org.zanata.async.GenericAsyncTaskKey,equals,6,4,4,1,0,788,D:\Projetos\_Web\zanata-platform\server\services\src\main\java\org\zanata\async\GenericAsyncTaskKey.java
ASYNCTASK,org.zanata.async.GenericAsyncTaskKey,hashCode,3,1,2,0,0,1062,D:\Projetos\_Web\zanata-platform\server\services\src\main\java\org\zanata\async\GenericAsyncTaskKey.java
ASYNCTASK,org.zanata.async.GenericAsyncTaskKey,toString,3,1,2,0,0,621,D:\Projetos\_Web\zanata-platform\server\services\src\main\java\org\zanata\async\GenericAsyncTaskKey.java
ASYNCTASK,org.zanata.async.GenericAsyncTaskKey,id,3,1,1,0,0,551,D:\Projetos\_Web\zanata-platform\server\services\src\main\java\org\zanata\async\GenericAsyncTaskKey.java
ENTITY,org.zanata.security.AuthenticatedAccountSessionScopeHolder,setAuthenticatedAccount,3,1,2,1,0,1551,D:\Projetos\_Web\zanata-platform\server\services\src\main\java\org\zanata\security\AuthenticatedAccountSessionScopeHolder.java
ENTITY,org.zanata.security.AuthenticatedAccountSessionScopeHolder,getAuthenticatedAccount,3,1,1,0,0,1708,D:\Projetos\_Web\zanata-platform\server\services\src\main\java\org\zanata\security\AuthenticatedAccountSessionScopeHolder.java
JSONOBJECT,org.zanata.events.WebhookEventType,getType,0,1,1,0,0,1302,D:\Projetos\_Web\zanata-platform\server\services\src\main\java\org\zanata\events\WebhookEventType.java
VIEW,org.zanata.page.dashboard.DashboardBasePage,getUserFullName,4,1,3,0,0,2602,D:\Projetos\_Web\zanata-platform\server\functional-test\src\main\java\org\zanata\page\dashboard\DashboardBasePage.java
VIEW,org.zanata.page.dashboard.DashboardBasePage,gotoGroupsTab,6,1,2,0,0,3533,D:\Projetos\_Web\zanata-platform\server\functional-test\src\main\java\org\zanata\page\dashboard\DashboardBasePage.java
VIEW,org.zanata.page.dashboard.DashboardBasePage,gotoProjectsTab,6,1,2,0,0,3275,D:\Projetos\_Web\zanata-platform\server\functional-test\src\main\java\org\zanata\page\dashboard\DashboardBasePage.java
VIEW,org.zanata.page.dashboard.DashboardBasePage,activityTabIsSelected,4,1,3,0,0,3056,D:\Projetos\_Web\zanata-platform\server\functional-test\src\main\java\org\zanata\page\dashboard\DashboardBasePage.java
VIEW,org.zanata.page.dashboard.DashboardBasePage,expectUsernameChanged,5,1,2,1,0,4745,D:\Projetos\_Web\zanata-platform\server\functional-test\src\main\java\org\zanata\page\dashboard\DashboardBasePage.java
VIEW,org.zanata.page.dashboard.DashboardBasePage,goToSettingsClientTab,5,1,2,0,0,4511,D:\Projetos\_Web\zanata-platform\server\functional-test\src\main\java\org\zanata\page\dashboard\DashboardBasePage.java
VIEW,org.zanata.page.dashboard.DashboardBasePage,gotoActivityTab,6,1,2,0,0,2798,D:\Projetos\_Web\zanata-platform\server\functional-test\src\main\java\org\zanata\page\dashboard\DashboardBasePage.java
VIEW,org.zanata.page.dashboard.DashboardBasePage,goToSettingsTab,6,1,2,0,0,3781,D:\Projetos\_Web\zanata-platform\server\functional-test\src\main\java\org\zanata\page\dashboard\DashboardBasePage.java
VIEW,org.zanata.page.dashboard.DashboardBasePage,gotoSettingsAccountTab,5,1,2,0,0,4033,D:\Projetos\_Web\zanata-platform\server\functional-test\src\main\java\org\zanata\page\dashboard\DashboardBasePage.java
VIEW,org.zanata.page.dashboard.DashboardBasePage,goToSettingsProfileTab,5,1,2,0,0,4272,D:\Projetos\_Web\zanata-platform\server\functional-test\src\main\java\org\zanata\page\dashboard\DashboardBasePage.java
DIALOG,org.zanata.webtrans.client.ui.NotificationDetailsBox,setMessage,32,5,7,1,0,1752,D:\Projetos\_Web\zanata-platform\server\gwt-editor\src\main\java\org\zanata\webtrans\client\ui\NotificationDetailsBox.java
DIALOG,org.zanata.webtrans.client.ui.NotificationDetailsBox,getSeverityClass,9,3,2,1,0,3496,D:\Projetos\_Web\zanata-platform\server\gwt-editor\src\main\java\org\zanata\webtrans\client\ui\NotificationDetailsBox.java
ENTITY,org.zanata.hibernate.search.LocaleFilterFactory,getLocale,3,1,1,0,0,1344,D:\Projetos\_Web\zanata-platform\server\zanata-model\src\main\java\org\zanata\hibernate\search\LocaleFilterFactory.java
ENTITY,org.zanata.hibernate.search.LocaleFilterFactory,setLocale,3,1,2,1,0,1412,D:\Projetos\_Web\zanata-platform\server\zanata-model\src\main\java\org\zanata\hibernate\search\LocaleFilterFactory.java
ENTITY,org.zanata.hibernate.search.LocaleFilterFactory,getFilter,3,1,3,0,0,1209,D:\Projetos\_Web\zanata-platform\server\zanata-model\src\main\java\org\zanata\hibernate\search\LocaleFilterFactory.java
ENTITY,org.zanata.webtrans.shared.model.PersonSessionDetails,setPerson,3,1,2,1,0,825,D:\Projetos\_Web\zanata-platform\server\gwt-shared\src\main\java\org\zanata\webtrans\shared\model\PersonSessionDetails.java
ENTITY,org.zanata.webtrans.shared.model.PersonSessionDetails,getPerson,3,1,1,0,0,521,D:\Projetos\_Web\zanata-platform\server\gwt-shared\src\main\java\org\zanata\webtrans\shared\model\PersonSessionDetails.java
ENTITY,org.zanata.webtrans.shared.model.PersonSessionDetails,hashCode,6,2,2,0,0,909,D:\Projetos\_Web\zanata-platform\server\gwt-shared\src\main\java\org\zanata\webtrans\shared\model\PersonSessionDetails.java
ENTITY,org.zanata.webtrans.shared.model.PersonSessionDetails,equals,21,7,4,1,0,1121,D:\Projetos\_Web\zanata-platform\server\gwt-shared\src\main\java\org\zanata\webtrans\shared\model\PersonSessionDetails.java
ENTITY,org.zanata.webtrans.shared.model.PersonSessionDetails,setSelectedTransUnitId,3,1,2,1,0,684,D:\Projetos\_Web\zanata-platform\server\gwt-shared\src\main\java\org\zanata\webtrans\shared\model\PersonSessionDetails.java
ENTITY,org.zanata.webtrans.shared.model.PersonSessionDetails,getSelectedTransUnitId,3,1,1,0,0,587,D:\Projetos\_Web\zanata-platform\server\gwt-shared\src\main\java\org\zanata\webtrans\shared\model\PersonSessionDetails.java
[RESOURCEFACTORY],org.zanata.MockResourceFactory,unregistered,2,1,0,0,0,1238,D:\Projetos\_Web\zanata-platform\server\services\src\test\java\org\zanata\MockResourceFactory.java
[RESOURCEFACTORY],org.zanata.MockResourceFactory,registered,3,1,2,1,0,885,D:\Projetos\_Web\zanata-platform\server\services\src\test\java\org\zanata\MockResourceFactory.java
