DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole
ASYNCTASK,org.zanata.async.GenericAsyncTaskKey,6,1,2,0,0,6,8,10,D:\Projetos\_Web\zanata-platform\server\services\src\main\java\org\zanata\async\GenericAsyncTaskKey.java,class,false
ENTITY,org.zanata.security.AuthenticatedAccountSessionScopeHolder,2,1,4,0,0,2,0,2,D:\Projetos\_Web\zanata-platform\server\services\src\main\java\org\zanata\security\AuthenticatedAccountSessionScopeHolder.java,class,false
JSONOBJECT,org.zanata.events.WebhookEventType,1,2,1,0,7,1,0,1,D:\Projetos\_Web\zanata-platform\server\services\src\main\java\org\zanata\events\WebhookEventType.java,class,false
VIEW,org.zanata.page.dashboard.DashboardBasePage,11,4,12,0,4,11,18,11,D:\Projetos\_Web\zanata-platform\server\functional-test\src\main\java\org\zanata\page\dashboard\DashboardBasePage.java,class,false
DIALOG,org.zanata.webtrans.client.ui.NotificationDetailsBox,3,3,14,1,0,3,22,15,D:\Projetos\_Web\zanata-platform\server\gwt-editor\src\main\java\org\zanata\webtrans\client\ui\NotificationDetailsBox.java,class,false
ENTITY,org.zanata.hibernate.search.LocaleFilterFactory,3,1,4,0,0,3,0,3,D:\Projetos\_Web\zanata-platform\server\zanata-model\src\main\java\org\zanata\hibernate\search\LocaleFilterFactory.java,class,false
ENTITY,org.zanata.webtrans.shared.model.PersonSessionDetails,8,1,4,2,0,8,3,21,D:\Projetos\_Web\zanata-platform\server\gwt-shared\src\main\java\org\zanata\webtrans\shared\model\PersonSessionDetails.java,class,false
[RESOURCEFACTORY],org.zanata.MockResourceFactory,6,1,6,7,0,6,5,6,D:\Projetos\_Web\zanata-platform\server\services\src\test\java\org\zanata\MockResourceFactory.java,class,false
TEST,org.zanata.webtrans.server.rpc.GetLocaleListHandlerTest,4,2,17,2,0,4,16,4,D:\Projetos\_Web\zanata-platform\server\services\src\test\java\org\zanata\webtrans\server\rpc\GetLocaleListHandlerTest.java,class,false
VIEW,org.zanata.page.languages.ContactTeamPage,3,4,6,1,0,3,8,3,D:\Projetos\_Web\zanata-platform\server\functional-test\src\main\java\org\zanata\page\languages\ContactTeamPage.java,class,false
ENTITY,org.zanata.cdi.WithActiveWindowInterceptor,3,1,6,1,0,3,8,7,D:\Projetos\_Web\zanata-platform\server\services\src\test\java\org\zanata\cdi\WithActiveWindowInterceptor.java,class,false
GWTEVENT,org.zanata.webtrans.client.events.ReviewCommentEvent,4,2,7,4,0,4,1,4,D:\Projetos\_Web\zanata-platform\server\gwt-editor\src\main\java\org\zanata\webtrans\client\events\ReviewCommentEvent.java,class,false
EXCEPTION,org.zanata.exception.VersionNotFoundException,3,2,0,0,0,3,0,3,D:\Projetos\_Web\zanata-platform\server\services\src\main\java\org\zanata\exception\VersionNotFoundException.java,class,false
BASICOPTIONSIMPL,org.zanata.client.commands.init.InitOptionsImpl,4,4,5,6,0,4,3,6,D:\Projetos\_Web\zanata-platform\client\zanata-client-commands\src\main\java\org\zanata\client\commands\init\InitOptionsImpl.java,class,false
TEST,org.zanata.model.DocumentJPATest,8,4,15,22,0,8,43,9,D:\Projetos\_Web\zanata-platform\server\services\src\test\java\org\zanata\model\DocumentJPATest.java,class,false
ABSTRACTCOMMONPUSHSTRATEGY,org.zanata.client.commands.push.XliffStrategy,6,3,11,7,0,6,21,17,D:\Projetos\_Web\zanata-platform\client\zanata-client-commands\src\main\java\org\zanata\client\commands\push\XliffStrategy.java,class,false
TEST,org.zanata.webtrans.client.presenter.OptionsPresenterTest,16,1,13,0,0,16,33,16,D:\Projetos\_Web\zanata-platform\server\gwt-editor\src\test\java\org\zanata\webtrans\client\presenter\OptionsPresenterTest.java,class,false
ENTITY,org.zanata.model.HCopyTransOptions,13,2,10,12,0,13,8,29,D:\Projetos\_Web\zanata-platform\server\zanata-model\src\main\java\org\zanata\model\HCopyTransOptions.java,class,true
[CLIENTRESPONSEFILTER],org.zanata.rest.client.InvalidContentTypeFilter,2,1,7,1,0,2,15,8,D:\Projetos\_Web\zanata-platform\client\zanata-rest-client\src\main\java\org\zanata\rest\client\InvalidContentTypeFilter.java,class,false
TEST,org.zanata.webtrans.client.presenter.GlossaryDetailsPresenterTest,4,1,17,0,0,4,41,4,D:\Projetos\_Web\zanata-platform\server\gwt-editor\src\test\java\org\zanata\webtrans\client\presenter\GlossaryDetailsPresenterTest.java,class,false
TEST,org.zanata.model.HDocumentHistoryJPATest,4,4,11,4,0,4,37,4,D:\Projetos\_Web\zanata-platform\server\services\src\test\java\org\zanata\model\HDocumentHistoryJPATest.java,class,false
[SAMPLEDATARESOURCE],org.zanata.rest.SampleDataResourceImpl,12,1,20,129,0,12,34,26,D:\Projetos\_Web\zanata-platform\server\zanata-test-war\src\main\java\org\zanata\rest\SampleDataResourceImpl.java,class,false
[PROJECTITERATIONRESOURCE],org.zanata.rest.service.ProjectIterationService,6,1,11,0,0,6,4,6,D:\Projetos\_Web\zanata-platform\server\services\src\main\java\org\zanata\rest\service\ProjectIterationService.java,class,false
[DISPATCHRESULT],org.zanata.webtrans.shared.rpc.RunDocValidationResult,4,1,3,2,0,4,0,4,D:\Projetos\_Web\zanata-platform\server\gwt-shared\src\main\java\org\zanata\webtrans\shared\rpc\RunDocValidationResult.java,class,false
