DesignRole;LOC;CC;Efferent;NOP;CLOC;%LOCDR
UNDEFINED;53;9;11;3;436;13.84;
VIEW;74;9;11;3;478;6.91;
[GUIDEDDECISIONTABLESOURCEBUILDERDIRECT];20;3;6;2;222;1.28;
DEFAULTNEWRESOURCEHANDLER;20;3;8;2;222;1;
SERVICE;44;8;12;4;482;10.23;
ABSTRACTGUIDEDDECISIONTABLEATTRIBUTEBUILDER;20;3;6;2;222;1.93;
KIEEDITOR;30;3;6;2;222;5.1;
TEST;35;3;9;2;632;44.64;
[HASCOLUMNHEADINGS| GUIDEDDECISIONTABLESOURCEBUILDERINDIRECT];28;5;8;2;222;2.4;
ENTITY;20;4;6;2;301;2.52;
[RESOURCETYPEDEFINITION];20;3;6;2;222;1.73;
ABSTRACTDRLFILEINDEXER;21;4;8;2;222;2.43;
