DesignRoleTechnique;LOC;CC;Efferent;NOP;CLOC
UNDEFINED;70;14;14;5;180;
[WFMSPLITTERINTERFACE];38;7;13;3;157;
WFMPROCESSOR;67;11;21;4;301;
[TRANSIENTMEDIA];38;7;10;3;180;
RAW;38;7;10;3;157;
LOGINURLAUTHENTICATIONENTRYPOINT;38;7;10;3;157;
[STAGESPLITTER];75;16;23;3;448;
ABSTRACTCOMPOSITEATOMPRODUCER;38;7;10;3;157;
MPFDETECTIONCOMPONENTBASE;38;7;10;3;157;
[INTEGRATOR];38;7;10;3;157;
[CORENODE];38;7;10;3;157;
[RECORDER];41;7;10;3;157;
[COMMANDFAILUREEVENT];38;7;10;3;157;
WFMSPLITTER;38;9;16;5;157;
XWIKIDEFAULTURLFACTORY;38;10;11;8;357;
[PHYSICALNAMINGSTRATEGY];38;7;10;3;157;
HESSIANPROXY;38;7;10;3;157;
[SVGIMAGECREATOR];127;15;21;3;250;
INTERNALMESSAGE;38;7;10;3;157;
[TENSORENTRYGENERATOR];39;12;15;3;157;
ABSTRACTINTERCEPTOR;54;15;19;4;157;
[ATTRIBUTECONVERTER];38;7;10;3;157;
[SET];38;7;10;3;157;
PARSER;38;7;10;3;411;
ABSTRACTVISIBILITY;38;7;10;3;157;
REDISAWARECOMMUNICATOR;38;7;10;3;157;
[WEBSOCKETMESSAGEBROKERCONFIGURER];38;7;10;3;157;
ABSTRACTNODE;38;7;10;3;157;
[RECORDELEMENT];38;7;10;3;157;
[DATAMIGRATIONMANAGER];38;7;10;3;157;
[MEDIASEGMENTER];38;7;10;3;157;
BASEDETECTIONSTATUSPROCESSOR;38;7;10;3;157;
[USERDETAILSCONTEXTMAPPER];38;7;10;3;157;
FORMAUTHENTICATIONFILTER;38;7;11;4;242;
[COMPOSITEFILTER];38;7;10;3;157;
[PROTOCOLENCODER];38;7;10;3;157;
[WFMPROCESSORINTERFACE];38;7;10;3;157;
[TRANSIENTJOB];38;7;10;3;186;
CHARTRESULT;38;7;10;3;157;
[REGISTRATIONCLIENT];38;7;11;3;157;
[PATIENTACCESS];38;7;10;3;157;
[ROUTEOPTIMIZER];38;8;10;3;173;
[KEYINFORMATIONEXTRACTOR];38;7;10;3;157;
[GROUPMANAGER];40;9;14;3;157;
INDEXER;38;7;10;5;157;
CALL;38;9;10;4;226;
BROKERFILTER;38;7;10;3;157;
[PATIENTACCESSHELPER];38;8;16;3;209;
EXCEPTION;38;7;10;3;157;
DEFAULTMATCHERQUERYEXECUTER;38;7;10;3;157;
HEADER;38;7;10;3;157;
[ACCESSDECISIONVOTER];38;7;11;3;157;
[RECORDCONFIGURATION];38;7;10;3;157;
ATOMBASEDCAMELCONFIGURATORIMPL;38;7;10;3;157;
[ALIASGENERATOR];38;7;10;3;157;
[FUNCTION];61;15;10;3;157;
[TRUSTSTRATEGY];38;9;12;3;157;
[MAP];38;7;10;3;157;
[CONSUMERINTERCEPTOR];38;7;10;3;157;
[BASTATEMANAGER];38;7;10;5;157;
CHAINBASE;38;7;10;3;157;
[FORMELEMENT];38;7;10;3;157;
[JOBREQUESTBO];38;11;14;9;371;
[LIMSSERVER];38;7;16;3;157;
[GROUP];38;7;10;3;157;
BASEEVENT;38;7;10;3;157;
[TRANSCODER];52;8;10;6;157;
[RECORDCONFIGURATIONMANAGER];38;7;10;3;157;
DEFAULTHANDLER;47;15;10;4;161;
[ONTOLOGYTERM];38;7;10;4;157;
[KEYPAIRALIASDERIVATIONSTRATEGY];38;7;10;3;157;
JMSCONFIGURATION;38;7;10;3;157;
[DELEGATINGFILTER];38;7;10;3;157;
[APPLICATIONRUNNER];38;7;13;3;157;
[USER];38;7;10;3;157;
[WONMESSAGEPROCESSOR];38;10;12;3;157;
[X509KEYMANAGER];38;7;10;3;157;
BASESIPHEADERS;38;7;10;3;157;
[ATOMPROTOCOLCAMELCONFIGURATOR];38;7;10;3;157;
LOCATIONDATA;38;7;10;3;157;
[ROUTEPUBLISHER];38;7;10;3;157;
[USERDETAILS];38;7;10;3;157;
[CALLLOGGER];43;12;10;3;157;
DEFAULTPUSHSERVERRESPONSE;38;7;10;3;157;
[MEDIALAUNCHER];38;7;10;3;157;
[SIPTOFLASHTRANSCODER];38;9;10;3;220;
ROUTE;38;7;10;3;157;
[OWNERCALLBACK];38;7;10;3;170;
BGRAPH;43;10;15;3;157;
LOGCALLBACK;38;9;10;3;157;
BASECOMMANDSUCCESSEVENT;38;7;10;3;157;
ABSTRACTHIBERNATEDATAMIGRATION;42;10;20;3;157;
[PERMISSIONSMANAGER];38;7;10;3;157;
[CLUSTERCHANGENOTIFIER];38;7;10;3;402;
CUMULATIVEPROTOCOLDECODER;38;7;10;3;283;
[DATAREADER];38;7;10;3;157;
[PUSHSERVERRESPONSE];38;7;10;3;157;
[UICOMPONENT];38;8;10;3;224;
[ITERATOR];38;7;10;3;157;
[PATIENTSCORER| INITIALIZABLE];48;9;18;3;157;
[YESNOKEYPROVIDE];38;7;10;3;157;
VIEW;78;20;14;4;231;
FRAMEGRABBER;134;46;16;4;782;
[SOLRCORECONTAINERHANDLER| INITIALIZABLE| DISPOSABLE];38;7;10;3;157;
BOTBEHAVIOUR;164;25;30;3;178;
[WONMESSAGEPROCESSOR| WONMESSAGESENDER];38;7;10;3;157;
SIMPLEMODULE;38;7;10;3;157;
UNTYPEDACTOR;217;24;22;3;411;
[WEBMVCCONFIGURER];38;7;10;3;157;
ACTIVEDIRECTORYREALM;38;7;13;3;157;
BASESIPRESPONSES;38;7;10;3;157;
[GSTAG];38;7;10;3;198;
[MONITORINGRESETTER];38;7;10;3;157;
DEFAULTLDAPREALM;38;7;10;3;157;
ABSTRACTMEASUREMENTHANDLER;38;7;10;4;157;
GLOBALRECORDCONFIGURATION;38;7;10;3;157;
[DATAWRITER];38;7;10;3;157;
[EVENTFILTER];38;7;10;3;157;
[WFMAGGREGATOR];38;7;10;3;157;
[IBASECOMPOMENT];38;7;10;3;157;
RESTCLIENT;38;7;10;4;157;
TEST;50;7;14;3;225;
ABSTRACTFORMELEMENT;38;7;10;3;157;
[BROKERPLUGIN];38;7;10;3;157;
BASECOMPOMENT;38;7;10;3;157;
[CONFIGURATIONSOURCE| INITIALIZABLE];38;7;12;3;157;
[ROUTER| DISTANCECALCULATOR];38;7;10;3;157;
[MANAGERCONNECTION];38;7;10;3;157;
[FILEBASEDATOMPRODUCER];38;7;14;3;157;
[MESSAGEHANDLER];38;11;10;3;157;
[ENCODER];38;7;10;3;157;
BASEMESSAGE;38;7;10;3;416;
[SCREENSHARER];38;7;10;4;157;
[OWNERPROTOCOLCAMELCONFIGURATOR];38;7;10;3;227;
ABSTRACTATOMPRODUCERWRAPPER;38;7;10;3;157;
[X509TRUSTMANAGER];38;7;10;3;157;
ABSTRACTRECORDER;38;7;10;3;157;
HASHTABLE;42;7;10;3;251;
ABSTRACTPREAUTHENTICATEDPROCESSINGFILTER;39;8;11;3;157;
HTTPSERVLET;38;8;12;3;249;
[PUSHSERVERINFO];38;7;10;3;157;
[NODEURISOURCE];38;7;10;3;157;
CALLBACKSKELETON;38;7;10;3;157;
[MATCHERNODEURISOURCE];38;7;10;3;157;
[PATIENTDATA];38;7;10;3;157;
IDENTIFIER;38;7;10;3;157;
[MESSAGECOMMANDEVENT];38;7;10;3;157;
ABSTRACTMAPOPERATOR;38;7;10;3;157;
NUABSTRACTPROCESSHANDLER;38;7;10;3;157;
[PRIVATEKEYSTRATEGY];38;7;10;3;157;
[RECORDSECTION];38;7;10;3;157;
MESSAGEEFFECT;38;7;10;3;157;
CONFIGURE;185;46;10;3;245;
[DATATYPEMIGRATOR];38;8;10;3;157;
[RECEIVEPATIENTDATA];66;11;12;3;405;
BOTCONTEXTWRAPPER;38;7;10;3;157;
[ATOMPRODUCERWRAPPER];38;7;10;3;157;
[WEBKAFKACONSUMER];38;7;10;3;385;
[ACCESSCONTROLRULES];38;11;10;3;157;
[JARDIFFCONSTANTS| PATCHER];72;12;17;4;329;
[XWIKIRESPONSE];38;7;10;3;157;
ACTION;51;11;16;3;157;
DEFAULTPERSISTENTLOGINMANAGER;39;9;11;4;336;
POINTER;38;7;10;3;157;
SIMPLEURLAUTHENTICATIONFAILUREHANDLER;38;7;10;3;157;
BASECHAINCOMMANDSUPPORT;330;28;25;5;660;
ABSTRACTOUTBOUNDPIPELINEFACTORY;38;7;10;3;157;
JFRAME;249;95;15;3;739;
LINKEDDATARESTCLIENT;38;7;10;3;157;
[COMMANDSUCCESSEVENT];38;7;10;3;157;
[INTEGRATORPROVIDER];38;7;10;3;157;
HESSIANPROXYFACTORY;38;7;10;3;157;
BASESIPMETHODS;38;7;10;3;157;
[IRECEIVEDOLDMESSAGEHANDLER];38;7;10;3;157;
ABSTRACTPATIENTEVENT;38;7;10;3;157;
[FLASHTOSIPTRANSCODER];39;7;10;3;232;
[CLIENTMESSAGE];38;7;10;3;157;
[PATIENTPUSHHISTORY];38;7;10;3;157;
[BOTCONTEXT];38;7;10;3;233;
ABSTRACTPREDICTOR;38;7;10;3;157;
ADAPTER;61;14;11;3;475;
UNTYPEDCONSUMERACTOR;50;10;15;3;157;
[PATHITERATOR];103;19;10;3;341;
[MEASUREMENTHANDLER| INITIALIZABLE];45;9;15;4;166;
SERVERENGINE;94;21;16;3;373;
JAPPLET;38;12;10;3;223;
ABSTRACTSOCKET;38;7;10;3;187;
LOG;38;7;10;4;157;
[PREDICATE];38;9;10;3;157;
JSONSERIALIZER;38;7;10;3;157;
[DELAYED];38;7;10;3;157;
[SELECTIONSORTERWEIGHTFACTORY];38;7;10;3;157;
[AUTHENTICATIONSERVER];51;9;11;3;248;
[ATOMPRODUCER];38;7;10;3;187;
[ONTOLOGYMANAGER| INITIALIZABLE];38;7;10;3;157;
HASHMAP;117;38;14;3;279;
[THUMBNAILCREATOR];38;7;10;3;188;
TEXTWEBSOCKETHANDLER;96;24;21;3;762;
MAPPINGJACKSON2HTTPMESSAGECONVERTER;38;7;10;3;157;
MESSAGEDIGEST;155;7;10;3;670;
[IMAGERESIZER];38;7;11;3;157;
STRUTSRESULTSUPPORT;130;24;31;3;234;
PERSISTENCE;43;10;13;5;157;
[CALLABLE];67;10;17;3;157;
DEFAULTRECORDSECTION;38;7;10;3;157;
[MEASUREMENTSCHARTCONFIGURATIONSFACTORY];38;7;10;3;208;
[COMPONENTDEPENDENCYFINDER];38;7;11;3;157;
OBJECTMAPPER;38;7;10;3;157;
FRAME;38;7;10;3;157;
[EVENT];38;7;10;3;157;
ABSTRACTBASOCKET;108;13;10;3;534;
[BOT];38;7;10;3;227;
LINKEDHASHMAP;38;7;10;3;157;
[COLLABORATOR];38;7;10;3;157;
VOICECONFERENCEEVENT;38;7;10;3;157;
[AUTHPROVIDER];38;7;10;3;157;
AUTHORIZINGREALM;38;7;10;3;157;
XWIKIDEFAULTPLUGIN;38;7;10;3;157;
[COMMANDLINERUNNER];88;14;22;3;204;
FRAMERECORDER;353;111;18;8;1048;
[PATIENTINDEXER| INITIALIZABLE];38;7;10;3;157;
[MAPOPERATOR];38;7;10;3;157;
PANEL;38;7;10;3;157;
ARRAYLIST;145;54;12;7;1343;
DIALOG;48;17;10;5;359;
[EVENTBUS];38;7;10;3;215;
ABSTRACTACCESSLEVEL;38;7;10;3;157;
[APPLICATIONCONTEXTINITIALIZER];38;7;10;3;157;
MODEL;38;7;10;3;157;
DAG;43;10;11;3;178;
ABSTRACTVERTICLE;78;11;20;3;157;
[CLOSEABLE];848;105;24;5;3164;
[PREDICTOR];38;7;10;3;157;
[PUSHPATIENTDATA];39;7;16;8;159;
CONTROLLER;38;8;12;4;315;
[ATOMCONSUMER];38;7;10;3;157;
HIBERNATEJPADIALECT;38;7;10;3;157;
SPARQLFUNCTION;45;11;13;3;157;
[MONITORINGSTATISTICSRECORDER];38;7;10;3;157;
TIMERTASK;38;7;10;3;157;
[USERMANAGER];38;7;10;3;157;
TEXTMESSAGECOMMAND;38;7;10;3;157;
[REGISTRATIONSERVER];38;7;10;3;157;
[SOCKETLOGIC];38;7;10;5;528;
URLCLASSLOADER;38;7;10;3;157;
[IEVENTSMESSAGEBUS];38;7;10;3;157;
UNBOUNDEDSTABLEPRIORITYMAILBOX;38;7;10;3;157;
SOLRQUERYFACTORY;38;7;10;3;157;
[COUNTER];38;7;10;3;157;
COMMANDLINEUA;85;25;12;3;178;
[MEDSAVANTSERVER| INITIALIZABLE];45;8;14;3;327;
